Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,6e-06,20.634974,[19 37] ; [72 29],[32.45859873 23.54140127] ; [58.54140127 42.45859873],1
d3,1,0.000155,14.314972,[28 28] ; [80 21],[38.52229299 17.47770701] ; [69.47770701 31.52229299],1
d2,1,0.002368,9.240033,[33 21] ; [36 65],[24.03870968 29.96129032] ; [44.96129032 56.03870968],0
a4,1,0.003025,8.792211,[29 26] ; [29 72],[20.44871795 34.55128205] ; [37.55128205 63.44871795],0
p10,1,0.015751,5.830453,[32 23] ; [76 23],[38.57142857 16.42857143] ; [69.42857143 29.57142857],0
b5,1,0.020861,5.338371,[29 27] ; [71 30],[35.66878981 20.33121019] ; [64.33121019 36.66878981],0
b1,1,0.029263,4.752048,[30 26] ; [36 65],[23.54140127 32.45859873] ; [42.45859873 58.54140127],0
b4,1,0.032872,4.55241,[28 28] ; [68 33],[34.24203822 21.75796178] ; [61.75796178 39.24203822],0
v4,1,0.034154,4.486973,[42 14] ; [89 12],[46.72611465  9.27388535] ; [84.27388535 16.72611465],0
p1,1,0.038591,4.278779,[ 9 47] ; [ 6 95],[ 5.35031847 50.64968153] ; [ 9.64968153 91.35031847],0
p2,1,0.089782,2.878281,[33 21] ; [75 26],[37.62580645 16.37419355] ; [70.37419355 30.62580645],0
a8,1,0.105158,2.625515,[ 2 52] ; [11 85],[ 4.68 49.32] ; [ 8.32 87.68],0
p11,1,0.110207,2.551247,[36 20] ; [77 24],[40.30573248 15.69426752] ; [72.69426752 28.30573248],0
n1,1,0.120732,2.407796,[11 11] ; [ 9 22],[ 8.30188679 13.69811321] ; [11.69811321 19.30188679],0
p8,1,0.151745,2.054623,[17 36] ; [44 56],[21.13071895 31.86928105] ; [39.86928105 60.13071895],0
r4,1,0.196863,1.665493,[29 27] ; [63 38],[32.81528662 23.18471338] ; [59.18471338 41.81528662],0
b3,1,0.25077,1.319011,[13 28] ; [25 33],[15.73737374 25.26262626] ; [22.26262626 35.73737374],0
b2,1,0.25077,1.319011,[13 28] ; [25 33],[15.73737374 25.26262626] ; [22.26262626 35.73737374],0
u2,1,0.279184,1.17106,[7 9] ; [21 14],[8.78431373 7.21568627] ; [19.21568627 15.78431373],0
a3,1,0.286938,1.133932,[40 15] ; [65 36],[37.01923077 17.98076923] ; [67.98076923 33.01923077],0
s1,1,0.31662,1.002857,[ 1 55] ; [ 5 95],[ 2.15384615 53.84615385] ; [ 3.84615385 96.15384615],0
v2,1,0.358175,0.844281,[22 32] ; [48 51],[24.70588235 29.29411765] ; [45.29411765 53.70588235],0
a2,1,0.363992,0.824074,[ 5 51] ; [14 87],[ 6.77707006 49.22292994] ; [12.22292994 88.77707006],0
n5,1,0.393555,0.727929,[38 18] ; [61 39],[35.53846154 20.46153846] ; [63.46153846 36.53846154],0
r3,1,0.397382,0.716235,[46 10] ; [88 13],[47.79617834  8.20382166] ; [86.20382166 14.79617834],0
n3,1,0.411867,0.673406,[12 10] ; [21 11],[13.44444444  8.55555556] ; [19.55555556 12.44444444],0
u1,1,0.422081,0.644515,[ 3 53] ; [ 9 92],[ 4.28025478 51.71974522] ; [ 7.71974522 93.28025478],0
p5,1,0.445146,0.582981,[ 5 51] ; [13 87],[ 6.46153846 49.53846154] ; [11.53846154 88.46153846],0
p9,1,0.451447,0.567015,[41 14] ; [79 20],[42.85714286 12.14285714] ; [77.14285714 21.85714286],0
s7,1,0.458989,0.548359,[23 31] ; [35 61],[20.88 33.12] ; [37.12 58.88],0
p4,1,0.463516,0.537392,[29 25] ; [48 53],[26.82580645 27.17419355] ; [50.17419355 50.82580645],0
a5,1,0.481848,0.494678,[37 19] ; [61 40],[34.95541401 21.04458599] ; [63.04458599 37.95541401],0
r2,1,0.494315,0.46712,[42 13] ; [77 18],[43.63333333 11.36666667] ; [75.36666667 19.63333333],0
p3,1,0.526767,0.400624,[26 29] ; [42 58],[24.12903226 30.87096774] ; [43.87096774 56.12903226],0
s6,1,0.543151,0.36973,[30 25] ; [59 40],[31.78571429 23.21428571] ; [57.21428571 41.78571429],0
a1,1,0.556312,0.346131,[ 6 50] ; [ 8 93],[ 4.99363057 51.00636943] ; [ 9.00636943 91.99363057],0
p6,1,0.627491,0.235479,[16 36] ; [34 64],[17.33333333 34.66666667] ; [32.66666667 65.33333333],0
n6,1,0.66966,0.182,[42 14] ; [78 22],[43.07692308 12.92307692] ; [76.92307692 23.07692308],0
d1,1,0.673096,0.178002,[33 23] ; [56 45],[31.74522293 24.25477707] ; [57.25477707 43.74522293],0
d5,1,0.693183,0.155662,[44 12] ; [82 19],[44.94267516 11.05732484] ; [81.05732484 19.94267516],0
p7,1,0.726156,0.122671,[28 27] ; [47 51],[26.96078431 28.03921569] ; [48.03921569 49.96078431],0
u3,1,0.748903,0.102455,[7 9] ; [17 18],[7.52941176 8.47058824] ; [16.47058824 18.52941176],0
s4,1,0.75265,0.099317,[11 45] ; [22 79],[11.77070064 44.22929936] ; [21.22929936 79.77070064],0
v1,1,0.794525,0.067829,[23 31] ; [43 53],[23.76 30.24] ; [42.24 53.76],0
s5,1,0.795102,0.06744,[16 36] ; [27 67],[15.31506849 36.68493151] ; [27.68493151 66.31506849],0
s2,1,0.821196,0.051079,[26 30] ; [45 56],[25.32484076 30.67515924] ; [45.67515924 55.32484076],0
n2,1,0.85146,0.035065,[16  6] ; [24  8],[16.2962963  5.7037037] ; [23.7037037  8.2962963],0
s8,1,0.952774,0.003507,[18 38] ; [32 69],[17.8343949 38.1656051] ; [32.1656051 68.8343949],0
n4,1,0.973147,0.001133,[37 19] ; [67 34],[37.0955414 18.9044586] ; [66.9044586 34.0955414],0
s3,1,0.977383,0.000804,[25 29] ; [47 54],[25.08387097 28.91612903] ; [46.91612903 54.08387097],0
v3,1,1.0,0.0,[18 36] ; [33 66],[18. 36.] ; [33. 66.],0
