Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,23.472402,[21 98] ; [17 10],[30.97260274 88.02739726] ; [ 7.02739726 19.97260274],1
p4,1,1.1e-05,19.289098,[37 90] ; [20  7],[47.00649351 79.99350649] ; [ 9.99350649 17.00649351],1
s2,1,2.5e-05,17.776543,[28 98] ; [17 10],[37.05882353 88.94117647] ; [ 7.94117647 19.05882353],1
s6,1,2.6e-05,17.684008,[43 84] ; [21  6],[52.77922078 74.22077922] ; [11.22077922 15.77922078],1
p3,1,6.3e-05,16.016287,[30 96] ; [17 10],[38.70588235 87.29411765] ; [ 8.29411765 18.70588235],1
s3,1,0.000104,15.060417,[42 83] ; [20  7],[50.98684211 74.01315789] ; [11.01315789 15.98684211],1
p9,1,0.000645,11.640247,[35 88] ; [17 10],[42.64 80.36] ; [ 9.36 17.64],1
u3,1,0.000979,10.866191,[21 36] ; [10  1],[25.98529412 31.01470588] ; [5.01470588 5.98529412],1
p8,1,0.002487,9.150272,[29 97] ; [14 13],[35.41176471 90.58823529] ; [ 7.58823529 19.41176471],0
p6,1,0.005562,7.686873,[ 24 100] ; [12 15],[29.56291391 94.43708609] ; [ 6.43708609 20.56291391],0
a8,1,0.014841,5.935196,[ 10 108] ; [ 6 17],[ 13.39007092 104.60992908] ; [ 2.60992908 20.39007092],0
v4,1,0.015387,5.871661,[95 31] ; [26  1],[99.64705882 26.35294118] ; [21.35294118  5.64705882],0
p2,1,0.016458,5.753233,[72 55] ; [22  5],[77.51948052 49.48051948] ; [16.48051948 10.51948052],0
r3,1,0.019076,5.494496,[97 30] ; [26  1],[101.43506494  25.56493506] ; [21.56493506  5.43506494],0
d5,1,0.021849,5.257777,[79 48] ; [23  4],[84.11688312 42.88311688] ; [17.88311688  9.11688312],0
r4,1,0.021849,5.257777,[79 48] ; [23  4],[84.11688312 42.88311688] ; [17.88311688  9.11688312],0
b3,1,0.029981,4.710409,[25 55] ; [11  8],[29.09090909 50.90909091] ; [ 6.90909091 12.09090909],0
b2,1,0.029981,4.710409,[25 55] ; [11  8],[29.09090909 50.90909091] ; [ 6.90909091 12.09090909],0
d1,1,0.036686,4.364948,[52 75] ; [17 10],[56.9025974 70.0974026] ; [12.0974026 14.9025974],0
d4,1,0.066605,3.364771,[85 41] ; [23  4],[88.94117647 37.05882353] ; [19.05882353  7.94117647],0
u2,1,0.084331,2.979389,[20 36] ; [7 4],[22.56716418 33.43283582] ; [4.43283582 6.56716418],0
r1,1,0.157306,1.999935,[75 51] ; [20  7],[78.23529412 47.76470588] ; [16.76470588 10.23529412],0
v2,1,0.158963,1.984067,[38 87] ; [12 15],[41.11842105 83.88157895] ; [ 8.88157895 18.11842105],0
d3,1,0.163651,1.940157,[66 61] ; [18  9],[69.27272727 57.72727273] ; [14.72727273 12.27272727],0
n6,1,0.171712,1.867929,[74 52] ; [19  7],[77.09210526 48.90789474] ; [15.90789474 10.09210526],0
p5,1,0.182503,1.777124,[  3 123] ; [ 2 25],[  4.11764706 121.88235294] ; [ 0.88235294 26.11764706],0
d2,1,0.185602,1.752189,[57 69] ; [16 11],[60.11764706 65.88235294] ; [12.88235294 14.11764706],0
a5,1,0.186848,1.742296,[67 60] ; [18  9],[70.0974026 56.9025974] ; [14.9025974 12.0974026],0
s5,1,0.231998,1.428571,[ 19 107] ; [ 6 18],[ 21. 105.] ; [ 4. 20.],0
n5,1,0.268269,1.225575,[68 59] ; [17  9],[70.55555556 56.44444444] ; [14.44444444 11.55555556],0
a4,1,0.314441,1.011929,[50 75] ; [ 8 19],[47.69736842 77.30263158] ; [10.30263158 16.69736842],0
u1,1,0.34643,0.886491,[ 15 112] ; [ 5 22],[ 16.49350649 110.50649351] ; [ 3.50649351 23.49350649],0
s4,1,0.372066,0.796751,[ 19 106] ; [ 6 21],[ 20.55921053 104.44078947] ; [ 4.44078947 22.55921053],0
b5,1,0.381592,0.765567,[78 49] ; [19  8],[79.99350649 47.00649351] ; [17.00649351  9.99350649],0
p1,1,0.391559,0.734095,[  8 117] ; [ 3 24],[  9.04605263 115.95394737] ; [ 1.95394737 25.04605263],0
p11,1,0.432657,0.615679,[60 67] ; [15 12],[61.85064935 65.14935065] ; [13.14935065 13.85064935],0
s1,1,0.439711,0.597037,[ 10 116] ; [ 1 26],[  9.05882353 116.94117647] ; [ 1.94117647 25.05882353],0
n1,1,0.466027,0.53138,[22 38] ; [4 4],[22.94117647 37.05882353] ; [3.05882353 4.94117647],0
p7,1,0.49132,0.473635,[52 75] ; [13 14],[53.6038961 73.3961039] ; [11.3961039 15.6038961],0
v1,1,0.521091,0.411733,[34 91] ; [ 9 18],[35.36184211 89.63815789] ; [ 7.63815789 19.36184211],0
a6,1,0.640028,0.218705,[69 58] ; [16 11],[70.0974026 56.9025974] ; [14.9025974 12.0974026],0
a7,1,0.652263,0.203059,[74 53] ; [17 10],[75.04545455 51.95454545] ; [15.95454545 11.04545455],0
n3,1,0.682847,0.166938,[34 25] ; [4 4],[33.46268657 25.53731343] ; [4.53731343 3.46268657],0
n2,1,0.682847,0.166938,[34 25] ; [4 4],[33.46268657 25.53731343] ; [4.53731343 3.46268657],0
u4,1,0.690647,0.158386,[  3 124] ; [ 1 26],[  3.2987013 123.7012987] ; [ 0.7012987 26.2987013],0
b4,1,0.700502,0.14795,[71 56] ; [14 13],[70.0974026 56.9025974] ; [14.9025974 12.0974026],0
b1,1,0.71835,0.130079,[61 66] ; [14 13],[61.85064935 65.14935065] ; [13.14935065 13.85064935],0
a3,1,0.789466,0.071291,[70 54] ; [16 11],[70.62251656 53.37748344] ; [15.37748344 11.62251656],0
a2,1,0.903367,0.01474,[ 20 107] ; [ 4 23],[ 19.79220779 107.20779221] ; [ 4.20779221 22.79220779],0
n4,1,0.984105,0.000397,[73 54] ; [15 11],[73.04575163 53.95424837] ; [14.95424837 11.04575163],0
