Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.018866,5.513918,[2 8] ; [24 15],[5.30612245 4.69387755] ; [20.69387755 18.30612245],0
n6,1,0.027491,4.859713,[4 6] ; [29  9],[6.875 3.125] ; [26.125 11.875],0
p3,1,0.087151,2.92622,[6 4] ; [12 27],[3.67346939 6.32653061] ; [14.32653061 24.67346939],0
b5,1,0.101438,2.682793,[3 7] ; [23 16],[5.30612245 4.69387755] ; [20.69387755 18.30612245],0
p8,1,0.101438,2.682793,[7 3] ; [16 23],[4.69387755 5.30612245] ; [18.30612245 20.69387755],0
v4,1,0.112906,2.513067,[9 1] ; [25 14],[6.93877551 3.06122449] ; [27.06122449 11.93877551],0
p7,1,0.133292,2.25374,[8 2] ; [21 18],[5.91836735 4.08163265] ; [23.08163265 15.91836735],0
r1,1,0.133292,2.25374,[2 8] ; [18 21],[4.08163265 5.91836735] ; [15.91836735 23.08163265],0
n5,1,0.171973,1.865659,[8 2] ; [22 17],[6.12244898 3.87755102] ; [23.87755102 15.12244898],0
a3,1,0.178374,1.811115,[3 7] ; [21 18],[4.89795918 5.10204082] ; [19.10204082 19.89795918],0
a5,1,0.178374,1.811115,[3 7] ; [21 18],[4.89795918 5.10204082] ; [19.10204082 19.89795918],0
v3,1,0.23234,1.426478,[1 9] ; [11 28],[2.44897959 7.55102041] ; [ 9.55102041 29.44897959],0
a4,1,0.23234,1.426478,[1 9] ; [11 28],[2.44897959 7.55102041] ; [ 9.55102041 29.44897959],0
s3,1,0.301588,1.06716,[4 6] ; [ 9 29],[2.70833333 7.29166667] ; [10.29166667 27.70833333],0
p9,1,0.301588,1.06716,[6 4] ; [29  9],[7.29166667 2.70833333] ; [27.70833333 10.29166667],0
n3,1,0.328864,0.953366,[1 2] ; [12  7],[1.77272727 1.22727273] ; [11.22727273  7.77272727],0
s8,1,0.338869,0.914705,[2 8] ; [14 25],[3.26530612 6.73469388] ; [12.73469388 26.26530612],0
p6,1,0.36987,0.804103,[4 6] ; [10 29],[2.85714286 7.14285714] ; [11.14285714 27.85714286],0
s2,1,0.396946,0.717559,[4 6] ; [10 28],[2.91666667 7.08333333] ; [11.08333333 26.91666667],0
r4,1,0.414399,0.666144,[2 8] ; [13 26],[3.06122449 6.93877551] ; [11.93877551 27.06122449],0
d2,1,0.414399,0.666144,[2 8] ; [13 26],[3.06122449 6.93877551] ; [11.93877551 27.06122449],0
d1,1,0.414399,0.666144,[2 8] ; [13 26],[3.06122449 6.93877551] ; [11.93877551 27.06122449],0
s6,1,0.434556,0.610615,[6 4] ; [18 21],[4.89795918 5.10204082] ; [19.10204082 19.89795918],0
s7,1,0.462522,0.539785,[4 5] ; [11 24],[3.06818182 5.93181818] ; [11.93181818 23.06818182],0
n1,1,0.464069,0.536062,[1 2] ; [ 3 16],[0.54545455 2.45454545] ; [ 3.45454545 15.54545455],0
u2,1,0.466985,0.529101,[5 2] ; [10  8],[4.2 2.8] ; [10.8  7.2],0
u3,1,0.468011,0.526669,[3 4] ; [ 5 13],[2.24 4.76] ; [ 5.76 12.24],0
s5,1,0.521215,0.411489,[3 7] ; [ 8 31],[2.24489796 7.75510204] ; [ 8.75510204 30.24489796],0
n4,1,0.52321,0.407562,[7 3] ; [23 16],[6.12244898 3.87755102] ; [23.87755102 15.12244898],0
a6,1,0.524313,0.405402,[4 6] ; [20 19],[4.89795918 5.10204082] ; [19.10204082 19.89795918],0
a7,1,0.524313,0.405402,[4 6] ; [20 19],[4.89795918 5.10204082] ; [19.10204082 19.89795918],0
r3,1,0.549188,0.358774,[7 3] ; [30  8],[7.70833333 2.29166667] ; [29.29166667  8.70833333],0
d3,1,0.608919,0.261752,[5 5] ; [23 16],[5.71428571 4.28571429] ; [22.28571429 16.71428571],0
v1,1,0.620473,0.245203,[3 7] ; [15 24],[3.67346939 6.32653061] ; [14.32653061 24.67346939],0
p11,1,0.711322,0.13696,[8 2] ; [29 10],[7.55102041 2.44897959] ; [29.44897959  9.55102041],0
b1,1,0.716164,0.132198,[5 5] ; [22 17],[5.51020408 4.48979592] ; [21.48979592 17.51020408],0
n2,1,0.773976,0.082471,[2 1] ; [11  8],[1.77272727 1.22727273] ; [11.22727273  7.77272727],0
p10,1,0.801573,0.063158,[7 3] ; [25 13],[6.66666667 3.33333333] ; [25.33333333 12.66666667],0
d4,1,0.841061,0.040215,[7 3] ; [26 13],[6.73469388 3.26530612] ; [26.26530612 12.73469388],0
p4,1,0.929018,0.007935,[6 4] ; [24 15],[6.12244898 3.87755102] ; [23.87755102 15.12244898],0
d5,1,0.929018,0.007935,[6 4] ; [24 15],[6.12244898 3.87755102] ; [23.87755102 15.12244898],0
v2,1,0.953054,0.003466,[4 6] ; [16 23],[4.08163265 5.91836735] ; [15.91836735 23.08163265],0
