Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.003964,8.300305,[ 6 35] ; [3 1],[ 8.2 32.8] ; [0.8 3.2],0
v2,1,0.006014,7.546047,[ 5 38] ; [3 2],[ 7.16666667 35.83333333] ; [0.83333333 4.16666667],0
s4,1,0.011178,6.436818,[ 6 38] ; [3 2],[ 8.08163265 35.91836735] ; [0.91836735 4.08163265],0
s5,1,0.017854,5.61039,[ 4 40] ; [2 2],[ 5.5 38.5] ; [0.5 3.5],0
p4,1,0.0227,5.191285,[ 7 36] ; [3 2],[ 8.95833333 34.04166667] ; [1.04166667 3.95833333],0
p7,1,0.025214,5.009099,[ 7 35] ; [3 2],[ 8.93617021 33.06382979] ; [1.06382979 3.93617021],0
n6,1,0.076547,3.136742,[17 27] ; [4 1],[18.85714286 25.14285714] ; [2.14285714 2.85714286],0
r4,1,0.082915,3.006818,[ 5 39] ; [2 3],[ 6.28571429 37.71428571] ; [0.71428571 4.28571429],0
s8,1,0.082915,3.006818,[ 5 39] ; [2 3],[ 6.28571429 37.71428571] ; [0.71428571 4.28571429],0
s2,1,0.130688,2.284313,[ 6 38] ; [2 3],[ 7.18367347 36.81632653] ; [0.81632653 4.18367347],0
u1,1,0.171963,1.865744,[ 2 42] ; [1 4],[ 2.69387755 41.30612245] ; [0.30612245 4.69387755],0
p8,1,0.198363,1.654383,[ 7 36] ; [2 3],[ 8.0625 34.9375] ; [0.9375 4.0625],0
p10,1,0.22461,1.474675,[14 29] ; [3 2],[15.22916667 27.77083333] ; [1.77083333 3.22916667],0
p9,1,0.258174,1.278524,[14 27] ; [3 2],[15.15217391 25.84782609] ; [1.84782609 3.15217391],0
d5,1,0.275758,1.187879,[24 20] ; [4 1],[25.14285714 18.85714286] ; [2.85714286 2.14285714],0
d1,1,0.303995,1.056587,[16 28] ; [3 2],[17.06122449 26.93877551] ; [1.93877551 3.06122449],0
s6,1,0.320913,0.985222,[ 9 35] ; [2 3],[ 9.87755102 34.12244898] ; [1.12244898 3.87755102],0
p3,1,0.336925,0.922096,[ 9 34] ; [2 3],[ 9.85416667 33.14583333] ; [1.14583333 3.85416667],0
b5,1,0.357038,0.848284,[17 27] ; [3 2],[17.95918367 26.04081633] ; [2.04081633 2.95918367],0
d2,1,0.379652,0.771827,[17 26] ; [3 2],[17.91666667 25.08333333] ; [2.08333333 2.91666667],0
r1,1,0.413686,0.668182,[18 26] ; [3 2],[18.85714286 25.14285714] ; [2.14285714 2.85714286],0
b2,1,0.41902,0.653061,[13 15] ; [1 3],[12.25 15.75] ; [1.75 2.25],0
b3,1,0.41902,0.653061,[13 15] ; [1 3],[12.25 15.75] ; [1.75 2.25],0
n4,1,0.466348,0.530615,[28 16] ; [4 1],[28.73469388 15.26530612] ; [3.26530612 1.73469388],0
b1,1,0.466348,0.530615,[28 16] ; [4 1],[28.73469388 15.26530612] ; [3.26530612 1.73469388],0
a3,1,0.483309,0.491388,[27 15] ; [4 1],[27.70212766 14.29787234] ; [3.29787234 1.70212766],0
n1,1,0.500802,0.453236,[12 14] ; [2 1],[12.55172414 13.44827586] ; [1.44827586 1.55172414],0
s3,1,0.514034,0.425846,[11 31] ; [2 3],[11.61702128 30.38297872] ; [1.38297872 3.61702128],0
d3,1,0.536859,0.381393,[20 24] ; [3 2],[20.65306122 23.34693878] ; [2.34693878 2.65306122],0
a7,1,0.536859,0.381393,[20 24] ; [3 2],[20.65306122 23.34693878] ; [2.34693878 2.65306122],0
b4,1,0.536859,0.381393,[24 20] ; [2 3],[23.34693878 20.65306122] ; [2.65306122 2.34693878],0
a2,1,0.576672,0.311646,[ 5 39] ; [1 4],[ 5.3877551 38.6122449] ; [0.6122449 4.3877551],0
n2,1,0.58438,0.299206,[13 13] ; [2 1],[13.44827586 12.55172414] ; [1.55172414 1.44827586],0
a5,1,0.60292,0.270614,[21 23] ; [3 2],[21.55102041 22.44897959] ; [2.44897959 2.55102041],0
r2,1,0.667262,0.184821,[27 15] ; [3 1],[27.39130435 14.60869565] ; [2.60869565 1.39130435],0
p1,1,0.699988,0.148485,[ 6 38] ; [1 4],[ 6.28571429 37.71428571] ; [0.71428571 4.28571429],0
v3,1,0.727054,0.121834,[12 32] ; [1 4],[11.67346939 32.32653061] ; [1.32653061 3.67346939],0
a6,1,0.816253,0.053994,[20 24] ; [2 3],[19.75510204 24.24489796] ; [2.24489796 2.75510204],0
a4,1,0.93399,0.00686,[16 26] ; [2 3],[16.08510638 25.91489362] ; [1.91489362 3.08510638],0
d4,1,0.968737,0.001536,[26 18] ; [3 2],[26.04081633 17.95918367] ; [2.95918367 2.04081633],0
