Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,28.130401,[14 26] ; [71 15],[26.98412698 13.01587302] ; [58.01587302 27.98412698],1
p10,1,0.000511,12.075134,[24 15] ; [76 10],[31.2  7.8] ; [68.8 17.2],1
p9,1,0.001041,10.753648,[27 11] ; [80  6],[32.79032258  5.20967742] ; [74.20967742 11.79032258],0
v1,1,0.001666,9.885886,[ 9 31] ; [44 40],[17.09677419 22.90322581] ; [35.90322581 48.09677419],0
p11,1,0.013867,6.055051,[25 15] ; [71 15],[30.47619048  9.52380952] ; [65.52380952 20.47619048],0
u3,1,0.021726,5.267577,[11  5] ; [12 23],[7.21568627 8.78431373] ; [15.78431373 19.21568627],0
p4,1,0.030581,4.676332,[15 24] ; [51 35],[20.592 18.408] ; [45.408 40.592],0
s3,1,0.072216,3.231921,[15 24] ; [48 38],[19.656 19.344] ; [43.344 42.656],0
p8,1,0.073015,3.213907,[13 26] ; [43 42],[17.61290323 21.38709677] ; [38.38709677 46.61290323],0
p2,1,0.084556,2.975077,[27 13] ; [70 16],[30.79365079  9.20634921] ; [66.20634921 19.79365079],0
u2,1,0.086101,2.94581,[11  5] ; [15 20],[8.15686275 7.84313725] ; [17.84313725 17.15686275],0
n6,1,0.093192,2.818351,[32  8] ; [78  8],[34.92063492  5.07936508] ; [75.07936508 10.92063492],0
p5,1,0.09851,2.729501,[ 2 38] ; [13 72],[ 4.8 35.2] ; [10.2 74.8],0
a6,1,0.105571,2.619298,[19 21] ; [54 32],[23.17460317 16.82539683] ; [49.82539683 36.17460317],0
a8,1,0.13162,2.273294,[ 2 36] ; [12 69],[ 4.47058824 33.52941176] ; [ 9.52941176 71.47058824],0
v2,1,0.145649,2.117236,[13 27] ; [38 44],[16.72131148 23.27868852] ; [34.27868852 47.72131148],0
s6,1,0.203858,1.614514,[20 19] ; [52 30],[23.20661157 15.79338843] ; [48.79338843 33.20661157],0
a5,1,0.214588,1.540203,[19 21] ; [51 35],[22.22222222 17.77777778] ; [47.77777778 38.22222222],0
a1,1,0.251737,1.313638,[ 4 36] ; [ 4 82],[ 2.53968254 37.46031746] ; [ 5.46031746 80.53968254],0
p3,1,0.295039,1.096484,[16 24] ; [43 43],[18.73015873 21.26984127] ; [40.26984127 45.73015873],0
v3,1,0.321511,0.982791,[11 28] ; [31 52],[13.42622951 25.57377049] ; [28.57377049 54.42622951],0
u1,1,0.324978,0.968808,[ 3 37] ; [ 3 83],[ 1.9047619 38.0952381] ; [ 4.0952381 81.9047619],0
b4,1,0.340705,0.907775,[23 17] ; [57 29],[25.3968254 14.6031746] ; [54.6031746 31.3968254],0
b1,1,0.343,0.899185,[16 24] ; [27 59],[13.65079365 26.34920635] ; [29.34920635 56.65079365],0
d1,1,0.407264,0.686773,[15 25] ; [39 47],[17.14285714 22.85714286] ; [36.85714286 49.14285714],0
b5,1,0.410251,0.678073,[29 11] ; [56 30],[26.98412698 13.01587302] ; [58.01587302 27.98412698],0
s1,1,0.432808,0.615277,[ 2 38] ; [ 2 83],[ 1.28 38.72] ; [ 2.72 82.28],0
s7,1,0.434394,0.611046,[13 26] ; [33 48],[14.95 24.05] ; [31.05 49.95],0
d2,1,0.43783,0.601964,[17 23] ; [30 55],[15.04 24.96] ; [31.96 53.04],0
d4,1,0.43931,0.598084,[31  9] ; [61 25],[29.20634921 10.79365079] ; [62.79365079 23.20634921],0
d3,1,0.471395,0.518703,[24 15] ; [47 39],[22.152 16.848] ; [48.848 37.152],0
n1,1,0.473289,0.514286,[4 8] ; [11 13],[5. 7.] ; [10. 14.],0
a2,1,0.478287,0.502767,[ 3 37] ; [10 76],[ 4.12698413 35.87301587] ; [ 8.87301587 77.12698413],0
n3,1,0.504517,0.445421,[8 4] ; [20  6],[8.84210526 3.15789474] ; [19.15789474  6.84210526],0
