Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.1e-05,19.288298,[46  9] ; [28 35],[34.49152542 20.50847458] ; [39.50847458 23.49152542],1
r3,1,4.5e-05,16.639883,[51  4] ; [38 25],[41.48305085 13.51694915] ; [47.51694915 15.48305085],1
v4,1,0.00016,14.245954,[50  4] ; [39 23],[41.43103448 12.56896552] ; [47.56896552 14.43103448],1
p10,1,0.000229,13.575631,[35 20] ; [18 43],[25.12931034 29.87068966] ; [27.87068966 33.12931034],1
p2,1,0.001407,10.196906,[39 15] ; [27 36],[30.46153846 23.53846154] ; [35.53846154 27.46153846],0
p9,1,0.00194,9.605087,[40 15] ; [27 34],[31.76724138 23.23275862] ; [35.23275862 25.76724138],0
n2,1,0.002123,9.439796,[18  2] ; [17 18],[12.72727273  7.27272727] ; [22.27272727 12.72727273],0
s8,1,0.004828,7.942649,[19 36] ; [ 8 55],[12.58474576 42.41525424] ; [14.41525424 48.58474576],0
p4,1,0.009985,6.637542,[22 32] ; [12 51],[15.69230769 38.30769231] ; [18.30769231 44.69230769],0
v2,1,0.017839,5.61188,[25 26] ; [16 43],[19.00909091 31.99090909] ; [21.99090909 37.00909091],0
s6,1,0.025648,4.979568,[28 27] ; [19 43],[22.09401709 32.90598291] ; [24.90598291 37.09401709],0
b1,1,0.030797,4.664251,[24 31] ; [40 23],[29.83050847 25.16949153] ; [34.16949153 28.83050847],0
p7,1,0.033724,4.508645,[23 29] ; [16 47],[17.63478261 34.36521739] ; [21.36521739 41.63478261],0
r1,1,0.042151,4.129136,[39 15] ; [34 29],[33.69230769 20.30769231] ; [39.30769231 23.69230769],0
r2,1,0.053139,3.739529,[49  5] ; [48 14],[45.15517241  8.84482759] ; [51.84482759 10.15517241],0
a1,1,0.077863,3.108954,[ 2 53] ; [ 8 55],[ 4.66101695 50.33898305] ; [ 5.33898305 57.66101695],0
s3,1,0.091347,2.850475,[32 22] ; [27 35],[27.46551724 26.53448276] ; [31.53448276 30.46551724],0
a5,1,0.100436,2.698602,[37 18] ; [33 30],[32.62711864 22.37288136] ; [37.37288136 25.62711864],0
b5,1,0.115252,2.480684,[35 20] ; [31 32],[30.76271186 24.23728814] ; [35.23728814 27.76271186],0
u2,1,0.1234,2.373626,[12  3] ; [14 11],[9.75 5.25] ; [16.25  8.75],0
s2,1,0.129129,2.302941,[24 31] ; [19 44],[20.04237288 34.95762712] ; [22.95762712 40.04237288],0
p1,1,0.133881,2.246914,[ 2 52] ; [ 7 56],[ 4.15384615 49.84615385] ; [ 4.84615385 58.15384615],0
a3,1,0.137477,2.205976,[40 15] ; [37 25],[36.1965812 18.8034188] ; [40.8034188 21.1965812],0
u3,1,0.144089,2.133742,[11  4] ; [13 13],[8.7804878 6.2195122] ; [15.2195122 10.7804878],0
b4,1,0.150522,2.06695,[36 19] ; [33 30],[32.16101695 22.83898305] ; [36.83898305 26.16101695],0
d4,1,0.154602,2.026245,[45 10] ; [43 18],[41.72413793 13.27586207] ; [46.27586207 14.72413793],0
v3,1,0.154765,2.02465,[14 38] ; [ 9 48],[10.97247706 41.02752294] ; [12.02752294 44.97247706],0
d2,1,0.189476,1.721688,[20 35] ; [30 32],[23.5042735 31.4957265] ; [26.4957265 35.5042735],0
p5,1,0.238964,1.386694,[ 3 51] ; [ 1 62],[ 1.84615385 52.15384615] ; [ 2.15384615 60.84615385],0
a2,1,0.253404,1.304439,[ 7 48] ; [13 50],[ 9.3220339 45.6779661] ; [10.6779661 52.3220339],0
s1,1,0.348277,0.879724,[ 2 51] ; [ 5 58],[ 3.19827586 49.80172414] ; [ 3.80172414 59.19827586],0
n1,1,0.349396,0.87565,[ 8 10] ; [11 24],[ 6.45283019 11.54716981] ; [12.54716981 22.45283019],0
s4,1,0.351422,0.868317,[ 7 48] ; [12 51],[ 8.8559322 46.1440678] ; [10.1440678 52.8559322],0
u1,1,0.374957,0.787171,[ 6 49] ; [ 4 59],[ 4.66101695 50.33898305] ; [ 5.33898305 57.66101695],0
d1,1,0.406383,0.689359,[26 29] ; [25 38],[23.77118644 31.22881356] ; [27.22881356 35.77118644],0
v1,1,0.449963,0.570744,[23 30] ; [23 40],[21.01724138 31.98275862] ; [24.98275862 38.01724138],0
n3,1,0.489402,0.47784,[14  6] ; [20 13],[12.83018868  7.16981132] ; [21.16981132 11.83018868],0
a4,1,0.491016,0.4743,[21 34] ; [28 35],[22.83898305 32.16101695] ; [26.16101695 36.83898305],0
s5,1,0.560021,0.339668,[ 8 45] ; [11 46],[ 9.15454545 43.84545455] ; [ 9.84545455 47.15454545],0
p3,1,0.639985,0.218761,[13 42] ; [17 45],[14.1025641 40.8974359] ; [15.8974359 46.1025641],0
d3,1,0.642598,0.215361,[33 22] ; [34 27],[31.76724138 23.23275862] ; [35.23275862 25.76724138],0
n4,1,0.645584,0.211513,[32 23] ; [34 29],[30.76271186 24.23728814] ; [35.23728814 27.76271186],0
n5,1,0.651468,0.204054,[23 31] ; [29 33],[24.20689655 29.79310345] ; [27.79310345 34.20689655],0
d5,1,0.732762,0.116591,[38 17] ; [41 21],[37.13675214 17.86324786] ; [41.86324786 20.13675214],0
p6,1,0.735038,0.114535,[ 8 45] ; [ 8 54],[ 7.37391304 45.62608696] ; [ 8.62608696 53.37391304],0
a6,1,0.747328,0.10379,[33 22] ; [39 23],[33.84615385 21.15384615] ; [38.15384615 23.84615385],0
a7,1,0.813753,0.055501,[32 23] ; [38 25],[32.62711864 22.37288136] ; [37.37288136 25.62711864],0
s7,1,0.87772,0.023673,[15 36] ; [16 41],[14.63888889 36.36111111] ; [16.36111111 40.63888889],0
a8,1,0.931851,0.007313,[ 6 44] ; [ 7 54],[ 5.85585586 44.14414414] ; [ 7.14414414 53.85585586],0
b2,1,0.987443,0.000248,[10 22] ; [11 24],[10.02985075 21.97014925] ; [10.97014925 24.02985075],0
b3,1,0.987443,0.000248,[10 22] ; [11 24],[10.02985075 21.97014925] ; [10.97014925 24.02985075],0
