Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,25.623106,[36  9] ; [ 7 25],[25.12987013 19.87012987] ; [17.87012987 14.12987013],1
d3,1,6e-06,20.431546,[37  8] ; [10 22],[27.46753247 17.53246753] ; [19.53246753 12.46753247],1
d5,1,0.001061,10.718706,[40  5] ; [18 14],[33.8961039 11.1038961] ; [24.1038961  7.8961039],0
a2,1,0.003868,8.344637,[13 32] ; [ 1 31],[ 8.18181818 36.81818182] ; [ 5.81818182 26.18181818],0
s3,1,0.014913,5.926674,[16 27] ; [21 11],[21.21333333 21.78666667] ; [15.78666667 16.21333333],0
d4,1,0.028246,4.812972,[39  6] ; [21 11],[35.06493506  9.93506494] ; [24.93506494  7.06493506],0
a5,1,0.035939,4.4,[33 12] ; [16 16],[28.63636364 16.36363636] ; [20.36363636 11.63636364],0
p2,1,0.047745,3.918955,[36  8] ; [19 12],[32.26666667 11.73333333] ; [22.73333333  8.26666667],0
n2,1,0.07776,3.111111,[7 5] ; [14  2],[9. 3.] ; [12.  4.],0
s2,1,0.085166,2.963458,[16 28] ; [18 14],[19.68421053 24.31578947] ; [14.31578947 17.68421053],0
v3,1,0.086249,2.943027,[18 24] ; [ 7 23],[14.58333333 27.41666667] ; [10.41666667 19.58333333],0
b5,1,0.093928,2.805737,[31 14] ; [16 16],[27.46753247 17.53246753] ; [19.53246753 12.46753247],0
a4,1,0.100126,2.703533,[21 24] ; [ 9 23],[17.53246753 27.46753247] ; [12.46753247 19.53246753],0
p11,1,0.100126,2.703533,[24 21] ; [23  9],[27.46753247 17.53246753] ; [19.53246753 12.46753247],0
a8,1,0.135242,2.231274,[ 5 33] ; [ 1 31],[ 3.25714286 34.74285714] ; [ 2.74285714 29.25714286],0
r1,1,0.156281,2.009852,[36  9] ; [21 11],[33.31168831 11.68831169] ; [23.68831169  8.31168831],0
p9,1,0.164261,1.934556,[34  9] ; [20 11],[31.37837838 11.62162162] ; [22.62162162  8.37837838],0
d1,1,0.169963,1.883266,[24 21] ; [12 20],[21.03896104 23.96103896] ; [14.96103896 17.03896104],0
s5,1,0.191598,1.70529,[10 34] ; [11 19],[12.48648649 31.51351351] ; [ 8.51351351 21.48648649],0
n1,1,0.228871,1.447863,[4 8] ; [9 7],[5.57142857 6.42857143] ; [7.42857143 8.57142857],0
r4,1,0.237982,1.392506,[35 10] ; [21 11],[32.72727273 12.27272727] ; [23.27272727  8.72727273],0
v2,1,0.276688,1.183287,[27 16] ; [15 15],[24.73972603 18.26027397] ; [17.26027397 12.73972603],0
b1,1,0.280771,1.163355,[24 21] ; [21 11],[26.2987013 18.7012987] ; [18.7012987 13.2987013],0
s4,1,0.345151,0.891204,[ 5 40] ; [ 6 26],[ 6.42857143 38.57142857] ; [ 4.57142857 27.42857143],0
a1,1,0.386869,0.74876,[ 2 43] ; [ 3 29],[ 2.92207792 42.07792208] ; [ 2.07792208 29.92207792],0
p8,1,0.40072,0.706164,[18 25] ; [10 21],[16.27027027 26.72972973] ; [11.72972973 19.27027027],0
s7,1,0.467036,0.52898,[16 26] ; [14 16],[17.5 24.5] ; [12.5 17.5],0
a3,1,0.508724,0.43669,[34 11] ; [22 10],[32.72727273 12.27272727] ; [23.27272727  8.72727273],0
b2,1,0.510925,0.432173,[ 8 16] ; [ 9 12],[ 9.06666667 14.93333333] ; [ 7.93333333 13.06666667],0
b3,1,0.510925,0.432173,[ 8 16] ; [ 9 12],[ 9.06666667 14.93333333] ; [ 7.93333333 13.06666667],0
r2,1,0.524787,0.404475,[40  5] ; [26  5],[39.07894737  5.92105263] ; [26.92105263  4.07894737],0
u2,1,0.605577,0.266667,[8 2] ; [7 3],[7.5 2.5] ; [7.5 2.5],0
n3,1,0.629063,0.233333,[8 4] ; [12  4],[8.57142857 3.42857143] ; [11.42857143  4.57142857],0
v4,1,0.663422,0.189394,[39  6] ; [27  3],[39.6  5.4] ; [26.4  3.6],0
u3,1,0.695943,0.152727,[8 3] ; [8 2],[8.38095238 2.61904762] ; [7.61904762 2.38095238],0
p12,1,0.709674,0.138602,[ 2 41] ; [ 2 28],[ 2.35616438 40.64383562] ; [ 1.64383562 28.35616438],0
s1,1,0.735412,0.1142,[ 2 41] ; [ 2 29],[ 2.32432432 40.67567568] ; [ 1.67567568 29.32432432],0
p6,1,0.74202,0.108359,[12 30] ; [ 7 21],[11.4 30.6] ; [ 7.6 20.4],0
p3,1,0.785336,0.074187,[18 25] ; [12 19],[17.43243243 25.56756757] ; [12.56756757 18.43243243],0
s6,1,0.79946,0.064539,[26 19] ; [17 14],[25.46052632 19.53947368] ; [17.53947368 13.46052632],0
b4,1,0.800028,0.064167,[24 21] ; [18 14],[24.54545455 20.45454545] ; [17.45454545 14.54545455],0
d2,1,0.800665,0.06375,[17 28] ; [13 19],[17.53246753 27.46753247] ; [12.46753247 19.53246753],0
p10,1,0.804165,0.061485,[26 17] ; [19 11],[26.50684932 16.49315068] ; [18.49315068 11.50684932],0
p1,1,0.851702,0.034949,[ 5 40] ; [ 4 28],[ 5.25974026 39.74025974] ; [ 3.74025974 28.25974026],0
n4,1,0.861619,0.030385,[23 22] ; [17 15],[23.37662338 21.62337662] ; [16.62337662 15.37662338],0
n5,1,0.882694,0.021772,[20 24] ; [14 18],[19.68421053 24.31578947] ; [14.31578947 17.68421053],0
p4,1,0.929171,0.007901,[18 26] ; [13 18],[18.18666667 25.81333333] ; [12.81333333 18.18666667],0
p7,1,0.948232,0.004216,[20 22] ; [15 16],[20.1369863 21.8630137] ; [14.8630137 16.1369863],0
p5,1,0.950029,0.003928,[ 3 41] ; [ 2 29],[ 2.93333333 41.06666667] ; [ 2.06666667 28.93333333],0
