Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.008816,6.859741,[18 60] ; [11 10],[22.84848485 55.15151515] ; [ 6.15151515 14.84848485],0
u3,1,0.027028,4.889015,[ 8 26] ; [7 5],[11.08695652 22.91304348] ; [3.91304348 8.08695652],0
s6,1,0.02817,4.81763,[26 57] ; [12  9],[30.32692308 52.67307692] ; [ 7.67307692 13.32692308],0
v3,1,0.069974,3.283633,[18 64] ; [ 1 20],[15.12621359 66.87378641] ; [ 3.87378641 17.12621359],0
s2,1,0.102619,2.664368,[24 59] ; [10 11],[27.13461538 55.86538462] ; [ 6.86538462 14.13461538],0
p11,1,0.105805,2.615787,[43 40] ; [15  6],[46.28846154 36.71153846] ; [11.71153846  9.28846154],0
u2,1,0.112875,2.5135,[11 23] ; [7 5],[13.30434783 20.69565217] ; [4.69565217 7.30434783],0
v1,1,0.11769,2.447802,[29 49] ; [ 4 17],[26. 52.] ; [ 7. 14.],0
p7,1,0.142929,2.146136,[30 51] ; [11  9],[32.88118812 48.11881188] ; [ 8.11881188 11.88118812],0
p8,1,0.152887,2.043205,[23 58] ; [ 9 11],[25.66336634 55.33663366] ; [ 6.33663366 13.66336634],0
a6,1,0.155698,2.015515,[46 37] ; [ 8 13],[43.09615385 39.90384615] ; [10.90384615 10.09615385],0
p2,1,0.174003,1.848115,[44 36] ; [15  6],[46.73267327 33.26732673] ; [12.26732673  8.73267327],0
a3,1,0.197195,1.663026,[48 34] ; [ 9 12],[45.37864078 36.62135922] ; [11.62135922  9.37864078],0
b1,1,0.218043,1.517205,[48 35] ; [ 9 12],[45.49038462 37.50961538] ; [11.50961538  9.49038462],0
a5,1,0.221956,1.491681,[44 39] ; [ 8 13],[41.5 41.5] ; [10.5 10.5],0
s8,1,0.224081,1.478043,[14 69] ; [ 6 15],[15.96153846 67.03846154] ; [ 4.03846154 16.96153846],0
s3,1,0.224985,1.47229,[27 54] ; [10 11],[29.38235294 51.61764706] ; [ 7.61764706 13.38235294],0
s5,1,0.266908,1.232567,[10 72] ; [ 4 14],[11.48 70.52] ; [ 2.52 15.48],0
r2,1,0.30783,1.039964,[47 31] ; [ 9 10],[45.03092784 32.96907216] ; [10.96907216  8.03092784],0
d4,1,0.344124,0.895009,[50 33] ; [15  6],[51.875 31.125] ; [13.125  7.875],0
a7,1,0.351963,0.866368,[38 45] ; [12  9],[39.90384615 43.09615385] ; [10.09615385 10.90384615],0
p6,1,0.35269,0.863754,[15 63] ; [ 6 15],[16.54545455 61.45454545] ; [ 4.45454545 16.54545455],0
v4,1,0.3557,0.853018,[49 32] ; [15  6],[50.82352941 30.17647059] ; [13.17647059  7.82352941],0
p9,1,0.362251,0.830073,[50 29] ; [11 10],[48.19 30.81] ; [12.81  8.19],0
d3,1,0.376872,0.78088,[38 44] ; [12  9],[39.80582524 42.19417476] ; [10.19417476 10.80582524],0
p3,1,0.389108,0.741726,[23 58] ; [ 8 13],[24.61764706 56.38235294] ; [ 6.38235294 14.61764706],0
a2,1,0.398379,0.713214,[ 9 74] ; [ 1 20],[ 7.98076923 75.01923077] ; [ 2.01923077 18.98076923],0
a1,1,0.398379,0.713214,[ 9 74] ; [ 1 20],[ 7.98076923 75.01923077] ; [ 2.01923077 18.98076923],0
b5,1,0.406984,0.687594,[43 40] ; [13  8],[44.69230769 38.30769231] ; [11.30769231  9.69230769],0
p10,1,0.42969,0.623662,[37 41] ; [12  9],[38.60606061 39.39393939] ; [10.39393939 10.60606061],0
n1,1,0.456775,0.553785,[12 22] ; [2 7],[11.06976744 22.93023256] ; [2.93023256 6.06976744],0
b4,1,0.463677,0.537005,[43 40] ; [ 9 12],[41.5 41.5] ; [10.5 10.5],0
n4,1,0.513488,0.426952,[50 33] ; [11 10],[48.68269231 34.31730769] ; [12.31730769  8.68269231],0
