Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2.9e-05,17.45429,[58 27] ; [129  14],[69.71491228 15.28508772] ; [117.28508772  25.71491228],1
v4,1,0.000147,14.409676,[74 10] ; [142   1],[79.92951542  4.07048458] ; [136.07048458   6.92951542],1
p9,1,0.001247,10.418927,[65 19] ; [133  11],[72.94736842 11.05263158] ; [125.05263158  18.94736842],0
p12,1,0.003727,8.412209,[ 1 84] ; [ 17 126],[ 6.71052632 78.28947368] ; [ 11.28947368 131.71052632],0
s3,1,0.009086,6.80591,[56 30] ; [116  28],[64.31304348 21.68695652] ; [107.68695652  36.31304348],0
v1,1,0.012034,6.305817,[29 55] ; [72 67],[38.04484305 45.95515695] ; [62.95515695 76.04484305],0
s2,1,0.012171,6.285835,[53 33] ; [111  33],[61.32173913 24.67826087] ; [102.67826087  41.32173913],0
p10,1,0.012875,6.186157,[64 21] ; [125  17],[70.77092511 14.22907489] ; [118.22907489  23.77092511],0
r4,1,0.02776,4.842936,[68 18] ; [129  15],[73.66086957 12.33913043] ; [123.33913043  20.66086957],0
p6,1,0.030943,4.656112,[30 55] ; [71 71],[37.81938326 47.18061674] ; [63.18061674 78.81938326],0
p7,1,0.046935,3.947722,[47 36] ; [97 42],[53.83783784 29.16216216] ; [90.16216216 48.83783784],0
a3,1,0.06667,3.363157,[63 23] ; [120  24],[68.42608696 17.57391304] ; [114.57391304  29.42608696],0
n6,1,0.078305,3.099729,[66 18] ; [125  18],[70.6784141 13.3215859] ; [120.3215859  22.6784141],0
u1,1,0.118994,2.430509,[15 71] ; [ 38 106],[19.8173913 66.1826087] ; [ 33.1826087 110.8173913],0
p8,1,0.122319,2.387378,[39 45] ; [81 61],[44.60176991 39.39823009] ; [75.39823009 66.60176991],0
r2,1,0.132674,2.260935,[78  6] ; [136   4],[80.25  3.75] ; [133.75   6.25],0
b2,1,0.135911,2.223649,[18 41] ; [44 60],[22.44171779 36.55828221] ; [39.55828221 64.44171779],0
b3,1,0.135911,2.223649,[18 41] ; [44 60],[22.44171779 36.55828221] ; [39.55828221 64.44171779],0
n5,1,0.13593,2.223434,[59 25] ; [113  30],[63.64757709 20.35242291] ; [108.35242291  34.64757709],0
p5,1,0.13817,2.198225,[ 7 79] ; [ 21 121],[10.56140351 75.43859649] ; [ 17.43859649 124.56140351],0
