Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.1e-05,19.334402,[103  19] ; [65 46],[87.96566524 34.03433476] ; [80.03433476 30.96566524],1
s4,1,0.000528,12.012953,[38 81] ; [14 96],[27.02183406 91.97816594] ; [24.97816594 85.02183406],1
s7,1,0.001586,9.975813,[91 25] ; [63 44],[80.10762332 35.89237668] ; [73.89237668 33.10762332],0
p10,1,0.002243,9.339531,[116   6] ; [90 19],[108.7965368  13.2034632] ; [97.2034632 11.7965368],0
p5,1,0.002856,8.897159,[36 86] ; [15 97],[26.58974359 95.41025641] ; [24.41025641 87.58974359],0
p9,1,0.007694,7.103237,[118   4] ; [97 14],[112.5751073   9.4248927] ; [102.4248927   8.5751073],0
p1,1,0.027473,4.860825,[23 98] ; [ 10 102],[ 17.13733906 103.86266094] ; [15.86266094 96.13733906],0
a5,1,0.036728,4.363003,[102  20] ; [81 31],[95.41025641 26.58974359] ; [87.58974359 24.41025641],0
s3,1,0.04455,4.035608,[92 29] ; [71 40],[85.01293103 35.98706897] ; [77.98706897 33.01293103],0
a3,1,0.06477,3.410821,[96 25] ; [77 35],[89.84120172 31.15879828] ; [83.15879828 28.84120172],0
p7,1,0.069024,3.306082,[108  13] ; [88 21],[103.11304348  17.88695652] ; [92.88695652 16.11304348],0
n2,1,0.088407,2.903147,[24  6] ; [9 7],[21.52173913  8.47826087] ; [11.47826087  4.52173913],0
a4,1,0.105514,2.620155,[69 53] ; [51 60],[62.83261803 59.16738197] ; [57.16738197 53.83261803],0
r3,1,0.118821,2.432789,[116   5] ; [111   1],[117.88412017   3.11587983] ; [109.11587983   2.88412017],0
p12,1,0.118858,2.432309,[ 22 100] ; [12 99],[ 17.80257511 104.19742489] ; [16.19742489 94.80257511],0
n6,1,0.124016,2.365861,[112   8] ; [97 14],[108.57142857  11.42857143] ; [100.42857143  10.57142857],0
p3,1,0.126018,2.340882,[86 35] ; [69 43],[80.49356223 40.50643777] ; [74.50643777 37.49356223],0
b5,1,0.149385,2.078515,[66 56] ; [71 41],[71.42735043 50.57264957] ; [65.57264957 46.42735043],0
d3,1,0.160502,1.969494,[96 25] ; [80 32],[91.39914163 29.60085837] ; [84.60085837 27.39914163],0
v1,1,0.166753,1.911897,[83 39] ; [64 44],[77.97391304 44.02608696] ; [69.02608696 38.97391304],0
d1,1,0.195153,1.678279,[86 36] ; [70 42],[81.33333333 40.66666667] ; [74.66666667 37.33333333],0
u4,1,0.205085,1.60579,[  2 120] ; [  5 107],[  3.64957265 118.35042735] ; [  3.35042735 108.64957265],0
p8,1,0.219445,1.507994,[91 31] ; [74 36],[86.76724138 35.23275862] ; [78.23275862 31.76724138],0
a1,1,0.228518,1.450064,[ 13 109] ; [  7 105],[ 10.42735043 111.57264957] ; [  9.57264957 102.42735043],0
n3,1,0.271874,1.207268,[17 12] ; [12  4],[18.68888889 10.31111111] ; [10.31111111  5.68888889],0
b1,1,0.273817,1.197523,[48 74] ; [52 60],[52.13675214 69.86324786] ; [47.86324786 64.13675214],0
b4,1,0.288009,1.128906,[78 44] ; [64 48],[74.03418803 47.96581197] ; [67.96581197 44.03418803],0
n1,1,0.305885,1.048359,[16 14] ; [ 6 10],[14.34782609 15.65217391] ; [7.65217391 8.34782609],0
u3,1,0.306156,1.047188,[20  6] ; [22 12],[18.2  7.8] ; [23.8 10.2],0
s8,1,0.322563,0.978525,[81 40] ; [68 44],[77.3776824 43.6223176] ; [71.6223176 40.3776824],0
a2,1,0.352123,0.865793,[36 86] ; [27 85],[32.84615385 89.15384615] ; [30.15384615 81.84615385],0
u1,1,0.363168,0.826907,[30 92] ; [22 90],[27.11111111 94.88888889] ; [24.88888889 87.11111111],0
a7,1,0.385741,0.752327,[85 37] ; [83 28],[87.96566524 34.03433476] ; [80.03433476 30.96566524],0
v2,1,0.395628,0.721575,[68 52] ; [69 42],[71.16883117 48.83116883] ; [65.83116883 45.16883117],0
v4,1,0.432301,0.616633,[118   4] ; [106   6],[116.78632479   5.21367521] ; [107.21367521   4.78632479],0
r4,1,0.45602,0.555646,[117   5] ; [105   7],[115.74358974   6.25641026] ; [106.25641026   5.74358974],0
v3,1,0.460735,0.544108,[52 68] ; [42 67],[49.25764192 70.74235808] ; [44.74235808 64.25764192],0
p11,1,0.473385,0.514065,[98 24] ; [94 18],[100.1025641  21.8974359] ; [91.8974359 20.1025641],0
p2,1,0.478109,0.503173,[104  18] ; [99 13],[105.83760684  16.16239316] ; [97.16239316 14.83760684],0
a6,1,0.570652,0.321593,[75 45] ; [74 38],[77.06896552 42.93103448] ; [71.93103448 40.06896552],0
r2,1,0.607913,0.263226,[118   4] ; [104   5],[117.24675325   4.75324675] ; [104.75324675   4.24675325],0
n4,1,0.636276,0.223646,[103  19] ; [97 15],[104.27350427  17.72649573] ; [95.72649573 16.27350427],0
p4,1,0.663021,0.189875,[103  18] ; [93 19],[101.78540773  19.21459227] ; [94.21459227 17.78540773],0
b3,1,0.681369,0.168589,[34 44] ; [29 43],[32.76 45.24] ; [30.24 41.76],0
b2,1,0.681369,0.168589,[34 44] ; [29 43],[32.76 45.24] ; [30.24 41.76],0
