Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.005159,7.822807,[ 5 33] ; [7 7],[ 8.76923077 29.23076923] ; [ 3.23076923 10.76923077],0
r3,1,0.014663,5.956564,[21 16] ; [13  1],[24.66666667 12.33333333] ; [9.33333333 4.66666667],0
p2,1,0.019905,5.420233,[19 19] ; [12  2],[22.65384615 15.34615385] ; [8.34615385 5.65384615],0
p11,1,0.029627,4.730827,[20 18] ; [12  2],[23.38461538 14.61538462] ; [8.61538462 5.38461538],0
s8,1,0.071069,3.258145,[ 7 31] ; [6 8],[ 9.5 28.5] ; [ 3.5 10.5],0
b5,1,0.090844,2.85936,[20 18] ; [11  3],[22.65384615 15.34615385] ; [8.34615385 5.65384615],0
p5,1,0.109878,2.555982,[ 1 37] ; [ 2 12],[ 2.19230769 35.80769231] ; [ 0.80769231 13.19230769],0
p12,1,0.109878,2.555982,[ 1 37] ; [ 2 12],[ 2.19230769 35.80769231] ; [ 0.80769231 13.19230769],0
n3,1,0.12182,2.393769,[ 9 10] ; [5 1],[10.64  8.36] ; [3.36 2.64],0
v4,1,0.122654,2.383101,[18 20] ; [10  4],[20.46153846 17.53846154] ; [7.53846154 6.46153846],0
p9,1,0.128955,2.305043,[19 17] ; [10  3],[21.30612245 14.69387755] ; [7.69387755 5.30612245],0
a6,1,0.134938,2.234757,[13 25] ; [8 6],[15.34615385 22.65384615] ; [5.65384615 8.34615385],0
a8,1,0.141114,2.165767,[ 3 32] ; [3 9],[ 4.46808511 30.53191489] ; [ 1.53191489 10.46808511],0
p7,1,0.156943,2.00344,[11 27] ; [7 7],[13.15384615 24.84615385] ; [4.84615385 9.15384615],0
p6,1,0.187634,1.7361,[ 3 34] ; [ 3 11],[ 4.35294118 32.64705882] ; [ 1.64705882 12.35294118],0
p10,1,0.200243,1.640604,[18 19] ; [9 4],[19.98 17.02] ; [7.02 5.98],0
s2,1,0.20999,1.571497,[ 9 29] ; [ 1 12],[ 7.45098039 30.54901961] ; [ 2.54901961 10.45098039],0
d3,1,0.211094,1.56391,[17 21] ; [9 5],[19. 19.] ; [7. 7.],0
r1,1,0.221105,1.497188,[12 26] ; [7 7],[13.88461538 24.11538462] ; [5.11538462 8.88461538],0
b1,1,0.223622,1.480975,[20 18] ; [10  4],[21.92307692 16.07692308] ; [8.07692308 5.92307692],0
a7,1,0.2788,1.172932,[18 20] ; [9 5],[19.73076923 18.26923077] ; [7.26923077 6.73076923],0
p4,1,0.385668,0.752558,[ 9 29] ; [5 9],[10.23076923 27.76923077] ; [ 3.76923077 10.23076923],0
s6,1,0.391039,0.73571,[14 24] ; [7 7],[15.34615385 22.65384615] ; [5.65384615 8.34615385],0
n2,1,0.409454,0.680387,[ 9 10] ; [4 2],[9.88 9.12] ; [3.12 2.88],0
u2,1,0.446443,0.579667,[11  9] ; [5 2],[11.85185185  8.14814815] ; [4.14814815 2.85185185],0
v1,1,0.473604,0.513554,[12 26] ; [ 3 11],[10.96153846 27.03846154] ; [4.03846154 9.96153846],0
n6,1,0.510285,0.433482,[20 17] ; [9 5],[21.03921569 15.96078431] ; [7.96078431 6.03921569],0
b2,1,0.535724,0.383523,[ 7 17] ; [1 5],[ 6.4 17.6] ; [1.6 4.4],0
