Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,156.465412,[33 71] ; [358  43],[80.52277228 23.47722772] ; [310.47722772  90.52277228],1
n6,1,0.0,48.242869,[68 35] ; [370  32],[89.33465347 13.66534653] ; [348.66534653  53.33465347],1
p11,1,2e-06,22.257643,[64 41] ; [332  71],[81.8503937 23.1496063] ; [314.1496063  88.8503937],1
s4,1,1.3e-05,18.960689,[39 66] ; [ 69 326],[22.68 82.32] ; [ 85.32 309.68],1
a8,1,3.8e-05,16.972262,[ 1 96] ; [ 63 301],[13.46637744 83.53362256] ; [ 50.53362256 313.46637744],1
p5,1,0.000206,13.772543,[  2 102] ; [ 62 337],[13.23260437 90.76739563] ; [ 50.76739563 348.23260437],1
s7,1,0.000328,12.904479,[46 55] ; [252 135],[61.67622951 39.32377049] ; [236.32377049 150.67622951],1
p10,1,0.000468,12.238831,[75 28] ; [347  52],[86.58565737 16.41434263] ; [335.41434263  63.58565737],1
p4,1,0.000488,12.161514,[55 50] ; [283 119],[70. 35.] ; [268. 134.],1
a3,1,0.000699,11.492937,[67 38] ; [320  82],[80.14792899 24.85207101] ; [306.85207101  95.14792899],1
p2,1,0.000813,11.210989,[78 26] ; [353  48],[88.76039604 15.23960396] ; [342.23960396  58.76039604],1
p9,1,0.001194,10.499889,[80 22] ; [359  39],[89.556 12.444] ; [349.444  48.556],0
u1,1,0.001306,10.334185,[12 93] ; [106 297],[24.38976378 80.61023622] ; [ 93.61023622 309.38976378],0
a5,1,0.001765,9.778853,[71 34] ; [329  74],[82.67716535 22.32283465] ; [317.32283465  85.67716535],0
p6,1,0.001935,9.610391,[29 75] ; [177 219],[42.848 61.152] ; [163.152 232.848],0
s8,1,0.002993,8.811453,[47 58] ; [244 157],[60.38537549 44.61462451] ; [230.61462451 170.38537549],0
r1,1,0.003086,8.755684,[78 26] ; [349  53],[87.76284585 16.23715415] ; [339.23715415  62.76284585],0
p12,1,0.007748,7.090787,[  3 102] ; [ 46 354],[10.18811881 94.81188119] ; [ 38.81188119 361.18811881],0
d2,1,0.010808,6.496696,[46 59] ; [232 170],[57.5739645 47.4260355] ; [220.4260355 181.5739645],0
a4,1,0.012204,6.281022,[42 63] ; [216 186],[53.43195266 51.56804734] ; [204.56804734 197.43195266],0
p3,1,0.014056,6.031113,[46 59] ; [230 172],[57.15976331 47.84023669] ; [218.84023669 183.15976331],0
v3,1,0.017331,5.662508,[30 68] ; [171 219],[40.3647541 57.6352459] ; [160.6352459 229.3647541],0
a2,1,0.017609,5.634675,[20 85] ; [124 279],[29.76377953 75.23622047] ; [114.23622047 288.76377953],0
r4,1,0.019702,5.438088,[91 14] ; [377  26],[96.73228346  8.26771654] ; [371.26771654  31.73228346],0
p7,1,0.024636,5.049299,[57 43] ; [268 121],[66.46216769 33.53783231] ; [258.53783231 130.46216769],0
v1,1,0.028009,4.827541,[49 52] ; [237 154],[58.71138211 42.28861789] ; [227.28861789 163.71138211],0
p8,1,0.07298,3.214686,[46 57] ; [215 179],[54.09054326 48.90945674] ; [206.90945674 187.09054326],0
n1,1,0.102327,2.668898,[14 29] ; [36 39],[18.22033898 24.77966102] ; [31.77966102 43.22033898],0
u4,1,0.147802,2.094785,[  1 104] ; [ 15 388],[  3.30708661 101.69291339] ; [ 12.69291339 390.30708661],0
u3,1,0.187183,1.739653,[28  9] ; [52 30],[24.87394958 12.12605042] ; [55.12605042 26.87394958],0
d1,1,0.192089,1.701526,[69 36] ; [291 112],[74.40944882 30.59055118] ; [285.59055118 117.40944882],0
v4,1,0.225398,1.469672,[98  6] ; [389  13],[100.09486166   3.90513834] ; [386.90513834  15.09486166],0
a1,1,0.238408,1.38998,[  4 101] ; [ 28 375],[ 6.61417323 98.38582677] ; [ 25.38582677 377.61417323],0
s1,1,0.305775,1.048839,[  2 102] ; [ 16 382],[  3.72908367 100.27091633] ; [ 14.27091633 383.72908367],0
b1,1,0.405005,0.693414,[36 69] ; [156 247],[39.68503937 65.31496063] ; [152.31496063 250.68503937],0
d4,1,0.415643,0.662603,[92 13] ; [364  39],[94.2519685 10.7480315] ; [361.7480315  41.2519685],0
n3,1,0.425097,0.636181,[29 14] ; [55 19],[30.87179487 12.12820513] ; [53.12820513 20.87179487],0
b3,1,0.473985,0.51267,[17 36] ; [ 98 165],[19.28797468 33.71202532] ; [ 95.71202532 167.28797468],0
b2,1,0.473985,0.51267,[17 36] ; [ 98 165],[19.28797468 33.71202532] ; [ 95.71202532 167.28797468],0
a7,1,0.49434,0.467067,[81 24] ; [297 105],[78.28402367 26.71597633] ; [299.71597633 102.28402367],0
d3,1,0.535382,0.384167,[82 23] ; [303 100],[79.57677165 25.42322835] ; [305.42322835  97.57677165],0
u2,1,0.574294,0.315551,[21 16] ; [51 31],[22.38655462 14.61344538] ; [49.61344538 32.38655462],0
s5,1,0.586358,0.296068,[47 55] ; [168 222],[44.57317073 57.42682927] ; [170.42682927 219.57317073],0
n2,1,0.597026,0.279504,[32 11] ; [59 16],[33.16101695  9.83898305] ; [57.83898305 17.16101695],0
a6,1,0.611482,0.258022,[73 32] ; [269 133],[70.82840237 34.17159763] ; [271.17159763 130.82840237],0
p1,1,0.670305,0.181245,[ 9 94] ; [ 30 371],[ 7.9702381 95.0297619] ; [ 31.0297619 369.9702381],0
s3,1,0.710771,0.137508,[70 33] ; [278 120],[71.54491018 31.45508982] ; [276.45508982 121.54491018],0
s2,1,0.72536,0.123415,[68 37] ; [267 134],[69.51581028 35.48418972] ; [265.48418972 135.51581028],0
b4,1,0.729156,0.119888,[65 40] ; [242 161],[63.45472441 41.54527559] ; [243.54527559 159.45472441],0
v2,1,0.801173,0.063418,[56 39] ; [236 155],[57.0781893 37.9218107] ; [234.9218107 156.0781893],0
r2,1,0.843443,0.039003,[100   4] ; [380  17],[99.64071856  4.35928144] ; [380.35928144  16.64071856],0
r3,1,0.852942,0.03436,[101   3] ; [388  13],[100.7049505   3.2950495] ; [388.2950495  12.7049505],0
