Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,54.96557,[34 41] ; [416  84],[58.69565217 16.30434783] ; [391.30434783 108.69565217],1
n4,1,0.0,41.111668,[38 38] ; [412  87],[59.47826087 16.52173913] ; [390.52173913 108.47826087],1
p10,1,1.1e-05,19.387366,[49 25] ; [427  67],[62.01408451 11.98591549] ; [413.98591549  80.01408451],1
p11,1,0.000155,14.31608,[46 30] ; [400 100],[58.84722222 17.15277778] ; [387.15277778 112.84722222],1
r4,1,0.000306,13.031427,[66 10] ; [482  18],[72.30555556  3.69444444] ; [475.69444444  24.30555556],1
v3,1,0.004662,8.006012,[17 51] ; [209 277],[27.7400722 40.2599278] ; [198.2599278 287.7400722],0
s7,1,0.005126,7.834294,[35 40] ; [304 174],[45.97649186 29.02350814] ; [293.02350814 184.97649186],0
p9,1,0.009286,6.766992,[58 16] ; [439  54],[64.86419753  9.13580247] ; [432.13580247  60.86419753],0
a4,1,0.012775,6.200034,[25 51] ; [239 257],[35.07692308 40.92307692] ; [228.92307692 267.07692308],0
u1,1,0.017561,5.639375,[ 8 68] ; [112 388],[15.83333333 60.16666667] ; [104.16666667 395.83333333],0
v4,1,0.019528,5.4536,[71  5] ; [490  10],[74.02083333  1.97916667] ; [486.97916667  13.02083333],0
p6,1,0.020575,5.362463,[20 52] ; [208 286],[29.00353357 42.99646643] ; [198.99646643 295.00353357],0
p12,1,0.028531,4.795668,[ 2 73] ; [ 53 444],[ 7.21153846 67.78846154] ; [ 47.78846154 449.21153846],0
s5,1,0.038004,4.304841,[23 48] ; [221 265],[31.10233393 39.89766607] ; [212.89766607 273.10233393],0
p8,1,0.049027,3.874429,[31 42] ; [269 222],[38.82978723 34.17021277] ; [261.17021277 229.82978723],0
a3,1,0.067774,3.336116,[49 27] ; [370 127],[55.57417103 20.42582897] ; [363.42582897 133.57417103],0
s8,1,0.078383,3.098106,[35 41] ; [283 215],[42.10452962 33.89547038] ; [275.89547038 222.10452962],0
p4,1,0.08016,3.061664,[42 34] ; [326 171],[48.80977312 27.19022688] ; [319.19022688 177.80977312],0
p5,1,0.094991,2.787684,[ 5 69] ; [ 68 428],[ 9.47719298 64.52280702] ; [ 63.52280702 432.47719298],0
u2,1,0.111613,2.531229,[19  7] ; [72 56],[15.36363636 10.63636364] ; [75.63636364 52.36363636],0
a5,1,0.114859,2.486054,[52 24] ; [383 116],[57.49565217 18.50434783] ; [377.50434783 121.49565217],0
p2,1,0.121109,2.402915,[59 17] ; [420  76],[63.64335664 12.35664336] ; [415.35664336  80.64335664],0
