Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,2.2e-05,18.004675,[11  4] ; [18 71],[ 4.18269231 10.81730769] ; [24.81730769 64.18269231],1
p7,1,0.00058,11.837799,[12  3] ; [29 59],[5.97087379 9.02912621] ; [35.02912621 52.97087379],1
p11,1,0.005189,7.8125,[12  3] ; [37 53],[7. 8.] ; [42. 48.],0
s8,1,0.00685,7.311921,[ 4 11] ; [ 5 85],[ 1.28571429 13.71428571] ; [ 7.71428571 82.28571429],0
p3,1,0.02179,5.262493,[7 7] ; [19 70],[ 3.53398058 10.46601942] ; [22.46601942 66.53398058],0
p6,1,0.041858,4.140938,[ 5 10] ; [11 76],[ 2.35294118 12.64705882] ; [13.64705882 73.35294118],0
s7,1,0.052974,3.744731,[5 9] ; [12 71],[ 2.45360825 11.54639175] ; [14.54639175 68.45360825],0
p2,1,0.066738,3.361474,[11  4] ; [43 47],[7.71428571 7.28571429] ; [46.28571429 43.71428571],0
r4,1,0.07468,3.177044,[12  3] ; [50 40],[8.85714286 6.14285714] ; [53.14285714 36.85714286],0
v1,1,0.074725,3.176044,[7 8] ; [22 68],[ 4.14285714 10.85714286] ; [24.85714286 65.14285714],0
p10,1,0.087669,2.916667,[6 9] ; [18 72],[ 3.42857143 11.57142857] ; [20.57142857 69.42857143],0
s1,1,0.094707,2.792489,[ 3 12] ; [ 6 82],[ 1.31067961 13.68932039] ; [ 7.68932039 80.31067961],0
a4,1,0.150459,2.067588,[ 3 12] ; [35 54],[5.48076923 9.51923077] ; [32.51923077 56.48076923],0
a8,1,0.168783,1.89372,[ 2 12] ; [ 4 80],[ 0.85714286 13.14285714] ; [ 5.14285714 78.85714286],0
r1,1,0.173132,1.855616,[12  3] ; [55 34],[9.66346154 5.33653846] ; [57.33653846 31.66346154],0
r2,1,0.227089,1.459004,[14  1] ; [70 17],[12.35294118  2.64705882] ; [71.64705882 15.35294118],0
p4,1,0.258005,1.27943,[6 9] ; [23 66],[ 4.18269231 10.81730769] ; [24.81730769 64.18269231],0
b4,1,0.292225,1.10934,[7 8] ; [55 35],[8.85714286 6.14285714] ; [53.14285714 36.85714286],0
p8,1,0.308124,1.038702,[ 5 10] ; [19 70],[ 3.46153846 11.53846154] ; [20.53846154 68.46153846],0
a5,1,0.336314,0.924431,[10  5] ; [48 42],[8.28571429 6.71428571] ; [49.71428571 40.28571429],0
v3,1,0.345269,0.89077,[ 5 10] ; [19 67],[ 3.56435644 11.43564356] ; [20.43564356 65.56435644],0
v2,1,0.364708,0.821616,[7 8] ; [30 57],[5.44117647 9.55882353] ; [31.55882353 55.44117647],0
n4,1,0.390734,0.736658,[11  4] ; [55 34],[9.51923077 5.48076923] ; [56.48076923 32.51923077],0
r3,1,0.399987,0.708366,[12  3] ; [61 27],[10.63106796  4.36893204] ; [62.36893204 25.63106796],0
a2,1,0.411981,0.673077,[ 1 14] ; [13 77],[ 2. 13.] ; [12. 78.],0
d3,1,0.473109,0.514706,[9 6] ; [45 45],[7.71428571 7.28571429] ; [46.28571429 43.71428571],0
d1,1,0.56917,0.324074,[ 5 10] ; [37 53],[6. 9.] ; [36. 54.],0
a6,1,0.56917,0.324074,[10  5] ; [53 37],[9. 6.] ; [54. 36.],0
d2,1,0.579212,0.30751,[6 9] ; [42 46],[6.99029126 8.00970874] ; [41.00970874 46.99029126],0
v4,1,0.597291,0.279101,[12  3] ; [64 23],[11.17647059  3.82352941] ; [64.82352941 22.17647059],0
n1,1,0.597356,0.279002,[2 2] ; [15 26],[1.51111111 2.48888889] ; [15.48888889 25.51111111],0
n3,1,0.600233,0.274645,[4 2] ; [21 17],[3.40909091 2.59090909] ; [21.59090909 16.40909091],0
n6,1,0.63571,0.224396,[9 6] ; [47 41],[8.15533981 6.84466019] ; [47.84466019 40.15533981],0
a3,1,0.662262,0.190787,[9 6] ; [48 41],[8.22115385 6.77884615] ; [48.77884615 40.22115385],0
u1,1,0.683881,0.165789,[ 1 14] ; [ 9 81],[ 1.42857143 13.57142857] ; [ 8.57142857 81.42857143],0
s5,1,0.707484,0.140803,[ 2 13] ; [ 9 80],[ 1.58653846 13.41346154] ; [ 9.41346154 79.58653846],0
n2,1,0.710584,0.137694,[3 2] ; [21 20],[2.60869565 2.39130435] ; [21.39130435 19.60869565],0
u3,1,0.737874,0.112004,[2 4] ; [17 25],[2.375 3.625] ; [16.625 25.375],0
d5,1,0.740171,0.109976,[9 6] ; [58 32],[9.57142857 5.42857143] ; [57.42857143 32.57142857],0
p1,1,0.767301,0.087561,[ 1 14] ; [ 8 81],[ 1.29807692 13.70192308] ; [ 7.70192308 81.29807692],0
s4,1,0.775922,0.081019,[ 1 14] ; [ 8 82],[ 1.28571429 13.71428571] ; [ 7.71428571 82.28571429],0
u2,1,0.779023,0.078732,[3 3] ; [18 23],[2.68085106 3.31914894] ; [18.31914894 22.68085106],0
d4,1,0.787323,0.072786,[9 6] ; [56 32],[9.46601942 5.53398058] ; [55.53398058 32.46601942],0
a7,1,0.801414,0.063261,[8 7] ; [50 38],[8.44660194 6.55339806] ; [49.55339806 38.44660194],0
b1,1,0.811062,0.057148,[8 7] ; [45 45],[7.57142857 7.42857143] ; [45.42857143 44.57142857],0
n5,1,0.842549,0.039456,[7 8] ; [44 45],[7.35576923 7.64423077] ; [43.64423077 45.35576923],0
b2,1,0.914081,0.011641,[3 6] ; [19 35],[3.14285714 5.85714286] ; [18.85714286 35.14285714],0
b3,1,0.914081,0.011641,[3 6] ; [19 35],[3.14285714 5.85714286] ; [18.85714286 35.14285714],0
b5,1,0.936418,0.006364,[7 8] ; [43 47],[7.14285714 7.85714286] ; [42.85714286 47.14285714],0
