Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.460351,[107   8] ; [32 17],[97.4695122 17.5304878] ; [41.5304878  7.4695122],1
a5,1,0.000358,12.740917,[81 34] ; [20 29],[70.82317073 44.17682927] ; [30.17682927 18.82317073],1
r2,1,0.003189,8.696145,[109   4] ; [39  8],[104.525   8.475] ; [43.475  3.525],0
v2,1,0.004776,7.962447,[67 43] ; [18 31],[58.80503145 51.19496855] ; [26.19496855 22.80503145],0
d1,1,0.005715,7.63795,[67 48] ; [17 32],[58.90243902 56.09756098] ; [25.09756098 23.90243902],0
a6,1,0.016153,5.78613,[77 38] ; [23 26],[70.12195122 44.87804878] ; [29.87804878 19.12195122],0
p10,1,0.017522,5.643344,[84 30] ; [25 21],[77.6625 36.3375] ; [31.3375 14.6625],0
a7,1,0.018217,5.575128,[94 21] ; [31 17],[88.19018405 26.80981595] ; [36.80981595 11.19018405],0
a4,1,0.018471,5.550955,[48 67] ; [11 38],[41.37195122 73.62804878] ; [17.62804878 31.37195122],0
d4,1,0.019211,5.482211,[98 17] ; [34 15],[92.56097561 22.43902439] ; [39.43902439  9.56097561],0
s6,1,0.025216,5.008988,[71 42] ; [21 27],[64.57142857 48.42857143] ; [27.42857143 20.57142857],0
s7,1,0.039368,4.244901,[45 68] ; [11 37],[39.30434783 73.69565217] ; [16.69565217 31.30434783],0
r3,1,0.044882,4.023081,[113   2] ; [45  4],[110.79268293   4.20731707] ; [47.20731707  1.79268293],0
u1,1,0.050009,3.841165,[17 98] ; [ 2 47],[ 13.32317073 101.67682927] ; [ 5.67682927 43.32317073],0
p9,1,0.051445,3.793716,[91 23] ; [30 16],[86.2125 27.7875] ; [34.7875 11.2125],0
a2,1,0.057134,3.618682,[20 95] ; [ 3 46],[16.12804878 98.87195122] ; [ 6.87195122 42.12804878],0
p11,1,0.061435,3.498221,[87 28] ; [30 19],[82.04268293 32.95731707] ; [34.95731707 14.04268293],0
v1,1,0.083058,3.004021,[44 66] ; [12 35],[39.23566879 70.76433121] ; [16.76433121 30.23566879],0
s4,1,0.100502,2.697566,[27 88] ; [ 6 43],[23.1402439 91.8597561] ; [ 9.8597561 39.1402439],0
b1,1,0.104178,2.64039,[30 85] ; [19 30],[34.3597561 80.6402439] ; [14.6402439 34.3597561],0
d5,1,0.119944,2.418047,[90 25] ; [32 16],[86.07361963 28.92638037] ; [35.92638037 12.07361963],0
s3,1,0.121494,2.397954,[56 57] ; [17 30],[51.55625 61.44375] ; [21.44375 25.55625],0
b5,1,0.123113,2.377264,[65 50] ; [34 15],[69.42073171 45.57926829] ; [29.57926829 19.42073171],0
n1,1,0.147222,2.100804,[ 9 22] ; [ 2 16],[ 6.95918367 24.04081633] ; [ 4.04081633 13.95918367],0
s8,1,0.183165,1.771755,[40 74] ; [12 37],[36.36809816 77.63190184] ; [15.63190184 33.36809816],0
n3,1,0.183501,1.769042,[25  5] ; [12  6],[23.125  6.875] ; [13.875  4.125],0
u3,1,0.204525,1.609763,[22 16] ; [ 9 13],[19.63333333 18.36666667] ; [11.36666667 10.63333333],0
d3,1,0.230706,1.436505,[85 30] ; [31 17],[81.8404908 33.1595092] ; [34.1595092 13.8404908],0
a3,1,0.23525,1.408834,[76 39] ; [27 21],[72.66871166 42.33128834] ; [30.33128834 17.66871166],0
a1,1,0.272609,1.203572,[  3 112] ; [ 3 46],[  4.20731707 110.79268293] ; [ 1.79268293 47.20731707],0
s1,1,0.272609,1.203572,[  3 112] ; [ 3 46],[  4.20731707 110.79268293] ; [ 1.79268293 47.20731707],0
p5,1,0.309884,1.031171,[  5 110] ; [ 4 44],[  6.34969325 108.65030675] ; [ 2.65030675 45.34969325],0
v4,1,0.316563,1.003096,[109   5] ; [44  4],[107.66666667   6.33333333] ; [45.33333333  2.66666667],0
d2,1,0.344111,0.895055,[49 66] ; [17 32],[46.2804878 68.7195122] ; [19.7195122 29.2804878],0
n4,1,0.36602,0.817131,[51 64] ; [18 31],[48.38414634 66.61585366] ; [20.61585366 28.38414634],0
p6,1,0.3905,0.737386,[35 79] ; [11 35],[32.775 81.225] ; [13.225 32.775],0
p8,1,0.393869,0.726966,[49 66] ; [17 31],[46.56441718 68.43558282] ; [19.43558282 28.56441718],0
p7,1,0.518516,0.416845,[68 46] ; [26 22],[66.14814815 47.85185185] ; [27.85185185 20.14814815],0
b3,1,0.57274,0.31812,[17 45] ; [ 9 18],[18.11235955 43.88764045] ; [ 7.88764045 19.11235955],0
b2,1,0.57274,0.31812,[17 45] ; [ 9 18],[18.11235955 43.88764045] ; [ 7.88764045 19.11235955],0
u2,1,0.592097,0.287081,[18 20] ; [12 10],[19. 19.] ; [11. 11.],0
p2,1,0.670802,0.180666,[89 25] ; [36 12],[87.96296296 26.03703704] ; [37.03703704 10.96296296],0
b4,1,0.67978,0.170374,[72 43] ; [29 20],[70.82317073 44.17682927] ; [30.17682927 18.82317073],0
a8,1,0.736369,0.113343,[11 94] ; [ 4 42],[10.43046358 94.56953642] ; [ 4.56953642 41.43046358],0
p4,1,0.753008,0.099021,[51 64] ; [20 28],[50.09202454 64.90797546] ; [20.90797546 27.09202454],0
p1,1,0.768663,0.086509,[  6 108] ; [ 2 46],[  5.62962963 108.37037037] ; [ 2.37037037 45.62962963],0
n2,1,0.815163,0.054649,[19 11] ; [12  6],[19.375 10.625] ; [11.625  6.375],0
s2,1,0.846642,0.037406,[47 67] ; [21 28],[47.55828221 66.44171779] ; [20.44171779 28.55828221],0
p3,1,0.894813,0.017481,[41 74] ; [18 31],[41.37195122 73.62804878] ; [17.62804878 31.37195122],0
p12,1,0.938472,0.005958,[  5 110] ; [ 2 47],[  4.90853659 110.09146341] ; [ 2.09146341 46.90853659],0
v3,1,0.976,0.000905,[29 79] ; [13 35],[29.07692308 78.92307692] ; [12.92307692 35.07692308],0
s5,1,0.978731,0.000711,[33 77] ; [14 33],[32.92993631 77.07006369] ; [14.07006369 32.92993631],0
