Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.80543,[ 7 32] ; [35 16],[18.2 20.8] ; [23.8 27.2],1
s8,1,6.3e-05,15.998707,[ 6 33] ; [29 22],[15.16666667 23.83333333] ; [19.83333333 31.16666667],1
v1,1,0.000121,14.773805,[ 8 30] ; [30 18],[16.79069767 21.20930233] ; [21.20930233 26.79069767],1
r4,1,0.000573,11.862287,[15 24] ; [38 13],[22.96666667 16.03333333] ; [30.03333333 20.96666667],1
s5,1,0.000658,11.604775,[ 4 32] ; [22 26],[11.14285714 24.85714286] ; [14.85714286 33.14285714],1
s3,1,0.000661,11.59574,[10 28] ; [32 19],[17.93258427 20.06741573] ; [24.06741573 26.93258427],1
s7,1,0.000914,10.994426,[ 7 29] ; [27 22],[14.4 21.6] ; [19.6 29.4],1
p11,1,0.0015,10.079186,[22 17] ; [44  7],[28.6 10.4] ; [37.4 13.6],0
p4,1,0.003422,8.567675,[13 24] ; [34 17],[19.76136364 17.23863636] ; [27.23863636 23.76136364],0
p10,1,0.005438,7.727534,[21 17] ; [42  9],[26.8988764 11.1011236] ; [36.1011236 14.8988764],0
p6,1,0.006437,7.423643,[ 7 27] ; [25 25],[12.95238095 21.04761905] ; [19.04761905 30.95238095],0
r3,1,0.008235,6.981661,[29 10] ; [48  3],[33.36666667  5.63333333] ; [43.63333333  7.36666667],0
p2,1,0.014131,6.021687,[19 18] ; [39 12],[24.38636364 12.61363636] ; [33.61363636 17.38636364],0
p9,1,0.017994,5.596733,[24 13] ; [44  7],[28.59090909  8.40909091] ; [39.40909091 11.59090909],0
p7,1,0.03329,4.530799,[13 26] ; [28 22],[17.96629213 21.03370787] ; [23.03370787 26.96629213],0
s4,1,0.043298,4.08371,[ 4 35] ; [14 37],[ 7.8 31.2] ; [10.2 40.8],0
b3,1,0.047681,3.921203,[13 10] ; [11 25],[ 9.3559322 13.6440678] ; [14.6440678 21.3559322],0
b2,1,0.047681,3.921203,[13 10] ; [11 25],[ 9.3559322 13.6440678] ; [14.6440678 21.3559322],0
v4,1,0.04832,3.898804,[28 11] ; [45  6],[31.63333333  7.36666667] ; [41.36666667  9.63333333],0
v2,1,0.065697,3.387396,[17 21] ; [31 17],[21.20930233 16.79069767] ; [26.79069767 21.20930233],0
b4,1,0.066242,3.373771,[21 18] ; [37 14],[25.13333333 13.86666667] ; [32.86666667 18.13333333],0
v3,1,0.067136,3.351679,[10 29] ; [21 26],[14.05813953 24.94186047] ; [16.94186047 30.05813953],0
p8,1,0.089592,2.881688,[10 27] ; [22 27],[13.76744186 23.23255814] ; [18.23255814 30.76744186],0
u1,1,0.136481,2.217195,[ 6 33] ; [ 3 48],[ 3.9 35.1] ; [ 5.1 45.9],0
b5,1,0.15179,2.054166,[21 18] ; [35 16],[24.26666667 14.73333333] ; [31.73333333 19.26666667],0
p3,1,0.160904,1.965707,[14 23] ; [27 24],[17.23863636 19.76136364] ; [23.76136364 27.23863636],0
n4,1,0.210093,1.570782,[30  9] ; [33 18],[27.3 11.7] ; [35.7 15.3],0
a6,1,0.258922,1.27451,[26 13] ; [28 23],[23.4 15.6] ; [30.6 20.4],0
p1,1,0.260009,1.268709,[ 7 32] ; [ 5 46],[ 5.2 33.8] ; [ 6.8 44.2],0
u2,1,0.279642,1.168831,[2 5] ; [6 5],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
u3,1,0.387094,0.748052,[3 4] ; [7 4],[3.88888889 3.11111111] ; [6.11111111 4.88888889],0
n1,1,0.387556,0.746596,[ 4 12] ; [ 7 11],[ 5.17647059 10.82352941] ; [ 5.82352941 12.17647059],0
d3,1,0.391902,0.733032,[31  8] ; [44  7],[32.5  6.5] ; [42.5  8.5],0
n2,1,0.403917,0.696635,[10  7] ; [13  5],[11.17142857  5.82857143] ; [11.82857143  6.17142857],0
a1,1,0.411802,0.673593,[ 2 37] ; [ 5 46],[ 3.03333333 35.96666667] ; [ 3.96666667 47.03333333],0
n6,1,0.453296,0.562398,[28 10] ; [41 10],[29.46067416  8.53932584] ; [39.53932584 11.46067416],0
a2,1,0.552866,0.352207,[ 8 31] ; [ 8 43],[ 6.93333333 32.06666667] ; [ 9.06666667 41.93333333],0
a7,1,0.566072,0.329299,[26 13] ; [31 20],[24.7 14.3] ; [32.3 18.7],0
n3,1,0.625444,0.23829,[9 8] ; [11  7],[9.71428571 7.28571429] ; [10.28571429  7.71428571],0
a5,1,0.650807,0.204885,[29 10] ; [40 11],[29.9  9.1] ; [39.1 11.9],0
n5,1,0.651815,0.20362,[25 14] ; [35 16],[26. 13.] ; [34. 17.],0
a3,1,0.670519,0.180995,[32  7] ; [40 11],[31.2  7.8] ; [40.8 10.2],0
r2,1,0.691957,0.156975,[29  6] ; [43  7],[29.64705882  5.35294118] ; [42.35294118  7.64705882],0
a4,1,0.736027,0.113649,[20 18] ; [25 26],[19.21348315 18.78651685] ; [25.78651685 25.21348315],0
s1,1,0.762522,0.091307,[ 2 36] ; [ 2 49],[ 1.70786517 36.29213483] ; [ 2.29213483 48.70786517],0
p5,1,0.796075,0.066786,[ 4 35] ; [ 6 44],[ 4.38202247 34.61797753] ; [ 5.61797753 44.38202247],0
a8,1,0.810494,0.057499,[ 2 36] ; [ 2 46],[ 1.76744186 36.23255814] ; [ 2.23255814 45.76744186],0
b1,1,0.840712,0.040394,[16 23] ; [22 29],[16.46666667 22.53333333] ; [21.53333333 29.46666667],0
d5,1,0.847421,0.037022,[38  1] ; [50  1],[38.13333333  0.86666667] ; [49.86666667  1.13333333],0
d2,1,0.876533,0.024139,[27 11] ; [37 14],[27.3258427 10.6741573] ; [36.6741573 14.3258427],0
