Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,31.043685,[92 13] ; [ 9 16],[81.57692308 23.42307692] ; [19.42307692  5.57692308],1
d1,1,0.0,28.954278,[67 38] ; [ 1 24],[54.92307692 50.07692308] ; [13.07692308 11.92307692],1
a5,1,3.7e-05,16.995198,[90 15] ; [12 13],[82.38461538 22.61538462] ; [19.61538462  5.38461538],1
a3,1,0.000158,14.276027,[85 20] ; [11 14],[77.53846154 27.46153846] ; [18.46153846  6.53846154],1
d3,1,0.001362,10.256979,[54 51] ; [ 4 21],[46.84615385 58.15384615] ; [11.15384615 13.84615385],0
s5,1,0.006769,7.333203,[53 47] ; [ 5 18],[47.15447154 52.84552846] ; [10.84552846 12.15447154],0
p2,1,0.008204,6.988402,[90 14] ; [16  9],[85.45736434 18.54263566] ; [20.54263566  4.45736434],0
v2,1,0.011378,6.405281,[59 43] ; [ 7 17],[53.42857143 48.57142857] ; [12.57142857 11.42857143],0
s2,1,0.011498,6.386727,[63 42] ; [ 8 17],[57.34615385 47.65384615] ; [13.65384615 11.34615385],0
v1,1,0.030384,4.68743,[59 43] ; [ 8 16],[54.23809524 47.76190476] ; [12.76190476 11.23809524],0
s7,1,0.03371,4.509343,[67 33] ; [11 14],[62.4 37.6] ; [15.6  9.4],0
a6,1,0.046334,3.969408,[40 65] ; [15 10],[44.42307692 60.57692308] ; [10.57692308 14.42307692],0
a4,1,0.075617,3.156682,[50 55] ; [ 7 18],[46.03846154 58.96153846] ; [10.96153846 14.03846154],0
v3,1,0.078723,3.091062,[50 52] ; [ 7 17],[46.14285714 55.85714286] ; [10.85714286 13.14285714],0
b5,1,0.085096,2.964787,[43 62] ; [15 10],[46.84615385 58.15384615] ; [11.15384615 13.84615385],0
s1,1,0.102978,2.658813,[  4 101] ; [ 3 22],[ 5.65384615 99.34615385] ; [ 1.34615385 23.65384615],0
n1,1,0.152057,2.051491,[12  8] ; [2 5],[10.37037037  9.62962963] ; [3.62962963 3.37037037],0
s6,1,0.16134,1.961618,[78 24] ; [15  9],[75.28571429 26.71428571] ; [17.71428571  6.28571429],0
s3,1,0.178853,1.807128,[68 37] ; [12 12],[65.11627907 39.88372093] ; [14.88372093  9.11627907],0
d2,1,0.183333,1.7704,[57 47] ; [10 15],[54.01550388 49.98449612] ; [12.98449612 12.01550388],0
b3,1,0.23223,1.427152,[36 39] ; [ 7 14],[33.59375 41.40625] ; [ 9.40625 11.59375],0
b2,1,0.23223,1.427152,[36 39] ; [ 7 14],[33.59375 41.40625] ; [ 9.40625 11.59375],0
s8,1,0.237568,1.394969,[64 41] ; [12 13],[61.38461538 43.61538462] ; [14.61538462 10.38461538],0
p7,1,0.26672,1.233538,[78 26] ; [16  9],[75.78294574 28.21705426] ; [18.21705426  6.78294574],0
u3,1,0.267511,1.229464,[11  9] ; [5 9],[ 9.41176471 10.58823529] ; [6.58823529 7.41176471],0
u2,1,0.324324,0.971429,[12  8] ; [6 8],[10.58823529  9.41176471] ; [7.41176471 6.58823529],0
p10,1,0.333172,0.936531,[84 20] ; [18  7],[82.23255814 21.76744186] ; [19.76744186  5.23255814],0
r2,1,0.356781,0.849194,[94 10] ; [21  4],[92.71317829 11.28682171] ; [22.28682171  2.71317829],0
r3,1,0.368449,0.808889,[98  7] ; [22  3],[96.92307692  8.07692308] ; [23.07692308  1.92307692],0
r4,1,0.396426,0.71914,[91 14] ; [20  5],[89.65384615 15.34615385] ; [21.34615385  3.65384615],0
p8,1,0.399822,0.708862,[67 36] ; [14 11],[65.1796875 37.8203125] ; [15.8203125  9.1796875],0
a8,1,0.423343,0.641017,[11 91] ; [ 4 20],[12.14285714 89.85714286] ; [ 2.85714286 21.14285714],0
a2,1,0.440767,0.594286,[ 9 96] ; [ 1 24],[ 8.07692308 96.92307692] ; [ 1.92307692 23.07692308],0
p11,1,0.453526,0.561825,[81 24] ; [21  4],[82.38461538 22.61538462] ; [19.61538462  5.38461538],0
n4,1,0.454262,0.559996,[85 19] ; [22  3],[86.26356589 17.73643411] ; [20.73643411  4.26356589],0
p6,1,0.461869,0.541362,[45 57] ; [ 9 16],[43.37007874 58.62992126] ; [10.62992126 14.37007874],0
a1,1,0.521754,0.410425,[ 8 97] ; [ 1 24],[ 7.26923077 97.73076923] ; [ 1.73076923 23.26923077],0
n2,1,0.534561,0.385714,[14  6] ; [4 3],[13.33333333  6.66666667] ; [4.66666667 2.33333333],0
s4,1,0.551117,0.355321,[27 78] ; [ 5 20],[25.84615385 79.15384615] ; [ 6.15384615 18.84615385],0
p4,1,0.592253,0.28684,[77 28] ; [17  8],[75.92307692 29.07692308] ; [18.07692308  6.92307692],0
n5,1,0.599332,0.276004,[78 26] ; [20  5],[79.00775194 24.99224806] ; [18.99224806  6.00775194],0
p1,1,0.642266,0.21579,[13 91] ; [ 4 21],[13.70542636 90.29457364] ; [ 3.29457364 21.70542636],0
p9,1,0.662733,0.19022,[87 17] ; [20  5],[86.26356589 17.73643411] ; [20.73643411  4.26356589],0
r1,1,0.738126,0.111781,[79 26] ; [18  7],[78.34615385 26.65384615] ; [18.65384615  6.34615385],0
n3,1,0.756158,0.096429,[13  7] ; [5 2],[13.33333333  6.66666667] ; [4.66666667 2.33333333],0
u1,1,0.813412,0.055709,[ 7 98] ; [ 2 23],[ 7.26923077 97.73076923] ; [ 1.73076923 23.26923077],0
v4,1,0.825179,0.048792,[94 11] ; [22  3],[93.69230769 11.30769231] ; [22.30769231  2.69230769],0
p5,1,0.825399,0.048667,[19 86] ; [ 5 20],[19.38461538 85.61538462] ; [ 4.61538462 20.38461538],0
b4,1,0.836766,0.042449,[57 48] ; [13 12],[56.53846154 48.46153846] ; [13.46153846 11.53846154],0
p12,1,0.84258,0.03944,[ 7 95] ; [ 2 23],[ 7.22834646 94.77165354] ; [ 1.77165354 23.22834646],0
n6,1,0.87596,0.024365,[86 18] ; [21  4],[86.26356589 17.73643411] ; [20.73643411  4.26356589],0
b1,1,0.904438,0.014414,[56 49] ; [13 12],[55.73076923 49.26923077] ; [13.26923077 11.73076923],0
