Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,23.731811,[13 33] ; [108  50],[27.28431373 18.71568627] ; [93.71568627 64.28431373],1
p7,1,3e-06,21.976701,[20 26] ; [122  32],[32.66 13.34] ; [109.34  44.66],1
p9,1,5.2e-05,16.375985,[35 10] ; [152   6],[41.45320197  3.54679803] ; [145.54679803  12.45320197],1
b1,1,0.000114,14.897541,[27 20] ; [ 44 118],[15.96650718 31.03349282] ; [ 55.03349282 106.96650718],1
n6,1,0.000238,13.500806,[35 11] ; [150   9],[41.51219512  4.48780488] ; [143.48780488  15.51219512],1
p2,1,0.000922,10.977183,[33 13] ; [146  15],[39.77777778  6.22222222] ; [139.22222222  21.77777778],1
p10,1,0.00696,7.2833,[35  9] ; [150  11],[39.70731707  4.29268293] ; [145.29268293  15.70731707],0
p3,1,0.008798,6.863395,[18 28] ; [98 63],[25.77777778 20.22222222] ; [90.22222222 70.77777778],0
p4,1,0.011367,6.40696,[24 21] ; [117  43],[30.95121951 14.04878049] ; [110.04878049  49.95121951],0
p5,1,0.012343,6.26087,[ 4 42] ; [ 42 119],[10.22222222 35.77777778] ; [ 35.77777778 125.22222222],0
r3,1,0.013917,6.048701,[41  5] ; [157   4],[44.  2.] ; [154.   7.],0
n5,1,0.021854,5.257345,[30 17] ; [128  32],[35.87439614 11.12560386] ; [122.12560386  37.87439614],0
v4,1,0.028431,4.80174,[43  4] ; [155   3],[45.39512195  1.60487805] ; [152.60487805   5.39512195],0
p12,1,0.03328,4.531321,[ 2 44] ; [ 27 135],[ 6.41346154 39.58653846] ; [ 22.58653846 139.41346154],0
u3,1,0.050892,3.811835,[4 6] ; [27 10],[6.59574468 3.40425532] ; [24.40425532 12.59574468],0
d1,1,0.064907,3.407344,[26 21] ; [113  49],[31.25837321 15.74162679] ; [107.74162679  54.25837321],0
s4,1,0.116993,2.457117,[15 32] ; [ 33 125],[11.00487805 35.99512195] ; [ 36.99512195 121.00487805],0
r4,1,0.154307,2.029147,[42  5] ; [154   8],[44.07655502  2.92344498] ; [151.92344498  10.07655502],0
s3,1,0.167358,1.906451,[29 18] ; [112  43],[32.80693069 14.19306931] ; [108.19306931  46.80693069],0
n4,1,0.212968,1.551133,[32 14] ; [127  35],[35.16346154 10.83653846] ; [123.83653846  38.16346154],0
p6,1,0.2808,1.163212,[18 28] ; [77 83],[21.21359223 24.78640777] ; [73.78640777 86.21359223],0
d5,1,0.305327,1.050783,[42  5] ; [134  27],[39.76923077  7.23076923] ; [136.23076923  24.76923077],0
b5,1,0.308055,1.038996,[32 15] ; [97 65],[29.00956938 17.99043062] ; [99.99043062 62.00956938],0
u4,1,0.349064,0.876857,[ 1 46] ; [  1 161],[ 0.44976077 46.55023923] ; [  1.55023923 160.44976077],0
u2,1,0.383666,0.758923,[4 6] ; [20 16],[5.2173913 4.7826087] ; [18.7826087 17.2173913],0
d2,1,0.410439,0.67753,[27 20] ; [81 79],[24.52173913 22.47826087] ; [83.47826087 76.52173913],0
b4,1,0.429172,0.625064,[26 21] ; [100  62],[28.33492823 18.66507177] ; [97.66507177 64.33492823],0
v2,1,0.487457,0.482134,[27 20] ; [99 58],[29.02941176 17.97058824] ; [96.97058824 60.02941176],0
b2,1,0.494179,0.467415,[ 7 14] ; [43 61],[ 8.4 12.6] ; [41.6 62.4],0
b3,1,0.494179,0.467415,[ 7 14] ; [43 61],[ 8.4 12.6] ; [41.6 62.4],0
s6,1,0.50035,0.454195,[40  7] ; [142  18],[41.3236715  5.6763285] ; [140.6763285  19.3236715],0
n3,1,0.503233,0.448113,[12  5] ; [23  6],[12.93478261  4.06521739] ; [22.06521739  6.93478261],0
s1,1,0.505913,0.442511,[ 1 44] ; [  7 152],[ 1.76470588 43.23529412] ; [  6.23529412 152.76470588],0
a8,1,0.515,0.423894,[ 7 32] ; [ 20 125],[ 5.72282609 33.27717391] ; [ 21.27717391 123.72282609],0
a5,1,0.532093,0.390392,[37 10] ; [134  28],[38.45454545  8.54545455] ; [132.54545455  29.45454545],0
d3,1,0.532971,0.388724,[36 11] ; [130  31],[37.50961538  9.49038462] ; [128.49038462  32.50961538],0
s8,1,0.534142,0.386506,[29 18] ; [90 69],[27.15048544 19.84951456] ; [91.84951456 67.15048544],0
a2,1,0.59309,0.285545,[14 33] ; [ 55 107],[15.51674641 31.48325359] ; [ 53.48325359 108.51674641],0
v1,1,0.639295,0.219665,[27 20] ; [98 62],[28.38164251 18.61835749] ; [96.61835749 63.38164251],0
u1,1,0.640278,0.218379,[15 32] ; [ 46 116],[13.71770335 33.28229665] ; [ 47.28229665 114.71770335],0
s2,1,0.648057,0.208359,[34 13] ; [121  39],[35.19323671 11.80676329] ; [119.80676329  40.19323671],0
v3,1,0.689398,0.159737,[20 27] ; [72 85],[21.19607843 25.80392157] ; [70.80392157 86.19607843],0
a6,1,0.69432,0.154448,[36 11] ; [118  42],[34.96618357 12.03381643] ; [119.03381643  40.96618357],0
r2,1,0.715665,0.132684,[46  1] ; [154   5],[45.63106796  1.36893204] ; [154.36893204   4.63106796],0
a4,1,0.724787,0.123953,[24 23] ; [78 84],[22.93779904 24.06220096] ; [79.06220096 82.93779904],0
a1,1,0.725245,0.123522,[ 2 45] ; [  9 153],[ 2.47368421 44.52631579] ; [  8.52631579 153.47368421],0
