Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.086926,2.930403,[2 4] ; [ 2 24],[0.75 5.25] ; [ 3.25 22.75],0
n5,1,0.099966,2.706083,[5 1] ; [12 14],[3.1875 2.8125] ; [13.8125 12.1875],0
r3,1,0.116664,2.461538,[3 3] ; [21  5],[4.5 1.5] ; [19.5  6.5],0
d3,1,0.137916,2.201058,[1 5] ; [13 13],[2.625 3.375] ; [11.375 14.625],0
n3,1,0.236724,1.4,[1 3] ; [6 4],[2. 2.] ; [5. 5.],0
a6,1,0.242238,1.367521,[1 5] ; [11 15],[2.25 3.75] ; [ 9.75 16.25],0
p1,1,0.242238,1.367521,[1 5] ; [ 1 25],[0.375 5.625] ; [ 1.625 24.375],0
d5,1,0.271651,1.208392,[3 3] ; [19  7],[4.125 1.875] ; [17.875  8.125],0
p8,1,0.310975,1.026529,[1 5] ; [10 16],[2.0625 3.9375] ; [ 8.9375 17.0625],0
r4,1,0.36503,0.820513,[2 4] ; [14 12],[3. 3.] ; [13. 13.],0
p11,1,0.36503,0.820513,[2 4] ; [14 12],[3. 3.] ; [13. 13.],0
r2,1,0.371332,0.799201,[3 3] ; [18  8],[3.9375 2.0625] ; [17.0625  8.9375],0
n4,1,0.392558,0.731002,[5 1] ; [17  9],[4.125 1.875] ; [17.875  8.125],0
a7,1,0.460866,0.543791,[4 2] ; [13 13],[3.1875 2.8125] ; [13.8125 12.1875],0
v2,1,0.460866,0.543791,[2 4] ; [13 13],[2.8125 3.1875] ; [12.1875 13.8125],0
p3,1,0.488593,0.479623,[1 5] ; [ 8 18],[1.6875 4.3125] ; [ 7.3125 18.6875],0
a2,1,0.496631,0.462128,[1 5] ; [ 2 24],[0.5625 5.4375] ; [ 2.4375 23.5625],0
a1,1,0.496631,0.462128,[1 5] ; [ 2 24],[0.5625 5.4375] ; [ 2.4375 23.5625],0
s3,1,0.516797,0.42028,[2 4] ; [12 13],[2.70967742 3.29032258] ; [11.29032258 13.70967742],0
n6,1,0.516797,0.42028,[4 2] ; [13 12],[3.29032258 2.70967742] ; [13.70967742 11.29032258],0
b1,1,0.568261,0.3256,[4 2] ; [14 12],[3.375 2.625] ; [14.625 11.375],0
s8,1,0.600991,0.273504,[1 5] ; [ 7 19],[1.5 4.5] ; [ 6.5 19.5],0
b5,1,0.603953,0.269075,[3 3] ; [10 16],[2.4375 3.5625] ; [10.5625 15.4375],0
u2,1,0.621014,0.244444,[1 2] ; [4 4],[1.36363636 1.63636364] ; [3.63636364 4.36363636],0
n1,1,0.633553,0.227273,[2 2] ; [4 7],[1.6 2.4] ; [4.4 6.6],0
a3,1,0.685939,0.163516,[3 2] ; [18  8],[3.38709677 1.61290323] ; [17.61290323  8.38709677],0
a4,1,0.686615,0.162774,[2 4] ; [11 15],[2.4375 3.5625] ; [10.5625 15.4375],0
b4,1,0.686615,0.162774,[4 2] ; [15 11],[3.5625 2.4375] ; [15.4375 10.5625],0
s1,1,0.732074,0.117216,[1 5] ; [ 3 23],[0.75 5.25] ; [ 3.25 22.75],0
p2,1,0.732074,0.117216,[3 3] ; [15 11],[3.375 2.625] ; [14.625 11.375],0
p6,1,0.732074,0.117216,[1 5] ; [ 6 20],[1.3125 4.6875] ; [ 5.6875 20.3125],0
p10,1,0.790848,0.070336,[3 3] ; [11 14],[2.70967742 3.29032258] ; [11.29032258 13.70967742],0
s2,1,0.796052,0.066801,[2 4] ; [ 7 18],[1.74193548 4.25806452] ; [ 7.25806452 17.74193548],0
p7,1,0.815076,0.054701,[2 4] ; [10 16],[2.25 3.75] ; [ 9.75 16.25],0
v1,1,0.815076,0.054701,[2 4] ; [10 16],[2.25 3.75] ; [ 9.75 16.25],0
p4,1,0.815076,0.054701,[2 4] ; [10 16],[2.25 3.75] ; [ 9.75 16.25],0
a8,1,0.818707,0.052536,[1 5] ; [ 3 20],[0.82758621 5.17241379] ; [ 3.17241379 19.82758621],0
b3,1,0.847516,0.036975,[2 3] ; [ 6 11],[1.81818182 3.18181818] ; [ 6.18181818 10.81818182],0
b2,1,0.847516,0.036975,[2 3] ; [ 6 11],[1.81818182 3.18181818] ; [ 6.18181818 10.81818182],0
n2,1,0.875996,0.024351,[2 2] ; [6 5],[2.13333333 1.86666667] ; [5.86666667 5.13333333],0
s6,1,0.92985,0.00775,[3 3] ; [12 13],[2.90322581 3.09677419] ; [12.09677419 12.90322581],0
p9,1,0.92985,0.00775,[3 3] ; [12 13],[2.90322581 3.09677419] ; [12.09677419 12.90322581],0
s7,1,0.943843,0.004962,[2 4] ; [ 7 15],[1.92857143 4.07142857] ; [ 7.07142857 14.92857143],0
a5,1,0.952475,0.003552,[4 2] ; [17  9],[3.9375 2.0625] ; [17.0625  8.9375],0
