Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,40.483232,[112   4] ; [31 22],[98.15384615 17.84615385] ; [44.84615385  8.15384615],1
s6,1,3.6e-05,17.062448,[74 38] ; [16 35],[61.8404908 50.1595092] ; [28.1595092 22.8404908],1
r3,1,0.000386,12.600283,[107   9] ; [38 15],[99.52662722 16.47337278] ; [45.47337278  7.52662722],1
a5,1,0.000457,12.284138,[73 43] ; [18 35],[62.46153846 53.53846154] ; [28.53846154 24.46153846],1
v4,1,0.000659,11.60059,[112   3] ; [43  9],[106.73652695   8.26347305] ; [48.26347305  3.73652695],1
v2,1,0.000675,11.556143,[56 53] ; [12 40],[46.03726708 62.96273292] ; [21.96273292 30.03726708],1
p11,1,0.001607,9.951444,[91 25] ; [29 24],[82.36686391 33.63313609] ; [37.63313609 15.36686391],0
n4,1,0.003481,8.536469,[91 25] ; [30 23],[83.05325444 32.94674556] ; [37.94674556 15.05325444],0
v3,1,0.006057,7.533294,[46 66] ; [10 42],[38.24390244 73.75609756] ; [17.75609756 34.24390244],0
v1,1,0.007858,7.065464,[59 54] ; [16 37],[51.05421687 61.94578313] ; [23.94578313 29.05421687],0
d3,1,0.027756,4.843161,[40 76] ; [ 9 42],[34.03592814 81.96407186] ; [14.96407186 36.03592814],0
a7,1,0.032824,4.554946,[76 40] ; [25 27],[69.73809524 46.26190476] ; [31.26190476 20.73809524],0
s5,1,0.038991,4.261259,[31 79] ; [ 7 45],[25.80246914 84.19753086] ; [12.19753086 39.80246914],0
a3,1,0.055443,3.668712,[66 49] ; [22 31],[60.23809524 54.76190476] ; [27.76190476 25.23809524],0
a1,1,0.0577,3.602301,[  2 114] ; [ 4 49],[  4.1183432 111.8816568] ; [ 1.8816568 51.1183432],0
s8,1,0.067839,3.334557,[42 72] ; [12 41],[36.86227545 77.13772455] ; [17.13772455 35.86227545],0
p3,1,0.078863,3.088178,[53 61] ; [17 36],[47.78443114 66.21556886] ; [22.21556886 30.78443114],0
p4,1,0.085138,2.963977,[62 53] ; [21 32],[56.81547619 58.18452381] ; [26.18452381 26.81547619],0
p5,1,0.087654,2.916948,[ 14 100] ; [ 2 50],[ 10.98795181 103.01204819] ; [ 5.01204819 46.98795181],0
n2,1,0.091957,2.839773,[29  5] ; [11  6],[26.66666667  7.33333333] ; [13.33333333  3.66666667],0
p8,1,0.099148,2.719198,[55 56] ; [19 34],[50.08536585 60.91463415] ; [23.91463415 29.08536585],0
s7,1,0.105547,2.619667,[47 61] ; [15 35],[42.37974684 65.62025316] ; [19.62025316 30.37974684],0
p2,1,0.133074,2.256272,[88 27] ; [34 18],[84.01197605 30.98802395] ; [37.98802395 14.01197605],0
n6,1,0.173274,1.85439,[94 22] ; [38 15],[90.6035503 25.3964497] ; [41.3964497 11.6035503],0
u2,1,0.177949,1.81467,[22 28] ; [ 9 22],[19.13580247 30.86419753] ; [11.86419753 19.13580247],0
u3,1,0.180684,1.791992,[27 23] ; [12 19],[24.07407407 25.92592593] ; [14.92592593 16.07407407],0
a6,1,0.261833,1.259042,[74 42] ; [29 24],[70.69822485 45.30177515] ; [32.30177515 20.69822485],0
s3,1,0.281555,1.159567,[57 54] ; [22 30],[53.79754601 57.20245399] ; [25.20245399 26.79754601],0
p6,1,0.282131,1.156794,[37 76] ; [13 40],[34.03614458 78.96385542] ; [15.96385542 37.03614458],0
p10,1,0.311516,1.024236,[84 29] ; [34 17],[81.30487805 31.69512195] ; [36.69512195 14.30487805],0
