Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.007455,7.159964,[ 1 15] ; [13 16],[ 4.97777778 11.02222222] ; [ 9.02222222 19.97777778],0
p3,1,0.012866,6.1875,[ 2 14] ; [14 14],[ 5.81818182 10.18181818] ; [10.18181818 17.81818182],0
v3,1,0.0349,4.450056,[ 1 15] ; [10 19],[ 3.91111111 12.08888889] ; [ 7.08888889 21.91111111],0
d4,1,0.042051,4.133164,[8 8] ; [23  6],[11.02222222  4.97777778] ; [19.97777778  9.02222222],0
a4,1,0.055581,3.664563,[ 1 15] ; [ 9 20],[ 3.55555556 12.44444444] ; [ 6.44444444 22.55555556],0
p4,1,0.070214,3.278017,[ 6 10] ; [19 10],[8.88888889 7.11111111] ; [16.11111111 12.88888889],0
b4,1,0.113791,2.50077,[10  6] ; [11 18],[7.46666667 8.53333333] ; [13.53333333 15.46666667],0
a7,1,0.113791,2.50077,[ 6 10] ; [18 11],[8.53333333 7.46666667] ; [15.46666667 13.53333333],0
p10,1,0.189115,1.7245,[12  4] ; [16 13],[9.95555556 6.04444444] ; [18.04444444 10.95555556],0
u3,1,0.189225,1.723644,[2 6] ; [9 8],[3.52 4.48] ; [7.48 9.52],0
s7,1,0.204894,1.607143,[ 3 13] ; [ 9 15],[ 4.8 11.2] ; [ 7.2 16.8],0
p6,1,0.22106,1.497479,[ 2 14] ; [ 8 20],[ 3.63636364 12.36363636] ; [ 6.36363636 21.63636364],0
s2,1,0.222215,1.490008,[ 6 10] ; [ 6 23],[ 4.26666667 11.73333333] ; [ 7.73333333 21.26666667],0
v2,1,0.227098,1.458947,[ 5 11] ; [14 14],[6.90909091 9.09090909] ; [12.09090909 15.90909091],0
b2,1,0.236386,1.402019,[1 6] ; [ 7 11],[2.24 4.76] ; [ 5.76 12.24],0
b3,1,0.236386,1.402019,[1 6] ; [ 7 11],[2.24 4.76] ; [ 5.76 12.24],0
a5,1,0.268334,1.225242,[ 5 11] ; [14 15],[6.75555556 9.24444444] ; [12.24444444 16.75555556],0
r1,1,0.271874,1.207268,[ 4 12] ; [12 17],[ 5.68888889 10.31111111] ; [10.31111111 18.68888889],0
d3,1,0.309108,1.034483,[8 8] ; [19 10],[9.6 6.4] ; [17.4 11.6],0
a6,1,0.33849,0.916141,[7 9] ; [17 12],[8.53333333 7.46666667] ; [15.46666667 13.53333333],0
r3,1,0.350169,0.872845,[14  2] ; [22  7],[12.8  3.2] ; [23.2  5.8],0
d2,1,0.372382,0.795699,[ 3 13] ; [ 9 20],[ 4.26666667 11.73333333] ; [ 7.73333333 21.26666667],0
v1,1,0.37841,0.775862,[ 4 12] ; [11 18],[ 5.33333333 10.66666667] ; [ 9.66666667 19.33333333],0
p2,1,0.43008,0.622609,[11  5] ; [23  6],[12.08888889  3.91111111] ; [21.91111111  7.08888889],0
s8,1,0.43008,0.622609,[ 5 11] ; [ 6 23],[ 3.91111111 12.08888889] ; [ 7.08888889 21.91111111],0
n2,1,0.443939,0.586081,[5 2] ; [7 6],[4.2 2.8] ; [7.8 5.2],0
a8,1,0.457244,0.552632,[ 2 12] ; [ 2 26],[ 1.33333333 12.66666667] ; [ 2.66666667 25.33333333],0
p9,1,0.462941,0.538776,[12  4] ; [18 10],[10.90909091  5.09090909] ; [19.09090909  8.90909091],0
n4,1,0.463101,0.538388,[7 9] ; [16 13],[8.17777778 7.82222222] ; [14.82222222 14.17777778],0
s6,1,0.463101,0.538388,[9 7] ; [13 16],[7.82222222 8.17777778] ; [14.17777778 14.82222222],0
p11,1,0.510704,0.432624,[12  4] ; [19 10],[11.02222222  4.97777778] ; [19.97777778  9.02222222],0
a1,1,0.527214,0.399758,[ 2 14] ; [ 2 27],[ 1.42222222 14.57777778] ; [ 2.57777778 26.42222222],0
p7,1,0.577469,0.310345,[8 8] ; [17 12],[8.88888889 7.11111111] ; [16.11111111 12.88888889],0
p8,1,0.577469,0.310345,[8 8] ; [12 17],[7.11111111 8.88888889] ; [12.88888889 16.11111111],0
a3,1,0.577469,0.310345,[8 8] ; [12 17],[7.11111111 8.88888889] ; [12.88888889 16.11111111],0
n1,1,0.639207,0.21978,[1 6] ; [ 3 10],[1.4 5.6] ; [ 2.6 10.4],0
p5,1,0.660537,0.192872,[ 3 13] ; [ 4 25],[ 2.48888889 13.51111111] ; [ 4.51111111 24.48888889],0
s3,1,0.668999,0.182775,[ 4 12] ; [ 9 20],[ 4.62222222 11.37777778] ; [ 8.37777778 20.62222222],0
s4,1,0.677298,0.173183,[ 3 13] ; [ 7 22],[ 3.55555556 12.44444444] ; [ 6.44444444 22.55555556],0
n5,1,0.702899,0.145474,[9 7] ; [18 11],[9.6 6.4] ; [17.4 11.6],0
b5,1,0.770816,0.08486,[9 7] ; [15 14],[8.53333333 7.46666667] ; [15.46666667 13.53333333],0
r4,1,0.799284,0.064655,[ 6 10] ; [12 17],[6.4 9.6] ; [11.6 17.4],0
u2,1,0.818733,0.052521,[6 2] ; [12  5],[5.76 2.24] ; [12.24  4.76],0
b1,1,0.839602,0.040967,[10  6] ; [19 10],[10.31111111  5.68888889] ; [18.68888889 10.31111111],0
n6,1,0.839602,0.040967,[10  6] ; [19 10],[10.31111111  5.68888889] ; [18.68888889 10.31111111],0
s5,1,0.876261,0.024246,[ 3 13] ; [ 6 23],[ 3.2 12.8] ; [ 5.8 23.2],0
n3,1,0.887593,0.01998,[4 3] ; [7 6],[3.85 3.15] ; [7.15 5.85],0
p12,1,0.933668,0.006927,[ 1 15] ; [ 2 27],[ 1.06666667 14.93333333] ; [ 1.93333333 27.06666667],0
