Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.000469,12.23578,[  8 163] ; [3 6],[ 10.45 160.55] ; [0.55 8.45],1
s7,1,0.001106,10.641533,[ 52 113] ; [7 1],[ 56.2716763 108.7283237] ; [2.7283237 5.2716763],0
p3,1,0.004765,7.966388,[ 55 117] ; [7 2],[ 58.91712707 113.08287293] ; [3.08287293 5.91712707],0
s5,1,0.00801,7.031152,[ 31 134] ; [5 4],[ 34.13793103 130.86206897] ; [1.86206897 7.13793103],0
s3,1,0.009103,6.802467,[75 94] ; [8 1],[78.80337079 90.19662921] ; [4.19662921 4.80337079],0
a6,1,0.020915,5.333853,[105  67] ; [2 7],[101.67955801  70.32044199] ; [5.32044199 3.67955801],0
s8,1,0.022624,5.197129,[ 44 127] ; [5 3],[ 46.81005587 124.18994413] ; [2.18994413 5.81005587],0
p4,1,0.023187,5.154469,[ 68 104] ; [7 2],[ 71.27071823 100.72928177] ; [3.72928177 5.27071823],0
s1,1,0.025122,5.01548,[  8 163] ; [2 7],[  9.5 161.5] ; [0.5 8.5],0
v2,1,0.042388,4.119635,[77 92] ; [1 8],[74.05617978 94.94382022] ; [3.94382022 5.05617978],0
s2,1,0.047088,3.942235,[ 58 112] ; [6 3],[ 60.78212291 109.21787709] ; [3.21787709 5.78212291],0
a7,1,0.058787,3.571266,[111  61] ; [3 6],[108.33149171  63.66850829] ; [5.66850829 3.33149171],0
p8,1,0.06274,3.463444,[ 53 118] ; [5 3],[ 55.40782123 115.59217877] ; [2.59217877 5.40782123],0
n2,1,0.156613,2.006633,[48 19] ; [1 2],[46.9 20.1] ; [2.1 0.9],0
n3,1,0.170017,1.882794,[46 19] ; [1 2],[44.92647059 20.07352941] ; [2.07352941 0.92647059],0
d4,1,0.1989,1.650431,[128  43] ; [5 4],[126.35  44.65] ; [6.65 2.35],0
p7,1,0.204363,1.610915,[77 94] ; [6 3],[78.85 92.15] ; [4.15 4.85],0
p6,1,0.21222,1.556216,[ 43 125] ; [4 5],[ 44.61016949 123.38983051] ; [2.38983051 6.61016949],0
n6,1,0.219124,1.510098,[120  52] ; [8 1],[121.63535912  50.36464088] ; [6.36464088 2.63535912],0
r1,1,0.243025,1.362962,[122  50] ; [8 1],[123.5359116  48.4640884] ; [6.4640884 2.5359116],0
p11,1,0.245211,1.350383,[92 81] ; [3 6],[90.3021978 82.6978022] ; [4.6978022 4.3021978],0
b1,1,0.259432,1.271788,[82 91] ; [6 3],[83.64835165 89.35164835] ; [4.35164835 4.64835165],0
v3,1,0.305699,1.049166,[ 47 118] ; [4 5],[ 48.36206897 116.63793103] ; [2.63793103 6.36206897],0
a3,1,0.310274,1.029509,[105  66] ; [4 5],[103.55  67.45] ; [5.45 3.55],0
a5,1,0.332196,0.940317,[105  68] ; [4 5],[103.60989011  69.39010989] ; [5.39010989 3.60989011],0
d2,1,0.373433,0.792208,[83 88] ; [3 6],[81.7 89.3] ; [4.3 4.7],0
a8,1,0.389592,0.740215,[ 19 135] ; [2 7],[ 19.8404908 134.1595092] ; [1.1595092 7.8404908],0
a1,1,0.448194,0.575215,[  9 164] ; [1 8],[  9.50549451 163.49450549] ; [0.49450549 8.50549451],0
p9,1,0.499274,0.456479,[ 64 104] ; [4 4],[ 64.90909091 103.09090909] ; [3.09090909 4.90909091],0
u1,1,0.559802,0.340048,[ 26 147] ; [2 7],[ 26.61538462 146.38461538] ; [1.38461538 7.61538462],0
a4,1,0.589388,0.291302,[73 99] ; [3 6],[72.22099448 99.77900552] ; [3.77900552 5.22099448],0
b4,1,0.670515,0.181,[103  70] ; [6 3],[103.60989011  69.39010989] ; [5.39010989 3.60989011],0
d3,1,0.685266,0.164258,[103  69] ; [6 3],[103.5801105  68.4198895] ; [5.4198895 3.5801105],0
d5,1,0.72427,0.124438,[124  48] ; [6 3],[123.5359116  48.4640884] ; [6.4640884 2.5359116],0
u2,1,0.73986,0.11025,[31 34] ; [2 3],[30.64285714 34.35714286] ; [2.35714286 2.64285714],0
v1,1,0.752845,0.099156,[ 67 104] ; [4 5],[ 67.45 103.55] ; [3.55 5.45],0
b3,1,0.819908,0.05183,[36 74] ; [2 5],[35.72649573 74.27350427] ; [2.27350427 4.72649573],0
b2,1,0.819908,0.05183,[36 74] ; [2 5],[35.72649573 74.27350427] ; [2.27350427 4.72649573],0
r2,1,0.85611,0.03288,[156  16] ; [8 1],[155.84530387  16.15469613] ; [8.15469613 0.84530387],0
u3,1,0.857863,0.032075,[38 30] ; [3 2],[38.19178082 29.80821918] ; [2.80821918 2.19178082],0
d1,1,0.862583,0.029959,[82 91] ; [4 5],[81.74725275 91.25274725] ; [4.25274725 4.74725275],0
r3,1,0.904528,0.014386,[155  17] ; [8 1],[154.89502762  17.10497238] ; [8.10497238 0.89502762],0
b5,1,0.906046,0.01393,[112  61] ; [6 3],[112.16483516  60.83516484] ; [5.83516484 3.16483516],0
p2,1,0.951996,0.003624,[117  56] ; [6 3],[116.91758242  56.08241758] ; [6.08241758 2.91758242],0
