Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000386,12.6,[ 3 33] ; [4 2],[ 6. 30.] ; [1. 5.],1
v3,1,0.006659,7.362708,[ 6 31] ; [4 2],[ 8.60465116 28.39534884] ; [1.39534884 4.60465116],0
a8,1,0.014022,6.035359,[ 4 34] ; [3 3],[ 6.04545455 31.95454545] ; [0.95454545 5.04545455],0
p8,1,0.01796,5.6,[ 4 32] ; [3 3],[ 6. 30.] ; [1. 5.],0
p3,1,0.03199,4.599016,[ 9 29] ; [4 2],[11.22727273 26.77272727] ; [1.77272727 4.22727273],0
v2,1,0.036184,4.388404,[ 9 28] ; [4 2],[11.18604651 25.81395349] ; [1.81395349 4.18604651],0
p11,1,0.044951,4.020468,[15 23] ; [5 1],[17.27272727 20.72727273] ; [2.72727273 3.27272727],0
p7,1,0.048602,3.889056,[10 28] ; [4 2],[12.09090909 25.90909091] ; [1.90909091 4.09090909],0
p4,1,0.048602,3.889056,[10 28] ; [4 2],[12.09090909 25.90909091] ; [1.90909091 4.09090909],0
u3,1,0.054475,3.698097,[ 1 16] ; [1 1],[ 1.78947368 15.21052632] ; [0.21052632 1.78947368],0
s6,1,0.060605,3.520754,[ 8 30] ; [3 2],[ 9.72093023 28.27906977] ; [1.27906977 3.72093023],0
s7,1,0.065436,3.393939,[ 6 30] ; [3 3],[ 7.71428571 28.28571429] ; [1.28571429 4.71428571],0
p2,1,0.078247,3.100944,[11 26] ; [4 2],[12.90697674 24.09302326] ; [2.09302326 3.90697674],0
s3,1,0.078247,3.100944,[11 26] ; [4 2],[12.90697674 24.09302326] ; [2.09302326 3.90697674],0
s2,1,0.086282,2.942415,[ 7 31] ; [3 3],[ 8.63636364 29.36363636] ; [1.36363636 4.63636364],0
n6,1,0.08923,2.888216,[17 20] ; [5 1],[18.93023256 18.06976744] ; [3.06976744 2.93023256],0
p12,1,0.125078,2.352548,[ 1 37] ; [1 5],[ 1.72727273 36.27272727] ; [0.27272727 5.72727273],0
r4,1,0.130319,2.288704,[ 4 34] ; [2 4],[ 5.18181818 32.81818182] ; [0.81818182 5.18181818],0
a2,1,0.130319,2.288704,[ 4 34] ; [2 4],[ 5.18181818 32.81818182] ; [0.81818182 5.18181818],0
v1,1,0.139451,2.184006,[ 8 29] ; [3 3],[ 9.46511628 27.53488372] ; [1.53488372 4.46511628],0
u2,1,0.160711,1.967525,[ 2 15] ; [1 1],[ 2.68421053 14.31578947] ; [0.31578947 1.68421053],0
a4,1,0.255719,1.291788,[10 27] ; [3 3],[11.18604651 25.81395349] ; [1.81395349 4.18604651],0
n4,1,0.332603,0.938738,[24 14] ; [5 1],[25.04545455 12.95454545] ; [3.95454545 2.04545455],0
b4,1,0.376354,0.782577,[26 12] ; [3 3],[25.04545455 12.95454545] ; [3.95454545 2.04545455],0
d3,1,0.379621,0.77193,[20 18] ; [2 4],[19. 19.] ; [3. 3.],0
b2,1,0.396898,0.717703,[10 15] ; [1 4],[ 9.16666667 15.83333333] ; [1.83333333 3.16666667],0
b3,1,0.396898,0.717703,[10 15] ; [1 4],[ 9.16666667 15.83333333] ; [1.83333333 3.16666667],0
r2,1,0.412617,0.671247,[18 17] ; [2 4],[17.07317073 17.92682927] ; [2.92682927 3.07317073],0
a5,1,0.44751,0.57695,[19 19] ; [4 2],[19.86363636 18.13636364] ; [3.13636364 2.86363636],0
b1,1,0.44751,0.57695,[19 19] ; [4 2],[19.86363636 18.13636364] ; [3.13636364 2.86363636],0
s1,1,0.487312,0.482456,[ 3 35] ; [1 5],[ 3.45454545 34.54545455] ; [0.54545455 5.45454545],0
a7,1,0.52111,0.411696,[18 20] ; [2 4],[17.27272727 20.72727273] ; [2.72727273 3.27272727],0
a6,1,0.52111,0.411696,[20 18] ; [4 2],[20.72727273 17.27272727] ; [3.27272727 2.72727273],0
a3,1,0.600233,0.274645,[21 17] ; [4 2],[21.59090909 16.40909091] ; [3.40909091 2.59090909],0
b5,1,0.600233,0.274645,[21 17] ; [4 2],[21.59090909 16.40909091] ; [3.40909091 2.59090909],0
d4,1,0.626005,0.237517,[23 15] ; [3 3],[22.45454545 15.54545455] ; [3.54545455 2.45454545],0
d1,1,0.684646,0.164942,[16 22] ; [2 4],[15.54545455 22.45454545] ; [2.45454545 3.54545455],0
d5,1,0.716743,0.131634,[22 16] ; [3 3],[21.59090909 16.40909091] ; [3.40909091 2.59090909],0
d2,1,0.951019,0.003773,[18 19] ; [3 3],[18.06976744 18.93023256] ; [2.93023256 3.06976744],0
p1,1,0.956463,0.00298,[ 6 32] ; [1 5],[ 6.04545455 31.95454545] ; [0.95454545 5.04545455],0
s4,1,0.956463,0.00298,[ 6 32] ; [1 5],[ 6.04545455 31.95454545] ; [0.95454545 5.04545455],0
