Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,69.170675,[131  11] ; [19 34],[109.23076923  32.76923077] ; [40.76923077 12.23076923],1
s6,1,0.0,27.77706,[128  11] ; [32 21],[115.83333333  23.16666667] ; [44.16666667  8.83333333],1
n2,1,0.010502,6.547619,[24  4] ; [8 8],[20.36363636  7.63636364] ; [11.63636364  4.36363636],0
n1,1,0.018981,5.503274,[19  9] ; [ 5 11],[15.27272727 12.72727273] ; [8.72727273 7.27272727],0
p12,1,0.03002,4.708148,[ 26 116] ; [ 3 49],[ 21.22680412 120.77319588] ; [ 7.77319588 44.22680412],0
b1,1,0.033835,4.503022,[64 78] ; [15 38],[57.52820513 84.47179487] ; [21.47179487 31.52820513],0
a1,1,0.049519,3.857658,[ 15 127] ; [ 1 52],[ 11.65128205 130.34871795] ; [ 4.34871795 48.65128205],0
s8,1,0.063651,3.439597,[109  32] ; [34 19],[103.93298969  37.06701031] ; [39.06701031 13.93298969],0
s5,1,0.081626,3.032226,[76 54] ; [23 29],[70.71428571 59.28571429] ; [28.28571429 23.71428571],0
r2,1,0.091395,2.849629,[139   2] ; [49  3],[137.34715026   3.65284974] ; [50.65284974  1.34715026],0
p5,1,0.106017,2.61261,[ 37 105] ; [ 8 45],[ 32.76923077 109.23076923] ; [12.23076923 40.76923077],0
d2,1,0.1115,2.532835,[87 54] ; [26 27],[82.12886598 58.87113402] ; [30.87113402 22.12886598],0
d1,1,0.114416,2.492136,[100  42] ; [31 22],[95.39487179 46.60512821] ; [35.60512821 17.39487179],0
v2,1,0.128348,2.31237,[81 59] ; [37 16],[85.59585492 54.40414508] ; [32.40414508 20.59585492],0
n5,1,0.13496,2.234504,[122  20] ; [40 12],[118.57731959  23.42268041] ; [43.42268041  8.57731959],0
p7,1,0.159608,1.977933,[121  18] ; [41 11],[117.89528796  21.10471204] ; [44.10471204  7.89528796],0
b5,1,0.162125,1.954297,[78 64] ; [35 18],[82.28717949 59.71282051] ; [30.71282051 22.28717949],0
a4,1,0.168623,1.895144,[80 62] ; [24 29],[75.73333333 66.26666667] ; [28.26666667 24.73333333],0
p1,1,0.18661,1.744178,[ 24 117] ; [ 5 48],[ 21.07731959 119.92268041] ; [ 7.92268041 45.07731959],0
p10,1,0.191318,1.707442,[121  21] ; [48  4],[123.70103093  18.29896907] ; [45.29896907  6.70103093],0
v3,1,0.192432,1.698898,[61 77] ; [29 24],[65.02617801 72.97382199] ; [24.97382199 28.02617801],0
p11,1,0.259178,1.27314,[115  27] ; [39 14],[112.14358974  29.85641026] ; [41.85641026 11.14358974],0
s4,1,0.271016,1.211598,[ 38 103] ; [10 42],[ 35.06735751 105.93264249] ; [12.93264249 39.06735751],0
n4,1,0.288364,1.127245,[126  16] ; [44  9],[123.79487179  18.20512821] ; [46.20512821  6.79487179],0
a8,1,0.307588,1.041005,[ 24 110] ; [ 5 39],[ 21.83146067 112.16853933] ; [ 7.16853933 36.83146067],0
