Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,75.797872,[204  38] ; [31 57],[172.33333333  69.66666667] ; [62.66666667 25.33333333],1
a5,1,8e-06,19.855861,[192  52] ; [48 41],[175.85585586  68.14414414] ; [64.14414414 24.85585586],1
d2,1,3.4e-05,17.200487,[119 124] ; [21 68],[102.46987952 140.53012048] ; [37.53012048 51.46987952],1
a4,1,5.7e-05,16.188473,[120 123] ; [22 67],[103.93373494 139.06626506] ; [38.06626506 50.93373494],1
p4,1,0.000223,13.62451,[159  85] ; [38 51],[144.34834835  99.65165165] ; [52.65165165 36.34834835],1
d5,1,0.000336,12.858333,[211  33] ; [61 27],[199.90361446  44.09638554] ; [72.09638554 15.90361446],1
v3,1,0.000527,12.018603,[ 93 144] ; [16 70],[ 79.97832817 157.02167183] ; [29.02167183 56.97832817],1
r4,1,0.000728,11.417444,[221  23] ; [68 21],[211.75975976  32.24024024] ; [77.24024024 11.75975976],1
n6,1,0.000951,10.921285,[212  31] ; [64 25],[202.01204819  40.98795181] ; [73.98795181 15.01204819],1
r3,1,0.001233,10.440473,[233   9] ; [77 12],[226.64652568  15.35347432] ; [83.35347432  5.64652568],0
r1,1,0.00236,9.246455,[197  46] ; [58 31],[186.64156627  56.35843373] ; [68.35843373 20.64156627],0
d1,1,0.002822,8.919165,[141 103] ; [35 54],[128.96096096 115.03903904] ; [47.03903904 41.96096096],0
p3,1,0.002873,8.886525,[130 114] ; [31 58],[117.96996997 126.03003003] ; [43.03003003 45.96996997],0
v1,1,0.003696,8.427396,[146  95] ; [38 51],[134.37575758 106.62424242] ; [49.62424242 39.37575758],0
p10,1,0.006112,7.516848,[203  38] ; [63 26],[194.26060606  46.73939394] ; [71.73939394 17.26060606],0
a2,1,0.00728,7.202594,[ 57 187] ; [ 9 80],[ 48.36036036 195.63963964] ; [17.63963964 71.36036036],0
a6,1,0.013917,6.048623,[177  67] ; [52 37],[167.7957958  76.2042042] ; [61.2042042 27.7957958],0
v2,1,0.019609,5.446376,[142  95] ; [40 48],[132.72 104.28] ; [49.28 38.72],0
p6,1,0.020443,5.373702,[ 94 146] ; [22 65],[ 85.13761468 154.86238532] ; [30.86238532 56.13761468],0
a3,1,0.02505,5.020425,[171  72] ; [51 38],[162.48795181  80.51204819] ; [59.51204819 29.48795181],0
r2,1,0.025092,5.017518,[221  20] ; [74 15],[215.43939394  25.56060606] ; [79.56060606  9.43939394],0
d4,1,0.027979,4.829348,[199  44] ; [63 26],[191.76506024  51.23493976] ; [70.23493976 18.76506024],0
s4,1,0.0361,4.392398,[ 19 221] ; [14 75],[ 24.07294833 215.92705167] ; [ 8.92705167 80.07294833],0
s6,1,0.037576,4.324091,[115 124] ; [31 57],[106.70948012 132.29051988] ; [39.29051988 48.70948012],0
u1,1,0.039878,4.223081,[ 41 203] ; [ 7 82],[ 35.17117117 208.82882883] ; [12.82882883 76.17117117],0
p8,1,0.044939,4.020909,[138  98] ; [41 48],[129.98153846 106.01846154] ; [49.01846154 39.98153846],0
s8,1,0.05811,3.590519,[ 68 173] ; [16 73],[ 61.34545455 179.65454545] ; [22.65454545 66.34545455],0
a8,1,0.067853,3.334209,[ 32 179] ; [ 6 77],[ 27.27210884 183.72789116] ; [10.72789116 72.27210884],0
p9,1,0.074358,3.184104,[208  32] ; [70 19],[202.79635258  37.20364742] ; [75.20364742 13.79635258],0
p1,1,0.082187,3.021114,[ 22 221] ; [ 3 86],[ 18.29819277 224.70180723] ; [ 6.70180723 82.29819277],0
p7,1,0.144325,2.131233,[161  79] ; [52 37],[155.37993921  84.62006079] ; [57.62006079 31.37993921],0
s7,1,0.147756,2.095261,[ 72 154] ; [21 68],[ 66.72380952 159.27619048] ; [26.27619048 62.72380952],0
