Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.2e-05,17.975606,[4 3] ; [56  1],[6.5625 0.4375] ; [53.4375  3.5625],1
a6,1,0.041809,4.142935,[2 5] ; [38 18],[4.44444444 2.55555556] ; [35.55555556 20.44444444],0
s5,1,0.050614,3.821016,[2 4] ; [37 14],[4.10526316 1.89473684] ; [34.89473684 16.10526316],0
n6,1,0.075329,3.16291,[6 1] ; [55  1],[6.77777778 0.22222222] ; [54.22222222  1.77777778],0
v4,1,0.078681,3.091948,[6 1] ; [54  1],[6.77419355 0.22580645] ; [53.22580645  1.77419355],0
s2,1,0.134817,2.236141,[3 4] ; [39 16],[4.74193548 2.25806452] ; [37.25806452 17.74193548],0
b1,1,0.154528,2.026975,[1 6] ; [24 33],[2.734375 4.265625] ; [22.265625 34.734375],0
a3,1,0.154758,2.024719,[4 3] ; [46 11],[5.46875 1.53125] ; [44.53125 12.46875],0
a5,1,0.154758,2.024719,[4 3] ; [46 11],[5.46875 1.53125] ; [44.53125 12.46875],0
u1,1,0.198714,1.651803,[3 4] ; [12 45],[1.640625 5.359375] ; [13.359375 43.640625],0
p12,1,0.205841,1.600438,[1 6] ; [22 35],[2.515625 4.484375] ; [20.484375 36.515625],0
p7,1,0.209482,1.575,[6 1] ; [54  2],[6.66666667 0.33333333] ; [53.33333333  2.66666667],0
d2,1,0.21226,1.555948,[5 2] ; [26 30],[3.44444444 3.55555556] ; [27.55555556 28.44444444],0
p3,1,0.251943,1.3125,[5 2] ; [49  7],[6. 1.] ; [48.  8.],0
v3,1,0.287754,1.130098,[3 4] ; [35 20],[4.29032258 2.70967742] ; [33.70967742 21.29032258],0
v2,1,0.335446,0.927759,[3 4] ; [34 21],[4.17741935 2.82258065] ; [32.82258065 22.17741935],0
s4,1,0.341963,0.903057,[2 5] ; [ 8 47],[1.12903226 5.87096774] ; [ 8.87096774 46.12903226],0
p8,1,0.352019,0.866165,[6 1] ; [54  3],[6.5625 0.4375] ; [53.4375  3.5625],0
a8,1,0.412761,0.670833,[2 5] ; [ 8 42],[1.22807018 5.77192982] ; [ 8.77192982 41.22807018],0
b3,1,0.444613,0.584348,[2 4] ; [21 21],[2.875 3.125] ; [20.125 21.875],0
b2,1,0.444613,0.584348,[2 4] ; [21 21],[2.875 3.125] ; [20.125 21.875],0
a2,1,0.487878,0.481203,[1 6] ; [15 42],[1.75 5.25] ; [14.25 42.75],0
b4,1,0.491422,0.47341,[5 2] ; [33 24],[4.15625 2.84375] ; [33.84375 23.15625],0
s1,1,0.498898,0.457279,[1 6] ; [ 4 53],[0.546875 6.453125] ; [ 4.453125 52.546875],0
s7,1,0.656669,0.197595,[5 2] ; [41 11],[5.45762712 1.54237288] ; [40.54237288 11.45762712],0
a1,1,0.674513,0.176369,[1 6] ; [12 45],[1.421875 5.578125] ; [11.578125 45.421875],0
s8,1,0.684867,0.164699,[5 2] ; [35 20],[4.51612903 2.48387097] ; [35.48387097 19.51612903],0
d3,1,0.70859,0.13969,[5 2] ; [36 20],[4.55555556 2.44444444] ; [36.44444444 19.55555556],0
p1,1,0.731927,0.11735,[2 5] ; [20 37],[2.40625 4.59375] ; [19.59375 37.40625],0
d4,1,0.733625,0.115809,[6 1] ; [45 11],[5.66666667 1.33333333] ; [45.33333333 10.66666667],0
d5,1,0.753713,0.098438,[5 2] ; [43 13],[5.33333333 1.66666667] ; [42.66666667 13.33333333],0
a7,1,0.817137,0.053467,[5 2] ; [43 14],[5.25 1.75] ; [42.75 14.25],0
a4,1,0.821417,0.050951,[3 4] ; [27 30],[3.28125 3.71875] ; [26.71875 30.28125],0
v1,1,0.824675,0.049079,[5 2] ; [37 18],[4.74193548 2.25806452] ; [37.25806452 17.74193548],0
b5,1,0.890018,0.019122,[3 4] ; [26 31],[3.171875 3.828125] ; [25.828125 31.171875],0
u3,1,0.92265,0.009428,[2 1] ; [7 4],[1.92857143 1.07142857] ; [7.07142857 3.92857143],0
u2,1,0.92265,0.009428,[2 1] ; [7 4],[1.92857143 1.07142857] ; [7.07142857 3.92857143],0
s3,1,0.953942,0.003336,[5 2] ; [38 16],[4.93442623 2.06557377] ; [38.06557377 15.93442623],0
d1,1,0.969677,0.001445,[4 3] ; [33 24],[4.046875 2.953125] ; [32.953125 24.046875],0
