Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,56.960751,[115  24] ; [21 49],[90.44976077 48.55023923] ; [45.55023923 24.44976077],1
a5,1,2.9e-05,17.5,[98 42] ; [28 42],[84. 56.] ; [42. 28.],1
a4,1,3.9e-05,16.901355,[71 68] ; [15 55],[57.19617225 81.80382775] ; [28.80382775 41.19617225],1
s7,1,0.00096,10.902523,[50 83] ; [10 57],[39.9 93.1] ; [20.1 46.9],1
d2,1,0.001045,10.745281,[76 61] ; [22 48],[64.85990338 72.14009662] ; [33.14009662 36.85990338],0
n6,1,0.00498,7.886672,[113  27] ; [44 26],[104.66666667  35.33333333] ; [52.33333333 17.66666667],0
p6,1,0.005507,7.704939,[ 22 117] ; [ 2 68],[ 15.96172249 123.03827751] ; [ 8.03827751 61.96172249],0
s8,1,0.008453,6.934985,[46 94] ; [11 59],[ 38. 102.] ; [19. 51.],0
u1,1,0.016199,5.781101,[ 25 115] ; [ 4 66],[ 19.33333333 120.66666667] ; [ 9.66666667 60.33333333],0
p3,1,0.026554,4.919568,[ 39 100] ; [10 60],[ 32.58851675 106.41148325] ; [16.41148325 53.58851675],0
a8,1,0.030154,4.700464,[ 13 118] ; [ 1 65],[  9.30964467 121.69035533] ; [ 4.69035533 61.30964467],0
p4,1,0.034055,4.491919,[52 87] ; [16 54],[45.22488038 93.77511962] ; [22.77511962 47.22488038],0
p10,1,0.04446,4.039024,[90 48] ; [35 34],[83.33333333 54.66666667] ; [41.66666667 27.33333333],0
v3,1,0.045157,4.01278,[37 97] ; [10 57],[ 31.33333333 102.66666667] ; [15.66666667 51.33333333],0
p11,1,0.04679,3.952941,[90 50] ; [35 35],[83.33333333 56.66666667] ; [41.66666667 28.33333333],0
s3,1,0.04863,3.888084,[63 75] ; [22 48],[56.39423077 81.60576923] ; [28.60576923 41.39423077],0
u3,1,0.06533,3.396618,[18 29] ; [19 13],[22.01265823 24.98734177] ; [14.98734177 17.01265823],0
a2,1,0.066798,3.36,[ 28 112] ; [ 7 63],[ 23.33333333 116.66666667] ; [11.66666667 58.33333333],0
a3,1,0.075001,3.170037,[93 46] ; [38 32],[87.12440191 51.87559809] ; [43.87559809 26.12440191],0
p1,1,0.086378,2.940606,[ 16 123] ; [ 3 67],[ 12.63636364 126.36363636] ; [ 6.36363636 63.63636364],0
n1,1,0.107709,2.587522,[24 25] ; [11 24],[20.41666667 28.58333333] ; [14.58333333 20.41666667],0
p9,1,0.109867,2.556139,[94 44] ; [38 29],[88.85853659 49.14146341] ; [43.14146341 23.85853659],0
n3,1,0.129465,2.298907,[32 16] ; [17 17],[28.68292683 19.31707317] ; [20.31707317 13.68292683],0
n2,1,0.143655,2.138365,[35 16] ; [18 16],[31.8 19.2] ; [21.2 12.8],0
a1,1,0.207196,1.590909,[ 10 130] ; [ 2 68],[  8. 132.] ; [ 4. 66.],0
s2,1,0.217888,1.518229,[48 91] ; [18 51],[44.10576923 94.89423077] ; [21.89423077 47.10576923],0
s6,1,0.221931,1.491843,[68 71] ; [28 42],[63.84688995 75.15311005] ; [32.15311005 37.84688995],0
r4,1,0.229957,1.44113,[105  35] ; [47 23],[101.33333333  38.66666667] ; [50.66666667 19.33333333],0
b5,1,0.236724,1.4,[76 64] ; [44 26],[80. 60.] ; [40. 30.],0
r1,1,0.26891,1.222299,[96 44] ; [42 27],[92.44019139 47.55980861] ; [45.55980861 23.44019139],0
p5,1,0.276895,1.182266,[  6 134] ; [ 1 69],[  4.66666667 135.33333333] ; [ 2.33333333 67.66666667],0
b1,1,0.370028,0.803571,[59 81] ; [25 45],[56. 84.] ; [28. 42.],0
s4,1,0.387799,0.745832,[ 23 116] ; [15 55],[ 25.27272727 113.72727273] ; [12.72727273 57.27272727],0
r2,1,0.426506,0.632318,[120  18] ; [58 12],[118.09615385  19.90384615] ; [59.90384615 10.09615385],0
p8,1,0.433442,0.613583,[ 26 114] ; [16 53],[ 28.13397129 111.86602871] ; [13.86602871 55.13397129],0
d1,1,0.434884,0.609745,[74 66] ; [33 37],[71.33333333 68.66666667] ; [35.66666667 34.33333333],0
a7,1,0.514241,0.425427,[89 50] ; [48 22],[91.11483254 47.88516746] ; [45.88516746 24.11483254],0
p2,1,0.554113,0.35,[82 58] ; [38 32],[80. 60.] ; [40. 30.],0
u2,1,0.587033,0.295002,[22 25] ; [13 19],[20.82278481 26.17721519] ; [14.17721519 17.82278481],0
a6,1,0.614518,0.253648,[89 51] ; [42 28],[87.33333333 52.66666667] ; [43.66666667 26.33333333],0
b3,1,0.64406,0.213471,[28 50] ; [11 24],[26.92035398 51.07964602] ; [12.07964602 22.92035398],0
b2,1,0.64406,0.213471,[28 50] ; [11 24],[26.92035398 51.07964602] ; [12.07964602 22.92035398],0
v2,1,0.646626,0.210181,[47 85] ; [22 46],[45.54 86.46] ; [23.46 44.54],0
r3,1,0.681494,0.168449,[114  25] ; [59 11],[115.05741627  23.94258373] ; [57.94258373 12.05741627],0
