Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-05,16.872226,[31  5] ; [43 50],[20.65116279 15.34883721] ; [53.34883721 39.65116279],1
p5,1,0.000489,12.15576,[10 27] ; [ 5 88],[ 4.26923077 32.73076923] ; [10.73076923 82.26923077],1
p8,1,0.005064,7.856519,[25 11] ; [39 54],[17.86046512 18.13953488] ; [46.13953488 46.86046512],0
s7,1,0.00585,7.595863,[22 12] ; [33 56],[15.20325203 18.79674797] ; [39.79674797 49.20325203],0
s2,1,0.007939,7.047138,[23 14] ; [34 59],[16.22307692 20.77692308] ; [40.77692308 52.22307692],0
p9,1,0.010893,6.482675,[32  4] ; [62 31],[26.23255814  9.76744186] ; [67.76744186 25.23255814],0
s8,1,0.01115,6.441332,[18 18] ; [25 69],[11.90769231 24.09230769] ; [31.09230769 62.90769231],0
p3,1,0.012274,6.270791,[21 16] ; [31 63],[14.6870229 22.3129771] ; [37.3129771 56.6870229],0
p6,1,0.027009,4.890237,[17 19] ; [25 68],[11.72093023 24.27906977] ; [30.27906977 62.72093023],0
p10,1,0.042274,4.124189,[31  5] ; [63 29],[26.4375  9.5625] ; [67.5625 24.4375],0
p12,1,0.045085,4.015473,[ 6 31] ; [ 5 88],[ 3.13076923 33.86923077] ; [ 7.86923077 85.13076923],0
p7,1,0.045784,3.989529,[27 10] ; [49 42],[21.96875 15.03125] ; [54.03125 36.96875],0
n6,1,0.077482,3.116942,[33  4] ; [70 23],[29.31538462  7.68461538] ; [73.68461538 19.31538462],0
p1,1,0.10021,2.7022,[ 8 29] ; [10 84],[ 5.08396947 31.91603053] ; [12.91603053 81.08396947],0
s4,1,0.10544,2.621268,[ 8 29] ; [10 83],[ 5.12307692 31.87692308] ; [12.87692308 80.12307692],0
v3,1,0.123878,2.367591,[18 19] ; [31 60],[14.1640625 22.8359375] ; [34.8359375 56.1640625],0
a5,1,0.175381,1.836332,[26 11] ; [54 40],[22.59541985 14.40458015] ; [57.40458015 36.59541985],0
n5,1,0.176862,1.823798,[29  8] ; [61 31],[25.81395349 11.18604651] ; [64.18604651 27.81395349],0
v4,1,0.178098,1.813426,[36  1] ; [84  9],[34.15384615  2.84615385] ; [85.84615385  7.15384615],0
n2,1,0.195418,1.676291,[5 3] ; [21  4],[6.3030303 1.6969697] ; [19.6969697  5.3030303],0
