Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,3e-06,21.658104,[140  99] ; [15 45],[123.89632107 115.10367893] ; [31.10367893 28.89632107],1
d1,1,4e-06,21.042594,[171  68] ; [24 36],[155.86956522  83.13043478] ; [39.13043478 20.86956522],1
a3,1,8e-06,19.920218,[189  49] ; [30 29],[175.49494949  62.50505051] ; [43.50505051 15.49494949],1
a4,1,1.4e-05,18.832743,[126 112] ; [13 47],[111.01342282 126.98657718] ; [27.98657718 32.01342282],1
u1,1,0.000772,11.308468,[ 59 180] ; [ 3 57],[ 49.55852843 189.44147157] ; [12.44147157 47.55852843],1
d3,1,0.003307,8.629812,[181  58] ; [34 26],[171.85618729  67.14381271] ; [43.14381271 16.85618729],0
d4,1,0.003639,8.455609,[210  28] ; [44 16],[202.8590604  35.1409396] ; [51.1409396  8.8590604],0
r1,1,0.009573,6.712656,[207  31] ; [44 16],[200.46308725  37.53691275] ; [50.53691275  9.46308725],0
s5,1,0.022111,5.237015,[106 124] ; [16 39],[ 98.45614035 131.54385965] ; [23.54385965 31.45614035],0
a6,1,0.023316,5.144815,[171  67] ; [34 26],[163.72483221  74.27516779] ; [41.27516779 18.72483221],0
b2,1,0.030672,4.671235,[66 89] ; [ 8 27],[60.36842105 94.63157895] ; [13.63157895 21.36842105],0
b3,1,0.030672,4.671235,[66 89] ; [ 8 27],[60.36842105 94.63157895] ; [13.63157895 21.36842105],0
v2,1,0.039327,4.246692,[153  81] ; [30 29],[146.15017065  87.84982935] ; [36.84982935 22.15017065],0
d5,1,0.0441,4.052725,[201  37] ; [44 16],[195.67114094  42.32885906] ; [49.32885906 10.67114094],0
s8,1,0.070854,3.263117,[133 103] ; [26 34],[126.77027027 109.22972973] ; [32.22972973 27.77027027],0
p10,1,0.112516,2.518517,[218  20] ; [50  9],[214.76094276  23.23905724] ; [53.23905724  5.76094276],0
p9,1,0.153871,2.033446,[221  18] ; [52  8],[218.2173913  20.7826087] ; [54.7826087  5.2173913],0
s2,1,0.162231,1.953307,[130 106] ; [27 33],[125.17567568 110.82432432] ; [31.82432432 28.17567568],0
s4,1,0.183007,1.77303,[ 41 194] ; [15 45],[ 44.61016949 190.38983051] ; [11.38983051 48.61016949],0
v1,1,0.195618,1.674795,[149  86] ; [32 27],[144.67687075  90.32312925] ; [36.32312925 22.67687075],0
s1,1,0.212041,1.557439,[  5 234] ; [ 3 57],[  6.39464883 232.60535117] ; [ 1.60535117 58.39464883],0
n6,1,0.237305,1.396532,[214  23] ; [51  9],[211.46464646  25.53535354] ; [53.53535354  6.46464646],0
b1,1,0.252423,1.309841,[ 99 140] ; [20 40],[ 95.12040134 143.87959866] ; [23.87959866 36.12040134],0
a8,1,0.26494,1.242757,[ 32 183] ; [ 5 50],[ 29.46296296 185.53703704] ; [ 7.53703704 47.46296296],0
n4,1,0.288312,1.127486,[201  38] ; [47 13],[198.23411371  40.76588629] ; [49.76588629 10.23411371],0
p1,1,0.29687,1.0882,[ 31 206] ; [11 49],[ 33.51515152 203.48484848] ; [ 8.48484848 51.51515152],0
r4,1,0.312887,1.018452,[224  15] ; [54  6],[222.21404682  16.78595318] ; [55.78595318  4.21404682],0
p11,1,0.351293,0.868782,[210  29] ; [50 10],[207.82608696  31.17391304] ; [52.17391304  7.82608696],0
v3,1,0.360892,0.834786,[112 121] ; [24 34],[108.89347079 124.10652921] ; [27.10652921 30.89347079],0
u3,1,0.382806,0.761671,[31 18] ; [16 14],[29.15189873 19.84810127] ; [17.84810127 12.15189873],0
p12,1,0.384151,0.757375,[ 34 204] ; [ 6 54],[ 31.94630872 206.05369128] ; [ 8.05369128 51.94630872],0
v4,1,0.413705,0.668129,[228   9] ; [59  1],[229.02020202   7.97979798] ; [57.97979798  2.02020202],0
r2,1,0.41563,0.66264,[225  10] ; [55  4],[223.80952381  11.19047619] ; [56.19047619  2.80952381],0
s6,1,0.423417,0.640811,[168  62] ; [40 19],[165.53633218  64.46366782] ; [42.46366782 16.53633218],0
p4,1,0.456812,0.553695,[208  31] ; [50 10],[206.22742475  32.77257525] ; [51.77257525  8.22742475],0
b4,1,0.462519,0.539791,[140  99] ; [32 28],[137.48494983 101.51505017] ; [34.51505017 25.48494983],0
n5,1,0.473219,0.51445,[196  42] ; [47 13],[194.0738255  43.9261745] ; [48.9261745 11.0738255],0
u4,1,0.493047,0.469871,[  8 230] ; [ 1 59],[  7.18791946 230.81208054] ; [ 1.81208054 58.18791946],0
n3,1,0.512734,0.428484,[17 12] ; [9 4],[17.95238095 11.04761905] ; [8.04761905 4.95238095],0
p2,1,0.535304,0.384313,[220  18] ; [54  6],[218.83221477  19.16778523] ; [55.16778523  4.83221477],0
a1,1,0.558067,0.343062,[ 17 222] ; [ 3 57],[ 15.98662207 223.01337793] ; [ 4.01337793 55.98662207],0
n2,1,0.597676,0.278515,[20  9] ; [10  3],[20.71428571  8.28571429] ; [9.28571429 3.71428571],0
n1,1,0.615735,0.251908,[11 18] ; [6 7],[11.73809524 17.26190476] ; [5.26190476 7.73809524],0
b5,1,0.621735,0.243437,[128 111] ; [30 30],[126.29431438 112.70568562] ; [31.70568562 28.29431438],0
