Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,29.909949,[36 27] ; [303  49],[51.4626506 11.5373494] ; [287.5373494  64.4626506],1
s8,1,0.0,28.319788,[20 43] ; [235 115],[38.89830508 24.10169492] ; [216.10169492 133.89830508],1
s7,1,0.0,26.229684,[23 38] ; [242  97],[40.4125 20.5875] ; [224.5875 114.4125],1
s5,1,3e-06,21.574223,[10 50] ; [166 173],[26.46616541 33.53383459] ; [149.53383459 189.46616541],1
p9,1,0.004338,8.136522,[54  9] ; [335  17],[59.05301205  3.94698795] ; [329.94698795  22.05301205],0
v4,1,0.005899,7.580965,[56  6] ; [341   9],[59.74271845  2.25728155] ; [337.25728155  12.74271845],0
a4,1,0.006877,7.304877,[19 44] ; [171 181],[28.84337349 34.15662651] ; [161.15662651 190.84337349],0
a2,1,0.007887,7.058937,[ 8 55] ; [101 251],[16.54698795 46.45301205] ; [ 92.45301205 259.54698795],0
n6,1,0.010445,6.557313,[48 15] ; [307  41],[54.41605839  8.58394161] ; [300.58394161  47.41605839],0
p2,1,0.012001,6.310745,[48 15] ; [309  42],[54.32608696  8.67391304] ; [302.67391304  48.32608696],0
s4,1,0.012759,6.202203,[ 6 57] ; [ 82 267],[13.45631068 49.54368932] ; [ 74.54368932 274.45631068],0
p6,1,0.019654,5.442331,[17 46] ; [148 199],[25.35365854 37.64634146] ; [139.64634146 207.35365854],0
r4,1,0.025463,4.992147,[54  9] ; [330  22],[58.2939759  4.7060241] ; [325.7060241  26.2939759],0
a3,1,0.026113,4.948497,[41 22] ; [274  77],[47.93478261 15.06521739] ; [267.06521739  83.93478261],0
p4,1,0.037447,4.329954,[32 30] ; [229 121],[39.27669903 22.72330097] ; [221.72330097 128.27669903],0
p7,1,0.038794,4.269876,[35 26] ; [239  99],[41.88972431 19.11027569] ; [232.11027569 105.88972431],0
p5,1,0.043301,4.08363,[ 3 58] ; [ 50 299],[ 7.88536585 53.11463415] ; [ 45.11463415 303.88536585],0
p8,1,0.048382,3.896656,[27 36] ; [196 152],[34.18248175 28.81751825] ; [188.81751825 159.18248175],0
u1,1,0.074412,3.182921,[ 7 56] ; [ 73 279],[12.14457831 50.85542169] ; [ 67.85542169 284.14457831],0
r3,1,0.077106,3.124869,[59  4] ; [342   8],[61.16949153  1.83050847] ; [339.83050847  10.16949153],0
u2,1,0.08473,2.971754,[10 12] ; [50 26],[13.46938776  8.53061224] ; [46.53061224 29.46938776],0
u3,1,0.086769,2.933316,[11 11] ; [53 23],[14.36734694  7.63265306] ; [49.63265306 26.36734694],0
r1,1,0.100672,2.69487,[48 15] ; [296  54],[52.47457627 10.52542373] ; [291.52542373  58.47457627],0
b5,1,0.101971,2.674438,[31 32] ; [212 140],[36.88915663 26.11084337] ; [206.11084337 145.88915663],0
d5,1,0.119614,2.422371,[47 16] ; [290  60],[51.40677966 11.59322034] ; [285.59322034  64.40677966],0
a5,1,0.123629,2.370733,[42 21] ; [267  85],[46.90843373 16.09156627] ; [262.09156627  89.90843373],0
d2,1,0.138356,2.196144,[27 36] ; [186 165],[32.41304348 30.58695652] ; [180.58695652 170.41304348],0
p12,1,0.143166,2.143596,[ 4 59] ; [ 45 306],[ 7.45652174 55.54347826] ; [ 41.54347826 309.45652174],0
d4,1,0.154087,2.031319,[50 13] ; [302  48],[53.69491525  9.30508475] ; [298.30508475  51.69491525],0
p1,1,0.185445,1.753439,[ 3 60] ; [ 35 315],[ 5.79661017 57.20338983] ; [ 32.20338983 317.79661017],0
a6,1,0.219192,1.509656,[39 24] ; [244 106],[43.16949153 19.83050847] ; [239.83050847 110.16949153],0
v1,1,0.251516,1.314865,[30 31] ; [193 145],[34.09273183 26.90726817] ; [188.90726817 149.09273183],0
b3,1,0.287087,1.133233,[19 22] ; [ 81 135],[15.95330739 25.04669261] ; [ 84.04669261 131.95330739],0
b2,1,0.287087,1.133233,[19 22] ; [ 81 135],[15.95330739 25.04669261] ; [ 84.04669261 131.95330739],0
p3,1,0.315881,1.005924,[30 32] ; [194 157],[33.62711864 28.37288136] ; [190.37288136 160.62711864],0
d1,1,0.335014,0.929421,[37 26] ; [229 123],[40.38072289 22.61927711] ; [225.61927711 126.38072289],0
s1,1,0.344414,0.893931,[ 1 62] ; [ 14 335],[ 2.29368932 60.70631068] ; [ 12.70631068 336.29368932],0
a7,1,0.362487,0.82926,[43 20] ; [259  92],[45.95652174 17.04347826] ; [256.04347826  94.95652174],0
v3,1,0.477001,0.505711,[22 37] ; [144 197],[24.485 34.515] ; [141.515 199.485],0
u4,1,0.502347,0.449974,[ 1 62] ; [ 11 341],[ 1.82168675 61.17831325] ; [ 10.17831325 341.82168675],0
n1,1,0.519397,0.415091,[6 5] ; [30 38],[5.01265823 5.98734177] ; [30.98734177 37.01265823],0
n3,1,0.5317,0.391142,[10  2] ; [51 17],[9.15 2.85] ; [51.85 16.15],0
r2,1,0.571415,0.320321,[61  1] ; [338  10],[60.33658537  1.66341463] ; [338.66341463   9.33658537],0
p11,1,0.584033,0.29976,[52 11] ; [300  52],[53.43614458  9.56385542] ; [298.56385542  53.43614458],0
n5,1,0.634314,0.226256,[48 14] ; [281  70],[49.38983051 12.61016949] ; [279.61016949  71.38983051],0
a1,1,0.686866,0.162499,[ 4 59] ; [ 18 334],[ 3.33975904 59.66024096] ; [ 18.66024096 333.33975904],0
d3,1,0.751789,0.100034,[44 19] ; [252  99],[45.04347826 17.95652174] ; [250.95652174 100.04347826],0
v2,1,0.818138,0.052873,[34 26] ; [194 139],[34.80916031 25.19083969] ; [193.19083969 139.80916031],0
n4,1,0.84964,0.03594,[50 13] ; [283  69],[50.55180723 12.44819277] ; [282.44819277  69.55180723],0
a8,1,0.857094,0.032427,[ 8 53] ; [ 46 283],[ 8.44615385 52.55384615] ; [ 45.55384615 283.44615385],0
n2,1,0.860783,0.030757,[10  2] ; [58 10],[10.2  1.8] ; [57.8 10.2],0
b1,1,0.942962,0.005119,[25 38] ; [138 214],[24.74457831 38.25542169] ; [138.25542169 213.74457831],0
b4,1,0.957234,0.002876,[37 26] ; [208 144],[37.19277108 25.80722892] ; [207.80722892 144.19277108],0
