Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.7e-05,17.634059,[20 34] ; [10 95],[10.18867925 43.81132075] ; [19.81132075 85.18867925],1
s5,1,7.7e-05,15.639336,[17 35] ; [ 8 94],[ 8.44155844 43.55844156] ; [16.55844156 85.44155844],1
p3,1,0.001194,10.499265,[28 26] ; [27 77],[18.79746835 35.20253165] ; [36.20253165 67.79746835],0
s7,1,0.002322,9.276102,[20 34] ; [15 83],[12.43421053 41.56578947] ; [22.56578947 75.43421053],0
p5,1,0.011902,6.325402,[ 6 48] ; [  2 103],[ 2.71698113 51.28301887] ; [ 5.28301887 99.71698113],0
s3,1,0.011952,6.317949,[18 34] ; [17 85],[11.81818182 40.18181818] ; [23.18181818 78.81818182],0
p9,1,0.015565,5.851335,[41 13] ; [58 45],[34.05095541 19.94904459] ; [64.94904459 38.05095541],0
v1,1,0.018193,5.577479,[24 28] ; [28 75],[17.44516129 34.55483871] ; [34.55483871 68.44516129],0
p10,1,0.032698,4.561518,[35 18] ; [50 54],[28.69426752 24.30573248] ; [56.30573248 47.69426752],0
s4,1,0.047144,3.940253,[ 9 45] ; [ 7 98],[ 5.43396226 48.56603774] ; [10.56603774 94.43396226],0
p6,1,0.049931,3.843787,[15 36] ; [16 85],[10.40131579 40.59868421] ; [20.59868421 80.40131579],0
p8,1,0.061033,3.50908,[27 27] ; [36 68],[21.53164557 32.46835443] ; [41.46835443 62.53164557],0
a5,1,0.066356,3.370932,[36 18] ; [54 51],[30.56603774 23.43396226] ; [59.43396226 45.56603774],0
u2,1,0.068435,3.320158,[15  5] ; [18 18],[11.78571429  8.21428571] ; [21.21428571 14.78571429],0
p4,1,0.071611,3.245702,[25 29] ; [33 71],[19.82278481 34.17721519] ; [38.17721519 65.82278481],0
a7,1,0.111342,2.535076,[43 11] ; [71 34],[38.71698113 15.28301887] ; [75.28301887 29.71698113],0
p7,1,0.132521,2.26272,[32 22] ; [49 56],[27.50943396 26.49056604] ; [53.49056604 51.50943396],0
u3,1,0.140197,2.175791,[13  7] ; [16 20],[10.35714286  9.64285714] ; [18.64285714 17.35714286],0
v3,1,0.173465,1.852743,[17 35] ; [22 76],[13.52 38.48] ; [25.48 72.52],0
a2,1,0.227609,1.455738,[ 8 46] ; [ 9 96],[ 5.77358491 48.22641509] ; [11.22641509 93.77358491],0
p12,1,0.230968,1.43489,[ 2 52] ; [  1 103],[ 1.02531646 52.97468354] ; [  1.97468354 102.02531646],0
a4,1,0.242373,1.36674,[22 32] ; [33 72],[18.67924528 35.32075472] ; [36.32075472 68.67924528],0
a6,1,0.245793,1.34706,[35 19] ; [58 47],[31.58490566 22.41509434] ; [61.41509434 43.58490566],0
r4,1,0.253893,1.301754,[44 10] ; [77 28],[41.09433962 12.90566038] ; [79.90566038 25.09433962],0
r1,1,0.270576,1.213823,[42 12] ; [73 32],[39.05660377 14.94339623] ; [75.94339623 29.05660377],0
n2,1,0.272727,1.202982,[13  6] ; [18 16],[11.11320755  7.88679245] ; [19.88679245 14.11320755],0
u1,1,0.325663,0.966067,[ 4 50] ; [  4 101],[ 2.71698113 51.28301887] ; [ 5.28301887 99.71698113],0
r3,1,0.336481,0.923794,[50  4] ; [92 13],[48.22641509  5.77358491] ; [93.77358491 11.22641509],0
d3,1,0.342301,0.901795,[39 15] ; [68 37],[36.33962264 17.66037736] ; [70.66037736 34.33962264],0
n4,1,0.411774,0.673674,[20 34] ; [46 59],[22.41509434 31.58490566] ; [43.58490566 61.41509434],0
p2,1,0.425666,0.634618,[41 12] ; [75 30],[38.91139241 14.08860759] ; [77.08860759 27.91139241],0
d5,1,0.466964,0.529152,[41 13] ; [74 31],[39.05660377 14.94339623] ; [75.94339623 29.05660377],0
a1,1,0.492726,0.470568,[ 2 52] ; [  2 103],[ 1.35849057 52.64150943] ; [  2.64150943 102.35849057],0
d1,1,0.53553,0.383888,[28 26] ; [49 56],[26.1509434 27.8490566] ; [50.8490566 54.1509434],0
b1,1,0.553355,0.351341,[20 34] ; [44 61],[21.73584906 32.26415094] ; [42.26415094 62.73584906],0
p11,1,0.553398,0.351265,[38 16] ; [69 36],[36.33962264 17.66037736] ; [70.66037736 34.33962264],0
n3,1,0.59752,0.278752,[14  5] ; [22 11],[13.15384615  5.84615385] ; [22.84615385 10.15384615],0
r2,1,0.603401,0.269896,[46  6] ; [88 15],[44.95483871  7.04516129] ; [89.04516129 13.95483871],0
d4,1,0.61805,0.248618,[44 10] ; [82 23],[42.79245283 11.20754717] ; [83.20754717 21.79245283],0
n6,1,0.630571,0.231288,[33 21] ; [60 45],[31.58490566 22.41509434] ; [61.41509434 43.58490566],0
p1,1,0.637161,0.222475,[ 3 50] ; [ 8 96],[ 3.7133758 49.2866242] ; [ 7.2866242 96.7133758],0
a3,1,0.671991,0.179282,[34 20] ; [69 35],[35.20253165 18.79746835] ; [67.79746835 36.20253165],0
a8,1,0.703978,0.144366,[ 3 45] ; [ 8 92],[ 3.56756757 44.43243243] ; [ 7.43243243 92.56756757],0
v2,1,0.729734,0.119356,[26 26] ; [48 54],[24.98701299 27.01298701] ; [49.01298701 52.98701299],0
d2,1,0.738712,0.111262,[21 33] ; [38 67],[20.03773585 33.96226415] ; [38.96226415 66.03773585],0
s1,1,0.758062,0.09488,[ 2 52] ; [  5 100],[ 2.37735849 51.62264151] ; [  4.62264151 100.37735849],0
b2,1,0.768513,0.086624,[12 21] ; [20 40],[11.35483871 21.64516129] ; [20.64516129 39.35483871],0
b3,1,0.768513,0.086624,[12 21] ; [20 40],[11.35483871 21.64516129] ; [20.64516129 39.35483871],0
v4,1,0.835629,0.043051,[46  7] ; [89 15],[45.57324841  7.42675159] ; [89.42675159 14.57324841],0
n1,1,0.878936,0.023201,[ 4 15] ; [ 8 27],[ 4.22222222 14.77777778] ; [ 7.77777778 27.22222222],0
b5,1,0.928129,0.008136,[32 22] ; [63 42],[32.26415094 21.73584906] ; [62.73584906 42.26415094],0
b4,1,0.984495,0.000378,[33 21] ; [64 41],[32.94339623 21.05660377] ; [64.05660377 40.94339623],0
