Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.6e-05,18.637755,[26 34] ; [105  35],[39.3 20.7] ; [91.7 48.3],1
a6,1,0.000104,15.070644,[27 33] ; [103  37],[39. 21.] ; [91. 49.],1
a3,1,0.008797,6.863639,[28 32] ; [93 47],[36.3 23.7] ; [84.7 55.3],0
r1,1,0.0171,5.68609,[39 21] ; [113  27],[45.6 14.4] ; [106.4  33.6],0
a2,1,0.03072,4.668534,[ 4 56] ; [ 26 114],[ 9. 51.] ; [ 21. 119.],0
b5,1,0.033143,4.53837,[24 36] ; [79 61],[30.9 29.1] ; [72.1 67.9],0
n2,1,0.033345,4.527962,[7 8] ; [22  6],[10.11627907  4.88372093] ; [18.88372093  9.11627907],0
d4,1,0.043047,4.093567,[40 20] ; [112  28],[45.6 14.4] ; [106.4  33.6],0
d5,1,0.043601,4.071964,[39 21] ; [110  30],[44.7 15.3] ; [104.3  35.7],0
b1,1,0.061354,3.50041,[29 31] ; [48 92],[23.1 36.9] ; [53.9 86.1],0
p11,1,0.070402,3.273616,[44 16] ; [118  22],[48.6 11.4] ; [113.4  26.6],0
s4,1,0.082441,3.016106,[16 44] ; [ 22 115],[11.57360406 48.42639594] ; [ 26.42639594 110.57360406],0
p7,1,0.103586,2.649439,[42 17] ; [111  25],[46.29230769 12.70769231] ; [106.70769231  29.29230769],0
r2,1,0.107126,2.596109,[51  8] ; [129   9],[53.90862944  5.09137056] ; [126.09137056  11.90862944],0
u3,1,0.118097,2.44238,[12 20] ; [25 20],[15.37662338 16.62337662] ; [21.62337662 23.37662338],0
p3,1,0.12425,2.362915,[39 21] ; [74 65],[34.07035176 25.92964824] ; [78.92964824 60.07035176],0
p2,1,0.147416,2.098789,[49 11] ; [124  15],[52.16080402  7.83919598] ; [120.83919598  18.16080402],0
u1,1,0.160718,1.967459,[ 4 56] ; [ 19 121],[ 6.9 53.1] ; [ 16.1 123.9],0
v2,1,0.167185,1.90801,[20 38] ; [61 74],[24.34196891 33.65803109] ; [56.65803109 78.34196891],0
s8,1,0.186846,1.74231,[28 32] ; [51 88],[23.81909548 36.18090452] ; [55.18090452 83.81909548],0
r4,1,0.190372,1.714734,[49 11] ; [124  16],[51.9  8.1] ; [121.1  18.9],0
r3,1,0.198258,1.65516,[54  6] ; [131   7],[56.06060606  3.93939394] ; [128.93939394   9.06060606],0
n3,1,0.235392,1.407982,[8 7] ; [20  8],[9.76744186 5.23255814] ; [18.23255814  9.76744186],0
v3,1,0.268586,1.223955,[13 46] ; [41 97],[16.17258883 42.82741117] ; [ 37.82741117 100.17258883],0
a1,1,0.270289,1.215278,[ 1 59] ; [  7 133],[ 2.4 57.6] ; [  5.6 134.4],0
p1,1,0.319624,0.990484,[ 8 52] ; [ 12 126],[ 6.06060606 53.93939394] ; [ 13.93939394 124.06060606],0
b4,1,0.337542,0.919745,[29 31] ; [78 62],[32.1 27.9] ; [74.9 65.1],0
s2,1,0.413683,0.668192,[26 34] ; [69 70],[28.64321608 31.35678392] ; [66.35678392 72.64321608],0
u2,1,0.466529,0.530186,[19 13] ; [24 23],[17.41772152 14.58227848] ; [25.58227848 21.41772152],0
p6,1,0.474979,0.510368,[27 33] ; [55 84],[24.72361809 35.27638191] ; [57.27638191 81.72361809],0
d1,1,0.477809,0.50386,[28 32] ; [73 67],[30.3 29.7] ; [70.7 69.3],0
v4,1,0.493494,0.468899,[56  4] ; [132   6],[56.96969697  3.03030303] ; [131.03030303   6.96969697],0
a8,1,0.558904,0.341606,[ 6 50] ; [ 18 112],[ 7.22580645 48.77419355] ; [ 16.77419355 113.22580645],0
p9,1,0.559853,0.339959,[47 13] ; [113  25],[48.48484848 11.51515152] ; [111.51515152  26.48484848],0
p10,1,0.575721,0.313203,[47 13] ; [112  25],[48.42639594 11.57360406] ; [110.57360406  26.42639594],0
b3,1,0.641091,0.217318,[ 7 31] ; [16 56],[ 7.94545455 30.05454545] ; [15.05454545 56.94545455],0
b2,1,0.641091,0.217318,[ 7 31] ; [16 56],[ 7.94545455 30.05454545] ; [15.05454545 56.94545455],0
s6,1,0.67507,0.175728,[38 19] ; [87 50],[36.72680412 20.27319588] ; [88.27319588 48.72680412],0
s3,1,0.744024,0.106621,[31 28] ; [76 62],[32.04568528 26.95431472] ; [74.95431472 63.04568528],0
n1,1,0.74591,0.105,[ 4 11] ; [ 6 21],[ 3.57142857 11.42857143] ; [ 6.42857143 20.57142857],0
p4,1,0.784649,0.074674,[37 22] ; [90 49],[37.84343434 21.15656566] ; [89.15656566 49.84343434],0
n4,1,0.789591,0.071204,[43 17] ; [97 42],[42.21105528 17.78894472] ; [97.78894472 41.21105528],0
n5,1,0.792774,0.069017,[42 18] ; [94 44],[41.21212121 18.78787879] ; [94.78787879 43.21212121],0
d2,1,0.802504,0.062554,[26 34] ; [58 82],[25.2 34.8] ; [58.8 81.2],0
n6,1,0.822544,0.050299,[50 10] ; [114  25],[49.44723618 10.55276382] ; [114.55276382  24.44723618],0
