Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,65.770263,[108   8] ; [16 32],[87.70731707 28.29268293] ; [36.29268293 11.70731707],1
p11,1,0.000785,11.27615,[87 29] ; [23 25],[77.80487805 38.19512195] ; [32.19512195 15.80487805],1
s7,1,0.00294,8.844549,[44 67] ; [ 7 39],[36.05732484 74.94267516] ; [14.94267516 31.05732484],0
s8,1,0.003022,8.794158,[45 71] ; [ 7 40],[37.00613497 78.99386503] ; [14.99386503 32.00613497],0
p7,1,0.003096,8.750196,[72 39] ; [19 29],[63.52830189 47.47169811] ; [27.47169811 20.52830189],0
v4,1,0.003193,8.693845,[112   3] ; [40  7],[107.90123457   7.09876543] ; [44.09876543  2.90123457],0
s6,1,0.003545,8.503201,[78 38] ; [20 27],[69.74233129 46.25766871] ; [28.25766871 18.74233129],0
s5,1,0.003591,8.479668,[40 72] ; [ 6 41],[32.40251572 79.59748428] ; [13.59748428 33.40251572],0
p2,1,0.006086,7.524761,[93 22] ; [29 19],[86.07361963 28.92638037] ; [35.92638037 12.07361963],0
n6,1,0.020443,5.373655,[81 33] ; [25 23],[74.59259259 39.40740741] ; [31.40740741 16.59259259],0
a5,1,0.020612,5.35929,[78 38] ; [23 25],[71.43902439 44.56097561] ; [29.56097561 18.43902439],0
s2,1,0.026375,4.931286,[54 62] ; [13 34],[47.6809816 68.3190184] ; [19.3190184 27.6809816],0
s1,1,0.040244,4.207576,[  2 114] ; [ 4 44],[  4.24390244 111.75609756] ; [ 1.75609756 46.24390244],0
n2,1,0.056856,3.626807,[30  8] ; [11  9],[26.86206897 11.13793103] ; [14.13793103  5.86206897],0
p4,1,0.057493,3.608271,[57 58] ; [16 32],[51.50306748 63.49693252] ; [21.49693252 26.50306748],0
u2,1,0.06324,3.450302,[26 10] ; [10 11],[22.73684211 13.26315789] ; [13.26315789  7.73684211],0
v1,1,0.065716,3.386913,[55 57] ; [16 32],[49.7 62.3] ; [21.3 26.7],0
v3,1,0.073412,3.205041,[37 72] ; [ 9 37],[32.3483871 76.6516129] ; [13.6516129 32.3483871],0
s3,1,0.08532,2.960526,[62 52] ; [19 29],[57. 57.] ; [24. 24.],0
a7,1,0.086244,2.943122,[92 24] ; [32 16],[87.70731707 28.29268293] ; [36.29268293 11.70731707],0
p8,1,0.088064,2.909413,[58 58] ; [17 31],[53.04878049 62.95121951] ; [21.95121951 26.04878049],0
a3,1,0.090636,2.863036,[79 37] ; [26 22],[74.26829268 41.73170732] ; [30.73170732 17.26829268],0
s4,1,0.094373,2.798159,[28 88] ; [ 6 42],[24.04878049 91.95121951] ; [ 9.95121951 38.04878049],0
d3,1,0.10361,2.649084,[85 31] ; [29 19],[80.63414634 35.36585366] ; [33.36585366 14.63414634],0
p3,1,0.13635,2.218676,[43 73] ; [12 36],[38.90243902 77.09756098] ; [16.09756098 31.90243902],0
v2,1,0.166875,1.910793,[63 44] ; [21 24],[59.13157895 47.86842105] ; [24.86842105 20.13157895],0
u3,1,0.336081,0.925325,[25 10] ; [13  9],[23.33333333 11.66666667] ; [14.66666667  7.33333333],0
b2,1,0.345595,0.889566,[16 35] ; [ 6 22],[14.20253165 36.79746835] ; [ 7.79746835 20.20253165],0
b3,1,0.345595,0.889566,[16 35] ; [ 6 22],[14.20253165 36.79746835] ; [ 7.79746835 20.20253165],0
p6,1,0.351398,0.868402,[27 87] ; [ 8 39],[24.7826087 89.2173913] ; [10.2173913 36.7826087],0
r2,1,0.395936,0.720634,[106   9] ; [46  2],[107.2392638   7.7607362] ; [44.7607362  3.2392638],0
n5,1,0.404077,0.696159,[41 73] ; [14 34],[38.7037037 75.2962963] ; [16.2962963 31.7037037],0
r4,1,0.446185,0.580324,[106  10] ; [42  6],[104.68292683  11.31707317] ; [43.31707317  4.68292683],0
b5,1,0.477524,0.504513,[68 48] ; [31 17],[70.02439024 45.97560976] ; [28.97560976 19.02439024],0
u1,1,0.486214,0.484893,[ 14 102] ; [ 4 44],[ 12.73170732 103.26829268] ; [ 5.26829268 42.73170732],0
d5,1,0.50202,0.450663,[88 28] ; [34 14],[86.29268293 29.70731707] ; [35.70731707 12.29268293],0
n1,1,0.529793,0.394789,[10 28] ; [ 4 17],[ 9.01694915 28.98305085] ; [ 4.98305085 16.01694915],0
a4,1,0.544163,0.367878,[42 74] ; [15 33],[40.31707317 75.68292683] ; [16.68292683 31.31707317],0
r3,1,0.592321,0.286735,[109   7] ; [44  4],[108.2195122   7.7804878] ; [44.7804878  3.2195122],0
n3,1,0.612093,0.257138,[27 10] ; [14  7],[26.15517241 10.84482759] ; [14.84482759  6.15517241],0
d2,1,0.635018,0.225317,[39 77] ; [18 30],[40.31707317 75.68292683] ; [16.68292683 31.31707317],0
a6,1,0.66251,0.190489,[79 37] ; [31 17],[77.80487805 38.19512195] ; [32.19512195 15.80487805],0
d4,1,0.671081,0.180341,[97 19] ; [38  9],[96.07361963 19.92638037] ; [38.92638037  8.07361963],0
b4,1,0.719278,0.129186,[69 47] ; [30 18],[70.02439024 45.97560976] ; [28.97560976 19.02439024],0
d1,1,0.731415,0.117816,[59 57] ; [23 25],[58. 58.] ; [24. 24.],0
p1,1,0.768663,0.086509,[  6 108] ; [ 2 46],[  5.62962963 108.37037037] ; [ 2.37037037 45.62962963],0
a1,1,0.849348,0.036081,[  3 113] ; [ 1 47],[  2.82926829 113.17073171] ; [ 1.17073171 46.82926829],0
b1,1,0.857935,0.032042,[37 79] ; [16 32],[37.48780488 78.51219512] ; [15.51219512 32.48780488],0
a8,1,0.879031,0.023164,[  6 103] ; [ 2 39],[  5.81333333 103.18666667] ; [ 2.18666667 38.81333333],0
a2,1,0.963988,0.002038,[19 97] ; [ 8 40],[19.09756098 96.90243902] ; [ 7.90243902 40.09756098],0
