Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,24.000385,[ 58 266] ; [18 15],[ 68.97478992 255.02521008] ; [ 7.02521008 25.97478992],1
p3,1,4.1e-05,16.802893,[138 191] ; [28  8],[149.62739726 179.37260274] ; [16.37260274 19.62739726],1
p12,1,0.00017,14.131118,[ 10 315] ; [ 6 30],[ 14.40443213 310.59556787] ; [ 1.59556787 34.40443213],1
p1,1,0.000223,13.630234,[ 18 309] ; [ 8 28],[ 23.4214876 303.5785124] ; [ 2.5785124 33.4214876],1
p4,1,0.002799,8.934258,[165 161] ; [27  8],[173.38504155 152.61495845] ; [18.61495845 16.38504155],0
v3,1,0.002803,8.931187,[105 213] ; [20 14],[112.92613636 205.07386364] ; [12.07386364 21.92613636],0
s7,1,0.00443,8.098504,[ 79 234] ; [16 17],[ 85.93930636 227.06069364] ; [ 9.06069364 23.93930636],0
s8,1,0.009011,6.8206,[ 82 245] ; [16 19],[ 88.52486188 238.47513812] ; [ 9.47513812 25.52486188],0
p9,1,0.010805,6.497134,[246  81] ; [33  2],[252.02486188  74.97513812] ; [26.97513812  8.02486188],0
p10,1,0.018562,5.542309,[239  87] ; [32  3],[244.72576177  81.27423823] ; [26.27423823  8.72576177],0
p6,1,0.022977,5.170266,[ 86 239] ; [16 20],[ 91.82825485 233.17174515] ; [10.17174515 25.82825485],0
p7,1,0.033459,4.522143,[190 134] ; [27  8],[195.84401114 128.15598886] ; [21.15598886 13.84401114],0
s6,1,0.041568,4.152715,[148 178] ; [20 11],[153.41176471 172.58823529] ; [14.58823529 16.41176471],0
r3,1,0.063151,3.452635,[309  19] ; [31  5],[306.37362637  21.62637363] ; [33.62637363  2.37362637],0
a5,1,0.080413,3.056529,[239  90] ; [31  5],[243.36986301  85.63013699] ; [26.63013699  9.36986301],0
n5,1,0.087795,2.91435,[217 109] ; [29  7],[221.5359116 104.4640884] ; [24.4640884 11.5359116],0
b3,1,0.108473,2.576333,[ 60 129] ; [14 16],[ 63.8630137 125.1369863] ; [10.1369863 19.8630137],0
b2,1,0.108473,2.576333,[ 60 129] ; [14 16],[ 63.8630137 125.1369863] ; [10.1369863 19.8630137],0
d2,1,0.11284,2.513992,[137 191] ; [20 16],[141.47252747 186.52747253] ; [15.52747253 20.47252747],0
r2,1,0.123572,2.371451,[309  16] ; [32  4],[306.99445983  18.00554017] ; [34.00554017  1.99445983],0
b5,1,0.143229,2.142925,[197 132] ; [17 19],[192.89315068 136.10684932] ; [21.10684932 14.89315068],0
p8,1,0.163441,1.942097,[163 160] ; [22 13],[166.91340782 156.08659218] ; [18.08659218 16.91340782],0
n4,1,0.163818,1.938622,[238  90] ; [30  6],[241.49450549  86.50549451] ; [26.50549451  9.49450549],0
u1,1,0.167114,1.908644,[ 45 284] ; [ 8 28],[ 47.77260274 281.22739726] ; [ 5.22739726 30.77260274],0
b1,1,0.180261,1.795467,[118 211] ; [17 19],[121.68493151 207.31506849] ; [13.31506849 22.68493151],0
a8,1,0.255785,1.291426,[ 33 257] ; [ 6 27],[ 35.01547988 254.98452012] ; [ 3.98452012 29.01547988],0
n6,1,0.280545,1.164447,[258  71] ; [31  5],[260.49589041  68.50410959] ; [28.50410959  7.49589041],0
a3,1,0.322362,0.97934,[218 108] ; [27  9],[220.63535912 105.36464088] ; [24.36464088 11.63535912],0
n1,1,0.358925,0.841653,[27 53] ; [4 4],[28.18181818 51.81818182] ; [2.81818182 5.18181818],0
r4,1,0.414015,0.667242,[305  24] ; [32  4],[303.76164384  25.23835616] ; [33.23835616  2.76164384],0
n2,1,0.484195,0.489401,[53 27] ; [7 2],[53.93258427 26.06741573] ; [6.06741573 2.93258427],0
a1,1,0.496557,0.462286,[ 11 318] ; [ 2 34],[ 11.71780822 317.28219178] ; [ 1.28219178 34.71780822],0
a2,1,0.517796,0.418281,[ 70 259] ; [ 6 30],[ 68.50410959 260.49589041] ; [ 7.49589041 28.50410959],0
u2,1,0.523562,0.406872,[61 49] ; [4 5],[60.08403361 49.91596639] ; [4.91596639 4.08403361],0
u3,1,0.529041,0.396233,[62 49] ; [6 3],[62.9 48.1] ; [5.1 3.9],0
d3,1,0.53107,0.392344,[227 102] ; [23 13],[225.34246575 103.65753425] ; [24.65753425 11.34246575],0
v4,1,0.550492,0.356436,[307  19] ; [33  3],[306.1878453  19.8121547] ; [33.8121547  2.1878453],0
b4,1,0.591675,0.287737,[195 134] ; [23 13],[196.49863014 132.50136986] ; [21.50136986 14.49863014],0
a4,1,0.640429,0.218182,[140 186] ; [14 22],[138.68508287 187.31491713] ; [15.31491713 20.68508287],0
p2,1,0.650666,0.205062,[263  65] ; [30  6],[264.02197802  63.97802198] ; [28.97802198  7.02197802],0
a7,1,0.691784,0.157161,[238  90] ; [25 11],[236.98901099  91.01098901] ; [26.01098901  9.98901099],0
d4,1,0.705057,0.143265,[263  64] ; [28  8],[262.14049587  64.85950413] ; [28.85950413  7.14049587],0
p11,1,0.705546,0.142767,[256  73] ; [29  7],[256.89041096  72.10958904] ; [28.10958904  7.89041096],0
