Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,3.4e-05,17.154207,[227  26] ; [97 35],[212.91428571  40.08571429] ; [111.08571429  20.91428571],1
p6,1,0.000198,13.845585,[115 133] ; [35 96],[ 98.1530343 149.8469657] ; [51.8469657 79.1530343],1
n5,1,0.000757,11.344712,[208  45] ; [87 43],[194.8694517  58.1305483] ; [100.1305483  29.8694517],1
s8,1,0.001405,10.199494,[139 112] ; [50 81],[124.18586387 126.81413613] ; [64.81413613 66.18586387],0
v3,1,0.007465,7.157648,[152  96] ; [61 69],[139.74603175 108.25396825] ; [73.25396825 56.74603175],0
p8,1,0.008637,6.896421,[156  92] ; [63 66],[144.06366048 103.93633952] ; [74.93633952 54.06366048],0
b5,1,0.009141,6.795039,[165  91] ; [67 65],[153.07216495 102.92783505] ; [78.92783505 53.07216495],0
p3,1,0.017946,5.601383,[157  94] ; [66 66],[146.14360313 104.85639687] ; [76.85639687 55.14360313],0
a8,1,0.031286,4.637184,[ 40 181] ; [ 11 107],[ 33.24778761 187.75221239] ; [ 17.75221239 100.24778761],0
p11,1,0.036019,4.39621,[213  43] ; [98 34],[205.19587629  50.80412371] ; [105.80412371  26.19587629],0
s7,1,0.060729,3.517356,[147  97] ; [62 62],[138.57608696 105.42391304] ; [70.42391304 53.57608696],0
p4,1,0.076893,3.129374,[174  77] ; [79 52],[166.2382199  84.7617801] ; [86.7617801 44.2382199],0
n6,1,0.086976,2.929471,[222  30] ; [107  24],[216.46997389  35.53002611] ; [112.53002611  18.46997389],0
d1,1,0.08958,2.881897,[188  68] ; [86 46],[180.78350515  75.21649485] ; [93.21649485 38.78350515],0
a3,1,0.0945,2.795995,[213  42] ; [101  31],[206.89922481  48.10077519] ; [107.10077519  24.89922481],0
u3,1,0.099516,2.713283,[29 14] ; [15 16],[25.56756757 17.43243243] ; [18.43243243 12.56756757],0
