Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.001823,9.720001,[100  42] ; [24 28],[90.7628866 51.2371134] ; [33.2371134 18.7628866],0
s2,1,0.009478,6.730535,[117  27] ; [33 19],[110.20408163  33.79591837] ; [39.79591837 12.20408163],0
n5,1,0.013237,6.137183,[126  18] ; [37 14],[120.36923077  23.63076923] ; [42.63076923  8.36923077],0
n6,1,0.027603,4.852717,[135   8] ; [44  8],[131.26666667  11.73333333] ; [47.73333333  4.26666667],0
p9,1,0.040443,4.199209,[136   7] ; [45  7],[132.73333333  10.26666667] ; [48.26666667  3.73333333],0
b5,1,0.040543,4.195023,[90 54] ; [24 28],[83.75510204 60.24489796] ; [30.24489796 21.75510204],0
s6,1,0.056132,3.648148,[122  19] ; [39 13],[117.62176166  23.37823834] ; [43.37823834  8.62176166],0
s3,1,0.063651,3.439597,[109  34] ; [32 19],[103.93298969  39.06701031] ; [37.06701031 13.93298969],0
d5,1,0.069691,3.290289,[123  20] ; [39 13],[118.8  24.2] ; [43.2  8.8],0
r2,1,0.089539,2.882637,[140   2] ; [49  3],[138.34020619   3.65979381] ; [50.65979381  1.34020619],0
v2,1,0.124285,2.362474,[91 51] ; [27 25],[86.37113402 55.62886598] ; [31.62886598 20.37113402],0
a5,1,0.138769,2.191553,[119  25] ; [38 14],[115.34693878  28.65306122] ; [41.65306122 10.34693878],0
u1,1,0.139064,2.188288,[ 43 101] ; [10 42],[ 38.93877551 105.06122449] ; [14.06122449 37.93877551],0
a7,1,0.168976,1.892006,[96 48] ; [40 12],[99.91836735 44.08163265] ; [36.08163265 15.91836735],0
d1,1,0.196905,1.66518,[100  44] ; [31 21],[96.24489796 47.75510204] ; [34.75510204 17.24489796],0
a8,1,0.228091,1.452726,[ 24 108] ; [ 5 42],[ 21.38547486 110.61452514] ; [ 7.61452514 39.38547486],0
p12,1,0.254668,1.29751,[ 23 120] ; [ 5 47],[ 20.53333333 122.46666667] ; [ 7.46666667 44.53333333],0
p5,1,0.258263,1.278044,[ 36 108] ; [ 9 43],[ 33.06122449 110.93877551] ; [11.93877551 40.06122449],0
p8,1,0.281181,1.161374,[99 43] ; [32 20],[95.88659794 46.11340206] ; [35.11340206 16.88659794],0
v3,1,0.299276,1.077417,[70 71] ; [21 30],[66.828125 74.171875] ; [24.171875 26.828125],0
n2,1,0.337276,0.920759,[19  9] ; [13  3],[20.36363636  7.63636364] ; [11.63636364  4.36363636],0
u4,1,0.358728,0.842341,[  7 137] ; [ 1 51],[  5.87755102 138.12244898] ; [ 2.12244898 49.87755102],0
p11,1,0.398519,0.71279,[116  28] ; [39 13],[113.87755102  30.12244898] ; [41.12244898 10.87755102],0
d4,1,0.398696,0.712256,[125  18] ; [43  9],[123.2  19.8] ; [44.8  7.2],0
s5,1,0.400744,0.706092,[75 59] ; [24 25],[72.49180328 61.50819672] ; [26.50819672 22.49180328],0
u2,1,0.405521,0.691893,[20  6] ; [7 4],[18.97297297  7.02702703] ; [8.02702703 2.97297297],0
s1,1,0.447061,0.578093,[  7 137] ; [ 4 48],[  8.08163265 135.91836735] ; [ 2.91836735 49.08163265],0
d3,1,0.454904,0.558405,[106  38] ; [41 11],[108.  36.] ; [39. 13.],0
v4,1,0.489526,0.477567,[141   3] ; [50  2],[140.32653061   3.67346939] ; [50.67346939  1.32653061],0
a2,1,0.503572,0.4474,[ 40 104] ; [17 35],[ 41.87755102 102.12244898] ; [15.12244898 36.87755102],0
n4,1,0.507234,0.439768,[127  17] ; [44  8],[125.63265306  18.36734694] ; [45.36734694  6.63265306],0
p10,1,0.518381,0.417112,[126  17] ; [44  8],[124.66666667  18.33333333] ; [45.33333333  6.66666667],0
r4,1,0.534601,0.385639,[134  10] ; [47  5],[132.97959184  11.02040816] ; [48.02040816  3.97959184],0
p3,1,0.559861,0.339944,[99 45] ; [38 14],[100.65306122  43.34693878] ; [36.34693878 15.65306122],0
u3,1,0.587042,0.294987,[21  5] ; [8 3],[20.37837838  5.62162162] ; [8.62162162 2.37837838],0
b2,1,0.598667,0.277012,[52 53] ; [16 20],[50.63829787 54.36170213] ; [17.36170213 18.63829787],0
b3,1,0.598667,0.277012,[52 53] ; [16 20],[50.63829787 54.36170213] ; [17.36170213 18.63829787],0
r3,1,0.63604,0.223959,[138   6] ; [49  3],[137.3877551   6.6122449] ; [49.6122449  2.3877551],0
n1,1,0.647141,0.209524,[16 12] ; [8 8],[15.27272727 12.72727273] ; [8.72727273 7.27272727],0
b4,1,0.648028,0.208395,[75 69] ; [29 23],[76.40816327 67.59183673] ; [27.59183673 24.40816327],0
p1,1,0.653556,0.201446,[ 23 120] ; [ 7 45],[ 22. 121.] ; [ 8. 44.],0
r1,1,0.662843,0.190089,[118  26] ; [44  8],[119.02040816  24.97959184] ; [42.97959184  9.02040816],0
p7,1,0.662863,0.190065,[118  23] ; [44  7],[118.96875  22.03125] ; [43.03125  7.96875],0
s4,1,0.670129,0.181452,[ 34 108] ; [14 38],[ 35.13402062 106.86597938] ; [12.86597938 39.13402062],0
d2,1,0.683056,0.166706,[85 59] ; [29 23],[83.75510204 60.24489796] ; [30.24489796 21.75510204],0
a3,1,0.7347,0.11484,[118  25] ; [41 10],[117.20103093  25.79896907] ; [41.79896907  9.20103093],0
p4,1,0.817915,0.053005,[117  27] ; [43  9],[117.55102041  26.44897959] ; [42.44897959  9.55102041],0
p2,1,0.822618,0.050256,[129  15] ; [46  6],[128.57142857  15.42857143] ; [46.42857143  5.57142857],0
a4,1,0.847849,0.036812,[77 67] ; [27 25],[76.40816327 67.59183673] ; [27.59183673 24.40816327],0
n3,1,0.851399,0.035094,[20  8] ; [11  5],[19.72727273  8.27272727] ; [11.27272727  4.72727273],0
a1,1,0.884942,0.02094,[ 12 132] ; [ 4 48],[ 11.75510204 132.24489796] ; [ 4.24489796 47.75510204],0
b1,1,0.941093,0.005461,[59 85] ; [21 31],[58.7755102 85.2244898] ; [21.2244898 30.7755102],0
a6,1,0.963863,0.002053,[93 50] ; [34 18],[93.13333333 49.86666667] ; [33.86666667 18.13333333],0
