Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.000734,11.4,[24  3] ; [14 16],[18.  9.] ; [20. 10.],1
u3,1,0.013255,6.134785,[10  1] ; [5 7],[7.17391304 3.82608696] ; [7.82608696 4.17391304],0
p10,1,0.015993,5.803636,[21  6] ; [14 16],[16.57894737 10.42105263] ; [18.42105263 11.57894737],0
n6,1,0.038458,4.284663,[24  3] ; [19 10],[20.73214286  6.26785714] ; [22.26785714  6.73214286],0
s8,1,0.051033,3.807197,[15 12] ; [ 9 21],[11.36842105 15.63157895] ; [12.63157895 17.36842105],0
s7,1,0.098618,2.72775,[12 13] ; [ 7 20],[ 9.13461538 15.86538462] ; [ 9.86538462 17.13461538],0
s2,1,0.098909,2.723051,[17  9] ; [13 17],[13.92857143 12.07142857] ; [16.07142857 13.92857143],0
s1,1,0.121867,2.393162,[ 1 25] ; [ 5 25],[ 2.78571429 23.21428571] ; [ 3.21428571 26.78571429],0
b1,1,0.128668,2.3085,[ 9 18] ; [16 14],[11.84210526 15.15789474] ; [13.15789474 16.84210526],0
p6,1,0.129056,2.303818,[12 14] ; [ 8 22],[ 9.28571429 16.71428571] ; [10.71428571 19.28571429],0
b2,1,0.162725,1.948718,[ 8 11] ; [ 4 15],[ 6. 13.] ; [ 6. 13.],0
b3,1,0.162725,1.948718,[ 8 11] ; [ 4 15],[ 6. 13.] ; [ 6. 13.],0
p11,1,0.169136,1.890586,[20  7] ; [17 13],[17.52631579  9.47368421] ; [19.47368421 10.52631579],0
b5,1,0.217429,1.521257,[17 10] ; [14 16],[14.68421053 12.31578947] ; [16.31578947 13.68421053],0
d3,1,0.217429,1.521257,[17 10] ; [14 16],[14.68421053 12.31578947] ; [16.31578947 13.68421053],0
a8,1,0.23151,1.431559,[ 3 22] ; [ 1 28],[ 1.85185185 23.14814815] ; [ 2.14814815 26.85185185],0
p7,1,0.283818,1.148718,[15 11] ; [13 17],[13. 13.] ; [15. 15.],0
v4,1,0.287572,1.130952,[25  2] ; [25  5],[23.68421053  3.31578947] ; [26.31578947  3.68421053],0
s3,1,0.356727,0.849384,[15 12] ; [13 17],[13.26315789 13.73684211] ; [14.73684211 15.26315789],0
s5,1,0.421725,0.645502,[10 14] ; [ 9 20],[ 8.60377358 15.39622642] ; [10.39622642 18.60377358],0
s6,1,0.436197,0.606268,[19  7] ; [19 11],[17.64285714  8.35714286] ; [20.35714286  9.64285714],0
n5,1,0.438727,0.59961,[18  9] ; [17 13],[16.57894737 10.42105263] ; [18.42105263 11.57894737],0
p8,1,0.440109,0.595998,[13 14] ; [11 18],[11.57142857 15.42857143] ; [12.42857143 16.57142857],0
d1,1,0.483433,0.491108,[16 11] ; [15 15],[14.68421053 12.31578947] ; [16.31578947 13.68421053],0
d2,1,0.502686,0.449261,[12 15] ; [16 14],[13.26315789 13.73684211] ; [14.73684211 15.26315789],0
