Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.4e-05,17.806011,[65 17] ; [19 26],[54.23622047 27.76377953] ; [29.76377953 15.23622047],1
p11,1,0.000802,11.235674,[51 31] ; [14 31],[41.96850394 40.03149606] ; [23.03149606 21.96850394],1
v4,1,0.001286,10.36182,[70 12] ; [27 18],[62.62992126 19.37007874] ; [34.37007874 10.62992126],0
r3,1,0.00296,8.832203,[70 12] ; [28 17],[63.27559055 18.72440945] ; [34.72440945 10.27559055],0
s6,1,0.003059,8.771937,[42 38] ; [11 33],[34.19354839 45.80645161] ; [18.80645161 25.19354839],0
p3,1,0.00656,7.389579,[30 52] ; [ 6 38],[23.42857143 58.57142857] ; [12.57142857 31.42857143],0
n5,1,0.008272,6.973594,[57 25] ; [20 24],[50.11111111 31.88888889] ; [26.88888889 17.11111111],0
n4,1,0.013119,6.152983,[55 27] ; [20 25],[48.42519685 33.57480315] ; [26.57480315 18.42519685],0
u1,1,0.018969,5.50436,[13 69] ; [ 1 44],[ 9.03937008 72.96062992] ; [ 4.96062992 40.03937008],0
p10,1,0.019363,5.468389,[48 33] ; [16 27],[41.80645161 39.19354839] ; [22.19354839 20.80645161],0
r2,1,0.019465,5.459242,[70 10] ; [31 13],[65.16129032 14.83870968] ; [35.83870968  8.16129032],0
p9,1,0.02016,5.39801,[48 30] ; [17 26],[41.90082645 36.09917355] ; [23.09917355 19.90082645],0
s5,1,0.02064,5.356933,[22 56] ; [ 4 37],[17.04201681 60.95798319] ; [ 8.95798319 32.04201681],0
s4,1,0.035401,4.425739,[22 59] ; [ 5 40],[17.35714286 63.64285714] ; [ 9.64285714 35.35714286],0
s8,1,0.042997,4.095536,[26 55] ; [ 7 38],[21.21428571 59.78571429] ; [11.78571429 33.21428571],0
n2,1,0.047434,3.929915,[24  6] ; [15 12],[20.52631579  9.47368421] ; [18.47368421  8.52631579],0
s7,1,0.056127,3.648295,[26 53] ; [ 7 35],[21.54545455 57.45454545] ; [11.45454545 30.54545455],0
p4,1,0.058618,3.576053,[28 54] ; [ 8 36],[23.42857143 58.57142857] ; [12.57142857 31.42857143],0
v2,1,0.087024,2.928571,[36 45] ; [12 30],[31.6097561 49.3902439] ; [16.3902439 25.6097561],0
a1,1,0.090609,2.863523,[ 4 78] ; [ 6 39],[ 6.45669291 75.54330709] ; [ 3.54330709 41.45669291],0
n3,1,0.152964,2.04244,[21  8] ; [14 12],[18.45454545 10.54545455] ; [16.54545455  9.45454545],0
u2,1,0.190106,1.716798,[12 23] ; [10  9],[14.25925926 20.74074074] ; [ 7.74074074 11.25925926],0
p8,1,0.211807,1.559035,[21 61] ; [ 7 37],[18.22222222 63.77777778] ; [ 9.77777778 34.22222222],0
a5,1,0.225667,1.467967,[51 31] ; [23 22],[47.77952756 34.22047244] ; [26.22047244 18.77952756],0
b5,1,0.267641,1.228795,[52 30] ; [24 21],[49.07086614 32.92913386] ; [26.92913386 18.07086614],0
a4,1,0.293216,1.104798,[38 42] ; [17 28],[35.2 44.8] ; [19.8 25.2],0
b4,1,0.295761,1.093212,[48 34] ; [22 23],[45.19685039 36.80314961] ; [24.80314961 20.19685039],0
r1,1,0.331342,0.943644,[51 31] ; [24 21],[48.42519685 33.57480315] ; [26.57480315 18.42519685],0
v1,1,0.337707,0.919118,[28 52] ; [12 33],[25.6 54.4] ; [14.4 30.6],0
b1,1,0.40104,0.705205,[41 41] ; [26 19],[43.25984252 38.74015748] ; [23.74015748 21.25984252],0
p6,1,0.421057,0.647363,[16 65] ; [ 6 37],[14.37096774 66.62903226] ; [ 7.62903226 35.37096774],0
a8,1,0.434375,0.611097,[ 7 72] ; [ 6 39],[ 8.28225806 70.71774194] ; [ 4.71774194 40.28225806],0
p7,1,0.446574,0.579333,[29 53] ; [12 30],[27.11290323 54.88709677] ; [13.88709677 28.11290323],0
d5,1,0.489281,0.478108,[56 26] ; [28 17],[54.23622047 27.76377953] ; [29.76377953 15.23622047],0
s2,1,0.50376,0.447007,[30 51] ; [14 31],[28.28571429 52.71428571] ; [15.71428571 29.28571429],0
d4,1,0.506897,0.440467,[61 21] ; [31 14],[59.4015748 22.5984252] ; [32.5984252 12.4015748],0
s1,1,0.533969,0.386833,[ 5 77] ; [ 4 40],[ 5.85714286 76.14285714] ; [ 3.14285714 40.85714286],0
u3,1,0.563059,0.334435,[16 20] ; [10  9],[17.01818182 18.98181818] ; [ 8.98181818 10.01818182],0
d2,1,0.579776,0.306597,[35 45] ; [22 23],[36.48 43.52] ; [20.52 24.48],0
d1,1,0.639669,0.219175,[40 42] ; [20 25],[38.74015748 43.25984252] ; [21.25984252 23.74015748],0
a7,1,0.66538,0.187053,[47 35] ; [24 21],[45.84251969 36.15748031] ; [25.15748031 19.84251969],0
b2,1,0.692364,0.156538,[19 33] ; [10 21],[18.1686747 33.8313253] ; [10.8313253 20.1686747],0
b3,1,0.692364,0.156538,[19 33] ; [10 21],[18.1686747 33.8313253] ; [10.8313253 20.1686747],0
s3,1,0.707628,0.140658,[34 47] ; [20 24],[34.992 46.008] ; [19.008 24.992],0
p1,1,0.753085,0.098957,[ 6 76] ; [ 4 41],[ 6.45669291 75.54330709] ; [ 3.54330709 41.45669291],0
a6,1,0.783282,0.07565,[44 38] ; [23 22],[43.25984252 38.74015748] ; [23.74015748 21.25984252],0
d3,1,0.801612,0.063133,[40 42] ; [23 22],[40.67716535 41.32283465] ; [22.32283465 22.67716535],0
n1,1,0.803387,0.061984,[14 16] ; [13 13],[14.46428571 15.53571429] ; [12.53571429 13.46428571],0
a3,1,0.803673,0.0618,[46 35] ; [26 18],[46.656 34.344] ; [25.344 18.656],0
p5,1,0.937184,0.006211,[ 2 78] ; [ 1 43],[ 1.93548387 78.06451613] ; [ 1.06451613 42.93548387],0
u4,1,0.938664,0.005921,[ 2 80] ; [ 1 44],[ 1.93700787 80.06299213] ; [ 1.06299213 43.93700787],0
a2,1,0.964814,0.001946,[13 69] ; [ 7 38],[12.91338583 69.08661417] ; [ 7.08661417 37.91338583],0
