Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,25.763255,[180  72] ; [76 87],[155.45060241  96.54939759] ; [100.54939759  62.45060241],1
v3,1,1e-06,23.369511,[139 112] ; [ 50 111],[115.14320388 135.85679612] ; [73.85679612 87.14320388],1
n5,1,0.000102,15.103859,[219  37] ; [116  50],[203.22274882  52.77725118] ; [131.77725118  34.22274882],1
d5,1,0.002006,9.544033,[226  31] ; [127  39],[214.47044917  42.52955083] ; [138.52955083  27.47044917],0
s8,1,0.004101,8.238563,[146 110] ; [70 94],[131.65714286 124.34285714] ; [84.34285714 79.65714286],0
b5,1,0.006463,7.416415,[162  96] ; [82 84],[148.47169811 109.52830189] ; [95.52830189 70.47169811],0
p10,1,0.006484,7.410489,[229  28] ; [132  34],[219.33096927  37.66903073] ; [141.66903073  24.33096927],0
n1,1,0.008375,6.951498,[19 12] ; [12 28],[13.53521127 17.46478873] ; [17.46478873 22.53521127],0
p9,1,0.009097,6.803699,[235  22] ; [137  28],[226.54976303  30.45023697] ; [145.45023697  19.54976303],0
p2,1,0.009162,6.790953,[234  23] ; [137  29],[225.40661939  31.59338061] ; [145.59338061  20.40661939],0
d1,1,0.019389,5.466062,[175  83] ; [94 72],[163.68396226  94.31603774] ; [105.31603774  60.68396226],0
n2,1,0.047092,3.942105,[26  5] ; [25 15],[22.26760563  8.73239437] ; [28.73239437 11.26760563],0
a8,1,0.049874,3.845674,[ 35 194] ; [ 13 140],[ 28.77486911 200.22513089] ; [ 19.22513089 133.77486911],0
n4,1,0.052699,3.753436,[220  37] ; [130  36],[212.64775414  44.35224586] ; [137.35224586  28.64775414],0
d4,1,0.062112,3.480078,[222  35] ; [132  34],[215.07801418  41.92198582] ; [138.92198582  27.07801418],0
d3,1,0.07214,3.233643,[189  69] ; [108  58],[180.72169811  77.27830189] ; [116.27830189  49.72169811],0
u4,1,0.081502,3.034695,[  8 250] ; [  1 165],[  5.47641509 252.52358491] ; [  3.52358491 162.47641509],0
r3,1,0.084795,2.97051,[251   7] ; [154  10],[247.60663507  10.39336493] ; [157.39336493   6.60663507],0
u3,1,0.09258,2.828936,[39 18] ; [24 22],[34.86407767 22.13592233] ; [28.13592233 17.86407767],0
n6,1,0.106795,2.60102,[228  28] ; [138  27],[222.55581948  33.44418052] ; [143.44418052  21.55581948],0
b2,1,0.108712,2.57285,[74 96] ; [34 67],[ 67.74907749 102.25092251] ; [40.25092251 60.74907749],0
b3,1,0.108712,2.57285,[74 96] ; [34 67],[ 67.74907749 102.25092251] ; [40.25092251 60.74907749],0
p12,1,0.109642,2.559379,[ 31 225] ; [ 12 153],[ 26.14726841 229.85273159] ; [ 16.85273159 148.14726841],0
a7,1,0.111731,2.529558,[196  61] ; [115  51],[188.95271868  68.04728132] ; [122.04728132  43.95271868],0
a5,1,0.132586,2.261957,[210  48] ; [125  41],[203.84433962  54.15566038] ; [131.15566038  34.84433962],0
a3,1,0.143086,2.144459,[201  55] ; [120  46],[194.72985782  61.27014218] ; [126.27014218  39.72985782],0
p11,1,0.180787,1.791143,[214  44] ; [129  37],[208.71226415  49.28773585] ; [134.28773585  31.71226415],0
s2,1,0.187516,1.73703,[145 110] ; [83 82],[138.42857143 116.57142857] ; [89.57142857 75.42857143],0
s4,1,0.188177,1.731835,[ 41 213] ; [ 35 130],[ 46.07159905 207.92840095] ; [ 29.92840095 135.07159905],0
r4,1,0.188244,1.731304,[247  11] ; [154  12],[244.00471698  13.99528302] ; [156.99528302   9.00471698],0
p7,1,0.191794,1.703784,[200  55] ; [121  45],[194.42992874  60.57007126] ; [126.57007126  39.42992874],0
a2,1,0.226812,1.460741,[ 76 182] ; [ 40 126],[ 70.58490566 187.41509434] ; [ 45.41509434 120.58490566],0
s7,1,0.228575,1.449706,[145  98] ; [83 72],[139.20603015 103.79396985] ; [88.79396985 66.20603015],0
v4,1,0.246757,1.341569,[251   7] ; [157   8],[248.85106383   9.14893617] ; [159.14893617   5.85106383],0
p1,1,0.262223,1.256982,[ 29 227] ; [ 25 141],[ 32.75829384 223.24170616] ; [ 21.24170616 144.75829384],0
p6,1,0.286128,1.137752,[128 124] ; [75 90],[122.67625899 129.32374101] ; [80.32374101 84.67625899],0
s6,1,0.294848,1.097354,[186  67] ; [110  50],[181.32687651  71.67312349] ; [114.67312349  45.32687651],0
p4,1,0.309948,1.030896,[208  50] ; [127  39],[203.84433962  54.15566038] ; [131.15566038  34.84433962],0
a4,1,0.313607,1.015422,[129 128] ; [75 91],[123.94326241 133.05673759] ; [80.05673759 85.94326241],0
s5,1,0.34947,0.87538,[106 141] ; [60 97],[101.49009901 145.50990099] ; [64.50990099 92.49009901],0
a6,1,0.389958,0.739074,[182  75] ; [111  55],[178.01654846  78.98345154] ; [114.98345154  51.01654846],0
s1,1,0.40616,0.690013,[  7 249] ; [  7 159],[  8.492891 247.507109] ; [  5.507109 160.492891],0
