Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,25.823973,[19 74] ; [109 102],[39.15789474 53.84210526] ; [ 88.84210526 122.15789474],1
a3,1,2e-06,23.135971,[48 45] ; [165  44],[65.59271523 27.40728477] ; [147.40728477  61.59271523],1
n4,1,8e-06,19.993278,[49 45] ; [163  47],[65.55263158 28.44736842] ; [146.44736842  63.55263158],1
d2,1,8e-06,19.948742,[21 72] ; [105 105],[38.67326733 54.32673267] ; [ 87.32673267 122.67326733],1
d5,1,0.000149,14.390543,[58 36] ; [172  38],[71.11842105 22.88157895] ; [158.88157895  51.11842105],1
a6,1,0.000155,14.311274,[49 45] ; [155  54],[63.28712871 30.71287129] ; [140.71287129  68.28712871],1
d1,1,0.000265,13.30022,[34 60] ; [124  87],[48.69508197 45.30491803] ; [109.30491803 101.69508197],1
u1,1,0.001288,10.360321,[ 4 90] ; [ 38 173],[12.9442623 81.0557377] ; [ 29.0557377 181.9442623],0
p3,1,0.003624,8.462999,[11 83] ; [ 56 154],[20.71710526 73.28289474] ; [ 46.28289474 163.71710526],0
s7,1,0.01851,5.547213,[27 62] ; [ 91 111],[36.08934708 52.91065292] ; [ 81.91065292 120.08934708],0
p9,1,0.019239,5.479673,[59 32] ; [161  46],[67.18120805 23.81879195] ; [152.81879195  54.18120805],0
d3,1,0.030778,4.665306,[50 44] ; [139  71],[58.44078947 35.55921053] ; [130.55921053  79.44078947],0
v3,1,0.031903,4.603727,[23 68] ; [ 77 125],[31.05802048 59.94197952] ; [ 68.94197952 133.05802048],0
n6,1,0.034619,4.463883,[64 30] ; [165  43],[71.2781457 22.7218543] ; [157.7218543  50.2781457],0
p10,1,0.04062,4.1918,[57 35] ; [154  55],[64.49169435 27.50830565] ; [146.50830565  62.49169435],0
s8,1,0.055288,3.673387,[27 67] ; [ 84 125],[34.43564356 59.56435644] ; [ 76.56435644 132.43564356],0
n5,1,0.055531,3.666064,[53 41] ; [141  67],[60.38410596 33.61589404] ; [133.61589404  74.38410596],0
v4,1,0.055678,3.661673,[83 10] ; [198  10],[86.82059801  6.17940199] ; [194.17940199  13.82059801],0
r4,1,0.060523,3.522995,[81 13] ; [196  15],[85.3704918  8.6295082] ; [191.6295082  19.3704918],0
p2,1,0.094034,2.803928,[61 33] ; [156  54],[67.09868421 26.90131579] ; [149.90131579  60.09868421],0
v1,1,0.096129,2.768613,[36 56] ; [103 105],[42.62666667 49.37333333] ; [ 96.37333333 111.62666667],0
