Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,64.151208,[196  93] ; [24 82],[160.96202532 128.03797468] ; [59.03797468 46.96202532],1
s3,1,0.0,48.96975,[196  90] ; [31 75],[165.61734694 120.38265306] ; [61.38265306 44.61734694],1
s5,1,0.0,32.309674,[126 159] ; [14 92],[102.04603581 182.95396419] ; [37.95396419 68.04603581],1
s8,1,0.0,30.399063,[162 127] ; [27 81],[137.58438287 151.41561713] ; [51.41561713 56.58438287],1
s7,1,0.0,27.833341,[169 104] ; [32 70],[146.328 126.672] ; [54.672 47.328],1
s4,1,0.000201,13.819694,[ 61 225] ; [  6 102],[ 48.63451777 237.36548223] ; [18.36548223 89.63451777],1
r3,1,0.00146,10.128444,[285   5] ; [99  9],[279.79899497  10.20100503] ; [104.20100503   3.79899497],0
d4,1,0.002947,8.84007,[258  33] ; [83 25],[248.69924812  42.30075188] ; [92.30075188 15.69924812],0
r4,1,0.005245,7.793013,[280  11] ; [96 12],[274.22556391  16.77443609] ; [101.77443609   6.22556391],0
p9,1,0.010715,6.51193,[260  29] ; [86 21],[252.51010101  36.48989899] ; [93.48989899 13.51010101],0
u1,1,0.010966,6.470837,[ 85 206] ; [18 90],[ 75.12030075 215.87969925] ; [27.87969925 80.12030075],0
p5,1,0.029501,4.73814,[ 50 239] ; [ 9 97],[ 43.16708861 245.83291139] ; [15.83291139 90.16708861],0
d5,1,0.034347,4.477345,[256  35] ; [86 22],[249.42857143  41.57142857] ; [92.57142857 15.42857143],0
r1,1,0.035502,4.420865,[252  37] ; [85 23],[245.32241814  43.67758186] ; [91.67758186 16.32241814],0
d2,1,0.044677,4.030788,[159 131] ; [47 61],[150.10050251 139.89949749] ; [55.89949749 52.10050251],0
p10,1,0.046011,3.981194,[254  34] ; [86 21],[247.89873418  40.10126582] ; [92.10126582 14.89873418],0
d1,1,0.047635,3.922824,[203  88] ; [64 44],[194.72932331  96.27067669] ; [72.27067669 35.72932331],0
u2,1,0.060637,3.519864,[49 24] ; [18 19],[44.46363636 28.53636364] ; [22.53636364 14.46363636],0
n5,1,0.074955,3.171034,[235  54] ; [79 29],[228.57934509  60.42065491] ; [85.42065491 22.57934509],0
r2,1,0.088398,2.903304,[279  10] ; [99  8],[275.86363636  13.13636364] ; [102.13636364   4.86363636],0
p12,1,0.091857,2.841519,[ 36 255] ; [  7 101],[ 31.36090226 259.63909774] ; [11.63909774 96.36090226],0
a3,1,0.104196,2.640111,[217  74] ; [71 36],[210.57286432  80.42713568] ; [77.42713568 29.57286432],0
b4,1,0.109079,2.567511,[182 109] ; [58 50],[175.03759398 115.96240602] ; [64.96240602 43.03759398],0
b3,1,0.125893,2.342433,[ 61 119] ; [31 39],[ 66.24 113.76] ; [25.76 44.24],0
b2,1,0.125893,2.342433,[ 61 119] ; [31 39],[ 66.24 113.76] ; [25.76 44.24],0
a1,1,0.144653,2.127746,[ 19 272] ; [  3 105],[ 16.04511278 274.95488722] ; [  5.95488722 102.04511278],0
u3,1,0.155553,2.016938,[50 21] ; [21 16],[46.67592593 24.32407407] ; [24.32407407 12.67592593],0
p6,1,0.17245,1.861518,[148 141] ; [47 61],[141.95214106 147.04785894] ; [53.04785894 54.95214106],0
b1,1,0.213591,1.54692,[ 99 192] ; [44 64],[104.29323308 186.70676692] ; [38.70676692 69.29323308],0
a2,1,0.215894,1.531458,[ 97 194] ; [29 79],[ 91.89473684 199.10526316] ; [34.10526316 73.89473684],0
u4,1,0.218596,1.513564,[  9 282] ; [  1 107],[  7.29323308 283.70676692] ; [  2.70676692 105.29323308],0
b5,1,0.238657,1.38851,[191 100] ; [64 44],[185.97744361 105.02255639] ; [69.02255639 38.97744361],0
v2,1,0.26868,1.223473,[176 108] ; [58 46],[171.27835052 112.72164948] ; [62.72164948 41.27835052],0
n4,1,0.276226,1.185566,[237  53] ; [83 25],[233.16582915  56.83417085] ; [86.83417085 21.16582915],0
a5,1,0.306497,1.045711,[237  54] ; [83 25],[233.38345865  57.61654135] ; [86.61654135 21.38345865],0
n6,1,0.363927,0.824296,[258  31] ; [92 15],[255.42929293  33.57070707] ; [94.57070707 12.42929293],0
v1,1,0.402927,0.699575,[174 110] ; [60 46],[170.4 113.6] ; [63.6 42.4],0
p11,1,0.425174,0.635969,[238  53] ; [92 16],[240.67669173  50.32330827] ; [89.32330827 18.67669173],0
d3,1,0.436293,0.606012,[239  52] ; [85 23],[236.30075188  54.69924812] ; [87.69924812 20.30075188],0
v4,1,0.481631,0.495167,[284   7] ; [104   4],[282.97744361   8.02255639] ; [105.02255639   2.97744361],0
a4,1,0.563765,0.333227,[141 149] ; [49 59],[138.44221106 151.55778894] ; [51.55778894 56.44221106],0
p7,1,0.578915,0.307991,[210  77] ; [76 32],[207.80253165  79.19746835] ; [78.19746835 29.80253165],0
p2,1,0.66917,0.182575,[267  23] ; [98 10],[265.95477387  24.04522613] ; [99.04522613  8.95477387],0
n1,1,0.699671,0.148815,[17 34] ; [ 8 13],[17.70833333 33.29166667] ; [ 7.29166667 13.70833333],0
p8,1,0.781375,0.077022,[181 108] ; [68 38],[182.17974684 106.82025316] ; [66.82025316 39.17974684],0
a8,1,0.78172,0.076772,[ 32 230] ; [12 78],[ 32.75 229.25] ; [11.25 78.75],0
n2,1,0.829936,0.046132,[37 14] ; [14  6],[36.63380282 14.36619718] ; [14.36619718  5.63380282],0
p1,1,0.83321,0.044347,[ 30 259] ; [12 96],[ 30.5743073 258.4256927] ; [11.4256927 96.5743073],0
a6,1,0.838628,0.041473,[229  62] ; [86 22],[229.73684211  61.26315789] ; [85.26315789 22.73684211],0
v3,1,0.855628,0.033103,[112 167] ; [42 60],[112.77165354 166.22834646] ; [41.22834646 60.77165354],0
n3,1,0.881004,0.022409,[38 13] ; [16  5],[38.25 12.75] ; [15.75  5.25],0
p3,1,0.938561,0.005941,[197  94] ; [72 35],[196.68090452  94.31909548] ; [72.31909548 34.68090452],0
s1,1,0.970094,0.001405,[ 11 277] ; [  4 103],[ 10.93670886 277.06329114] ; [  4.06329114 102.93670886],0
