Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.014218,6.010929,[7 9] ; [54 18],[11.09090909  4.90909091] ; [49.90909091 22.09090909],0
n4,1,0.034248,4.482257,[8 8] ; [55 17],[11.45454545  4.54545455] ; [51.54545455 20.45454545],0
d4,1,0.061664,3.492063,[10  6] ; [60 12],[12.72727273  3.27272727] ; [57.27272727 14.72727273],0
s8,1,0.090422,2.866844,[ 3 13] ; [29 41],[ 5.95348837 10.04651163] ; [26.04651163 43.95348837],0
p10,1,0.093269,2.817029,[10  6] ; [58 13],[12.50574713  3.49425287] ; [55.49425287 15.50574713],0
n6,1,0.094827,2.790462,[11  5] ; [62 10],[13.27272727  2.72727273] ; [59.72727273 12.27272727],0
n5,1,0.101821,2.676794,[9 7] ; [55 17],[11.63636364  4.36363636] ; [52.36363636 19.63636364],0
s3,1,0.107165,2.59554,[ 4 10] ; [37 34],[6.75294118 7.24705882] ; [34.24705882 36.75294118],0
r3,1,0.137329,2.207639,[13  3] ; [67  5],[14.54545455  1.45454545] ; [65.45454545  6.54545455],0
p9,1,0.150138,2.070845,[12  4] ; [63  8],[13.79310345  2.20689655] ; [61.20689655  9.79310345],0
d5,1,0.168582,1.895506,[9 7] ; [53 19],[11.27272727  4.72727273] ; [50.72727273 21.27272727],0
d3,1,0.171436,1.870339,[8 8] ; [49 23],[10.36363636  5.63636364] ; [46.63636364 25.36363636],0
b2,1,0.177733,1.816483,[4 3] ; [13 29],[2.42857143 4.57142857] ; [14.57142857 27.42857143],0
b3,1,0.177733,1.816483,[4 3] ; [13 29],[2.42857143 4.57142857] ; [14.57142857 27.42857143],0
s1,1,0.192761,1.696386,[ 2 14] ; [ 3 69],[ 0.90909091 15.09090909] ; [ 4.09090909 67.90909091],0
p4,1,0.288159,1.128205,[7 9] ; [42 30],[8.90909091 7.09090909] ; [40.09090909 31.90909091],0
d1,1,0.288159,1.128205,[7 9] ; [42 30],[8.90909091 7.09090909] ; [40.09090909 31.90909091],0
p6,1,0.313176,1.017234,[ 5 11] ; [14 57],[ 3.49425287 12.50574713] ; [15.50574713 55.49425287],0
v4,1,0.318845,0.993677,[14  2] ; [68  4],[14.90909091  1.09090909] ; [67.09090909  4.90909091],0
s6,1,0.342924,0.899471,[7 8] ; [42 28],[8.64705882 6.35294118] ; [40.35294118 29.64705882],0
s7,1,0.347558,0.882353,[ 5 11] ; [30 38],[6.66666667 9.33333333] ; [28.33333333 39.66666667],0
r4,1,0.403318,0.698413,[13  3] ; [64  8],[14.  2.] ; [63.  9.],0
n1,1,0.407094,0.687273,[4 2] ; [7 8],[3.14285714 2.85714286] ; [7.85714286 7.14285714],0
n3,1,0.407094,0.687273,[4 2] ; [7 8],[3.14285714 2.85714286] ; [7.85714286 7.14285714],0
a2,1,0.43437,0.611111,[ 4 12] ; [12 60],[ 2.90909091 13.09090909] ; [13.09090909 58.90909091],0
b4,1,0.441264,0.592992,[11  5] ; [42 30],[9.63636364 6.36363636] ; [43.36363636 28.63636364],0
a4,1,0.443393,0.587486,[7 8] ; [26 46],[5.68965517 9.31034483] ; [27.31034483 44.68965517],0
r1,1,0.443495,0.587223,[11  5] ; [56 16],[12.18181818  3.81818182] ; [54.81818182 17.18181818],0
n2,1,0.445009,0.583333,[5 1] ; [10  5],[4.28571429 1.71428571] ; [10.71428571  4.28571429],0
