Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9.2e-05,15.303901,[29  7] ; [ 9 19],[21.375 14.625] ; [16.625 11.375],1
a6,1,0.001742,9.803435,[28  8] ; [11 17],[21.9375 14.0625] ; [17.0625 10.9375],0
u1,1,0.003327,8.618832,[12 24] ; [ 1 27],[ 7.3125 28.6875] ; [ 5.6875 22.3125],0
a2,1,0.003619,8.465608,[14 22] ; [ 2 26],[ 9. 27.] ; [ 7. 21.],0
d1,1,0.004201,8.194709,[28  8] ; [12 16],[22.5 13.5] ; [17.5 10.5],0
d4,1,0.006915,7.29498,[33  3] ; [18 10],[28.6875  7.3125] ; [22.3125  5.6875],0
n5,1,0.008301,6.967369,[32  4] ; [17 11],[27.5625  8.4375] ; [21.4375  6.5625],0
n6,1,0.011881,6.328513,[34  2] ; [20  8],[30.375  5.625] ; [23.625  4.375],0
d5,1,0.033262,4.532222,[33  3] ; [20  8],[29.8125  6.1875] ; [23.1875  4.8125],0
b2,1,0.033772,4.506207,[ 6 23] ; [12 13],[ 9.66666667 19.33333333] ; [ 8.33333333 16.66666667],0
b3,1,0.033772,4.506207,[ 6 23] ; [12 13],[ 9.66666667 19.33333333] ; [ 8.33333333 16.66666667],0
b5,1,0.038661,4.275716,[27  9] ; [14 14],[23.0625 12.9375] ; [17.9375 10.0625],0
n1,1,0.103504,2.650699,[5 6] ; [8 2],[6.80952381 4.19047619] ; [6.19047619 3.80952381],0
n4,1,0.147084,2.102235,[30  6] ; [19  9],[27.5625  8.4375] ; [21.4375  6.5625],0
v2,1,0.150708,2.065068,[22 12] ; [12 14],[19.26666667 14.73333333] ; [14.73333333 11.26666667],0
b4,1,0.19319,1.693122,[25 11] ; [15 13],[22.5 13.5] ; [17.5 10.5],0
s7,1,0.196006,1.67189,[27  5] ; [19  8],[24.94915254  7.05084746] ; [21.05084746  5.94915254],0
v1,1,0.215674,1.532925,[16 18] ; [17 10],[18.39344262 15.60655738] ; [14.60655738 12.39344262],0
p10,1,0.220671,1.5,[30  6] ; [19  8],[28.  8.] ; [21.  6.],0
s4,1,0.244493,1.354497,[ 7 29] ; [ 9 19],[ 9. 27.] ; [ 7. 21.],0
b1,1,0.253098,1.306122,[18 18] ; [18 10],[20.25 15.75] ; [15.75 12.25],0
n2,1,0.268925,1.222222,[8 3] ; [10  1],[9. 2.] ; [9. 2.],0
p11,1,0.293344,1.10421,[24 12] ; [22  6],[25.875 10.125] ; [20.125  7.875],0
p9,1,0.38856,0.743444,[31  5] ; [21  6],[29.71428571  6.28571429] ; [22.28571429  4.71428571],0
n3,1,0.407094,0.687273,[7 4] ; [8 2],[7.85714286 3.14285714] ; [7.14285714 2.85714286],0
r2,1,0.41246,0.671697,[35  1] ; [26  2],[34.3125  1.6875] ; [26.6875  1.3125],0
a1,1,0.434967,0.609524,[ 3 33] ; [ 1 27],[ 2.25 33.75] ; [ 1.75 26.25],0
u4,1,0.434967,0.609524,[ 3 33] ; [ 1 27],[ 2.25 33.75] ; [ 1.75 26.25],0
s3,1,0.465715,0.532124,[25 11] ; [17 11],[23.625 12.375] ; [18.375  9.625],0
p6,1,0.496802,0.46176,[10 26] ; [10 18],[11.25 24.75] ; [ 8.75 19.25],0
a5,1,0.560624,0.338624,[28  8] ; [20  8],[27.  9.] ; [21.  7.],0
p5,1,0.602332,0.271493,[ 4 30] ; [ 2 24],[ 3.4 30.6] ; [ 2.6 23.4],0
s6,1,0.618741,0.247642,[31  5] ; [22  5],[30.28571429  5.71428571] ; [22.71428571  4.28571429],0
a4,1,0.658618,0.195207,[20 16] ; [14 14],[19.125 16.875] ; [14.875 13.125],0
s5,1,0.659671,0.193924,[15 19] ; [10 16],[14.16666667 19.83333333] ; [10.83333333 15.16666667],0
a3,1,0.683481,0.166234,[24 12] ; [20  8],[24.75 11.25] ; [19.25  8.75],0
r3,1,0.709496,0.13878,[34  2] ; [27  1],[34.3125  1.6875] ; [26.6875  1.3125],0
s2,1,0.740209,0.109943,[23 13] ; [19  9],[23.625 12.375] ; [18.375  9.625],0
p1,1,0.745805,0.10509,[ 3 33] ; [ 3 25],[ 3.375 32.625] ; [ 2.625 25.375],0
p7,1,0.746096,0.104841,[12 22] ; [11 17],[12.61290323 21.38709677] ; [10.38709677 17.61290323],0
p3,1,0.794679,0.067725,[13 23] ; [11 17],[13.5 22.5] ; [10.5 17.5],0
d2,1,0.794679,0.067725,[23 13] ; [17 11],[22.5 13.5] ; [17.5 10.5],0
v4,1,0.794679,0.067725,[34  2] ; [26  2],[33.75  2.25] ; [26.25  1.75],0
r1,1,0.84483,0.038306,[29  7] ; [22  6],[28.6875  7.3125] ; [22.3125  5.6875],0
r4,1,0.860257,0.030993,[33  3] ; [26  2],[33.1875  2.8125] ; [25.8125  2.1875],0
a8,1,0.863594,0.029516,[ 4 29] ; [ 3 25],[ 3.78688525 29.21311475] ; [ 3.21311475 24.78688525],0
v3,1,0.912165,0.012168,[14 18] ; [11 15],[13.79310345 18.20689655] ; [11.20689655 14.79310345],0
p4,1,0.923786,0.009152,[15 21] ; [12 16],[15.1875 20.8125] ; [11.8125 16.1875],0
p8,1,0.939268,0.005805,[ 8 28] ; [ 6 22],[ 7.875 28.125] ; [ 6.125 21.875],0
u2,1,1.0,0.0,[9 3] ; [6 2],[9. 3.] ; [6. 2.],0
p12,1,1.0,0.0,[ 4 32] ; [ 3 24],[ 4. 32.] ; [ 3. 24.],0
