Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.834078,[69 27] ; [ 2 14],[60.85714286 35.14285714] ; [10.14285714  5.85714286],1
v4,1,0.00119,10.50568,[87  8] ; [10  6],[83.01801802 11.98198198] ; [13.98198198  2.01801802],0
n2,1,0.005023,7.871,[26  6] ; [2 5],[22.97435897  9.02564103] ; [5.02564103 1.97435897],0
s8,1,0.006476,7.412802,[40 56] ; [ 1 15],[35.14285714 60.85714286] ; [ 5.85714286 10.14285714],0
r2,1,0.007778,7.083958,[78 14] ; [9 7],[74.11111111 17.88888889] ; [12.88888889  3.11111111],0
s7,1,0.016837,5.713272,[42 49] ; [ 2 13],[37.77358491 53.22641509] ; [6.22641509 8.77358491],0
p10,1,0.027234,4.875887,[72 22] ; [8 8],[68.36363636 25.63636364] ; [11.63636364  4.36363636],0
p9,1,0.035599,4.416219,[77 19] ; [9 7],[73.71428571 22.28571429] ; [12.28571429  3.71428571],0
s6,1,0.054954,3.683486,[58 34] ; [ 6 10],[54.51851852 37.48148148] ; [9.48148148 6.51851852],0
v2,1,0.058362,3.583336,[48 47] ; [ 4 12],[44.5045045 50.4954955] ; [7.4954955 8.5045045],0
v3,1,0.076563,3.136398,[33 62] ; [ 2 14],[29.95495495 65.04504505] ; [ 5.04504505 10.95495495],0
a7,1,0.092833,2.824554,[57 38] ; [ 6 10],[53.91891892 41.08108108] ; [9.08108108 6.91891892],0
d1,1,0.094264,2.8,[39 57] ; [ 3 13],[36. 60.] ; [ 6. 10.],0
d3,1,0.099792,2.70887,[56 38] ; [ 6 10],[52.98181818 41.01818182] ; [9.01818182 6.98181818],0
n6,1,0.103097,2.656968,[76 20] ; [9 6],[73.51351351 22.48648649] ; [11.48648649  3.51351351],0
d4,1,0.119158,2.428348,[67 29] ; [8 8],[64.28571429 31.71428571] ; [10.71428571  5.28571429],0
s3,1,0.142867,2.146802,[51 44] ; [ 5 10],[48.36363636 46.63636364] ; [7.63636364 7.36363636],0
s1,1,0.170515,1.878407,[ 4 92] ; [ 2 14],[ 5.14285714 90.85714286] ; [ 0.85714286 15.14285714],0
p2,1,0.18067,1.792104,[78 16] ; [11  5],[76.05454545 17.94545455] ; [12.94545455  3.05454545],0
n3,1,0.249479,1.326216,[25  7] ; [4 3],[23.79487179  8.20512821] ; [5.20512821 1.79487179],0
d5,1,0.25554,1.292758,[67 28] ; [9 7],[65.04504505 29.95495495] ; [10.95495495  5.04504505],0
p6,1,0.303649,1.0581,[41 50] ; [ 5 11],[39.12149533 51.87850467] ; [6.87850467 9.12149533],0
u2,1,0.324463,0.97087,[20 19] ; [5 2],[21.19565217 17.80434783] ; [3.80434783 3.19565217],0
p11,1,0.342913,0.899509,[71 25] ; [10  6],[69.42857143 26.57142857] ; [11.57142857  4.42857143],0
b1,1,0.352613,0.864031,[42 54] ; [9 7],[43.71428571 52.28571429] ; [7.28571429 8.71428571],0
a6,1,0.43297,0.614844,[58 38] ; [8 8],[56.57142857 39.42857143] ; [9.42857143 6.57142857],0
s5,1,0.51734,0.419194,[24 67] ; [ 3 13],[22.96261682 68.03738318] ; [ 4.03738318 11.96261682],0
s2,1,0.53474,0.385376,[44 52] ; [ 6 10],[42.85714286 53.14285714] ; [7.14285714 8.85714286],0
p3,1,0.555393,0.347744,[55 40] ; [8 8],[53.91891892 41.08108108] ; [9.08108108 6.91891892],0
u3,1,0.566082,0.329283,[16 24] ; [2 5],[15.31914894 24.68085106] ; [2.68085106 4.31914894],0
p4,1,0.58991,0.290485,[58 36] ; [11  5],[58.96363636 35.03636364] ; [10.03636364  5.96363636],0
p8,1,0.648446,0.207864,[56 38] ; [8 7],[55.19266055 38.80733945] ; [8.80733945 6.19266055],0
a8,1,0.74391,0.106719,[ 8 84] ; [ 1 15],[ 7.66666667 84.33333333] ; [ 1.33333333 14.66666667],0
p1,1,0.776558,0.080547,[ 8 88] ; [ 1 15],[ 7.71428571 88.28571429] ; [ 1.28571429 14.71428571],0
