Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,67.305172,[283  13] ; [23 18],[268.77151335  27.22848665] ; [37.22848665  3.77151335],1
p7,1,3e-05,17.404209,[214  73] ; [17 23],[202.74311927  84.25688073] ; [28.25688073 11.74311927],1
p11,1,0.000818,11.200905,[246  50] ; [25 16],[238.02967359  57.97032641] ; [32.97032641  8.02967359],1
p2,1,0.001234,10.438167,[258  37] ; [28 13],[251.10119048  43.89880952] ; [34.89880952  6.10119048],0
a3,1,0.002273,9.314904,[246  49] ; [26 15],[238.80952381  56.19047619] ; [33.19047619  7.80952381],0
a8,1,0.024601,5.051732,[ 45 227] ; [11 23],[ 49.77777778 222.22222222] ; [ 6.22222222 27.77777778],0
u3,1,0.037997,4.305162,[33 17] ; [14  1],[36.15384615 13.84615385] ; [10.84615385  4.15384615],0
s5,1,0.04203,4.133994,[137 148] ; [12 27],[131.06481481 153.93518519] ; [17.93518519 21.06481481],0
a5,1,0.055259,3.674259,[246  50] ; [29 12],[241.54302671  54.45697329] ; [33.45697329  7.54302671],0
n6,1,0.065798,3.384845,[265  30] ; [32  8],[261.53731343  33.46268657] ; [35.46268657  4.53731343],0
b4,1,0.081655,3.031648,[167 129] ; [29 12],[172.15430267 123.84569733] ; [23.84569733 17.15430267],0
b1,1,0.093013,2.821441,[118 178] ; [22 19],[122.96735905 173.03264095] ; [17.03264095 23.96735905],0
p4,1,0.094307,2.799273,[204  91] ; [23 18],[199.30059524  95.69940476] ; [27.69940476 13.30059524],0
n5,1,0.104676,2.63282,[245  50] ; [29 11],[241.28358209  53.71641791] ; [32.71641791  7.28358209],0
p3,1,0.120723,2.40791,[175 121] ; [19 22],[170.39762611 125.60237389] ; [23.60237389 17.39762611],0
p6,1,0.133302,2.253618,[137 157] ; [14 27],[132.51940299 161.48059701] ; [18.48059701 22.51940299],0
p8,1,0.136937,2.212043,[178 114] ; [20 21],[173.62162162 118.37837838] ; [24.37837838 16.62162162],0
n3,1,0.13845,2.195103,[41 16] ; [6 6],[38.82608696 18.17391304] ; [8.17391304 3.82608696],0
d1,1,0.154006,2.032113,[206  90] ; [24 17],[202.01780415  93.98219585] ; [27.98219585 13.01780415],0
v4,1,0.179667,1.80038,[291   5] ; [39  2],[289.85163205   6.14836795] ; [40.14836795  0.85163205],0
v2,1,0.188104,1.732403,[181 105] ; [21 19],[177.21472393 108.78527607] ; [24.78527607 15.21472393],0
n2,1,0.243873,1.358063,[44 13] ; [8 5],[42.34285714 14.65714286] ; [9.65714286 3.34285714],0
u2,1,0.248547,1.331453,[31 19] ; [11  3],[32.8125 17.1875] ; [9.1875 4.8125],0
s7,1,0.254338,1.29932,[221  62] ; [28 12],[218.16408669  64.83591331] ; [30.83591331  9.16408669],0
a2,1,0.265353,1.240615,[ 90 206] ; [ 9 32],[ 86.95548961 209.04451039] ; [12.04451039 28.95548961],0
a4,1,0.268858,1.222567,[150 146] ; [17 24],[146.68249258 149.31750742] ; [20.31750742 20.68249258],0
u4,1,0.278847,1.172699,[ 11 285] ; [ 3 38],[ 12.29673591 283.70326409] ; [ 1.70326409 39.29673591],0
v1,1,0.319831,0.989637,[184 103] ; [23 18],[181.125 105.875] ; [25.875 15.125],0
s3,1,0.353037,0.862512,[218  75] ; [27 13],[215.57057057  77.42942943] ; [29.42942943 10.57057057],0
p5,1,0.426166,0.633248,[ 50 242] ; [ 5 36],[ 48.22822823 243.77177177] ; [ 6.77177177 34.22822823],0
r3,1,0.441703,0.591854,[288   8] ; [39  2],[287.21661721   8.78338279] ; [39.78338279  1.21661721],0
d4,1,0.46024,0.54531,[257  38] ; [34  7],[255.49107143  39.50892857] ; [35.50892857  5.49107143],0
d3,1,0.529787,0.394801,[216  80] ; [28 13],[214.31454006  81.68545994] ; [29.68545994 11.31454006],0
b5,1,0.544278,0.367669,[173 123] ; [26 15],[174.78931751 121.21068249] ; [24.21068249 16.78931751],0
s1,1,0.546845,0.362999,[  9 283] ; [ 2 39],[  9.64564565 282.35435435] ; [ 1.35435435 39.64564565],0
s6,1,0.592324,0.28673,[253  41] ; [34  7],[251.87462687  42.12537313] ; [35.12537313  5.87462687],0
s2,1,0.607592,0.263696,[210  84] ; [27 13],[208.61676647  85.38323353] ; [28.38323353 11.61676647],0
a7,1,0.635242,0.225019,[212  83] ; [28 13],[210.71428571  84.28571429] ; [29.28571429 11.71428571],0
n4,1,0.706135,0.142169,[251  45] ; [33  7],[250.19047619  45.80952381] ; [33.80952381  6.19047619],0
b2,1,0.727582,0.121343,[ 90 107] ; [14 19],[ 89.07826087 107.92173913] ; [14.92173913 18.07826087],0
b3,1,0.727582,0.121343,[ 90 107] ; [14 19],[ 89.07826087 107.92173913] ; [14.92173913 18.07826087],0
d5,1,0.803312,0.062033,[256  39] ; [35  6],[255.49107143  39.50892857] ; [35.50892857  5.49107143],0
d2,1,0.820806,0.051306,[175 121] ; [25 16],[175.66765579 120.33234421] ; [24.33234421 16.66765579],0
u1,1,0.823851,0.049548,[ 77 219] ; [10 31],[ 76.41543027 219.58456973] ; [10.58456973 30.41543027],0
v3,1,0.838962,0.041299,[140 145] ; [18 20],[139.41176471 145.58823529] ; [18.58823529 19.41176471],0
s4,1,0.840574,0.040465,[ 54 240] ; [ 7 34],[ 53.53432836 240.46567164] ; [ 7.46567164 33.53432836],0
n1,1,0.880551,0.022581,[25 32] ; [6 7],[25.24285714 31.75714286] ; [5.75714286 7.24285714],0
a1,1,0.888073,0.019808,[ 16 280] ; [ 2 39],[ 15.81008902 280.18991098] ; [ 2.18991098 38.81008902],0
p1,1,0.905678,0.01404,[ 27 267] ; [ 4 37],[ 27.20597015 266.79402985] ; [ 3.79402985 37.20597015],0
a6,1,0.983859,0.000409,[201  94] ; [28 13],[201.05654762  93.94345238] ; [27.94345238 13.05654762],0
