Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000725,11.424909,[80 17] ; [20 17],[72.3880597 24.6119403] ; [27.6119403  9.3880597],1
d2,1,0.00226,9.325142,[58 40] ; [11 26],[50.08888889 47.91111111] ; [18.91111111 18.08888889],0
s4,1,0.011466,6.391551,[13 84] ; [12 25],[18.09701493 78.90298507] ; [ 6.90298507 30.09701493],0
a4,1,0.012334,6.262272,[50 48] ; [10 27],[43.55555556 54.44444444] ; [16.44444444 20.55555556],0
d1,1,0.017353,5.660329,[62 36] ; [15 22],[55.8962963 42.1037037] ; [21.1037037 15.8962963],0
n4,1,0.019261,5.477639,[79 18] ; [23 14],[73.8358209 23.1641791] ; [28.1641791  8.8358209],0
n5,1,0.028583,4.792558,[73 23] ; [21 16],[67.84962406 28.15037594] ; [26.15037594 10.84962406],0
u1,1,0.035271,4.43203,[20 78] ; [ 2 35],[15.97037037 82.02962963] ; [ 6.02962963 30.97037037],0
a6,1,0.050328,3.830486,[65 32] ; [18 19],[60.08208955 36.91791045] ; [22.91791045 14.08208955],0
s5,1,0.05711,3.619371,[42 51] ; [ 9 25],[37.34645669 55.65354331] ; [13.65354331 20.34645669],0
a7,1,0.076112,3.146029,[61 37] ; [29  8],[65.33333333 32.66666667] ; [24.66666667 12.33333333],0
d4,1,0.084142,2.983017,[84 14] ; [27 10],[80.57777778 17.42222222] ; [30.42222222  6.57777778],0
d5,1,0.120701,2.408206,[85 13] ; [28  9],[82.02962963 15.97037037] ; [30.97037037  6.02962963],0
r1,1,0.144843,2.125734,[84 14] ; [27  9],[81.17910448 16.82089552] ; [29.82089552  6.17910448],0
v3,1,0.155188,2.020503,[47 47] ; [13 23],[43.38461538 50.61538462] ; [16.61538462 19.38461538],0
r4,1,0.161463,1.960474,[92  6] ; [32  5],[90.01481481  7.98518519] ; [33.98518519  3.01481481],0
p1,1,0.161463,1.960474,[ 6 92] ; [ 5 32],[ 7.98518519 90.01481481] ; [ 3.01481481 33.98518519],0
p3,1,0.207894,1.586032,[35 63] ; [ 9 28],[31.94074074 66.05925926] ; [12.05925926 24.94074074],0
p9,1,0.224778,1.473601,[86 11] ; [29  7],[83.87218045 13.12781955] ; [31.12781955  4.87218045],0
b3,1,0.24816,1.333634,[30 38] ; [ 7 16],[27.64835165 40.35164835] ; [ 9.35164835 13.64835165],0
b2,1,0.24816,1.333634,[30 38] ; [ 7 16],[27.64835165 40.35164835] ; [ 9.35164835 13.64835165],0
p12,1,0.259409,1.271906,[ 8 88] ; [ 1 35],[ 6.54545455 89.45454545] ; [ 2.45454545 33.54545455],0
v1,1,0.280053,1.16683,[53 41] ; [16 19],[50.27906977 43.72093023] ; [18.72093023 16.27906977],0
s3,1,0.300165,1.07346,[68 30] ; [29  8],[70.41481481 27.58518519] ; [26.58518519 10.41481481],0
p11,1,0.31171,1.023415,[77 21] ; [26 11],[74.77037037 23.22962963] ; [28.22962963  8.77037037],0
v4,1,0.346636,0.885735,[94  4] ; [34  3],[92.91851852  5.08148148] ; [35.08148148  1.91851852],0
