Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.006342,7.450366,[10 23] ; [31 20],[16.10714286 16.89285714] ; [24.89285714 26.10714286],0
r3,1,0.007316,7.193772,[22 11] ; [46  5],[26.71428571  6.28571429] ; [41.28571429  9.71428571],0
b1,1,0.018058,5.590472,[21 12] ; [19 32],[15.71428571 17.28571429] ; [24.28571429 26.71428571],0
v4,1,0.018644,5.534566,[23 10] ; [45  5],[27.03614458  5.96385542] ; [40.96385542  9.03614458],0
u3,1,0.051422,3.794466,[12  6] ; [10 17],[8.8 9.2] ; [13.2 13.8],0
n1,1,0.064218,3.424955,[6 7] ; [ 4 19],[3.61111111 9.38888889] ; [ 6.38888889 16.61111111],0
b4,1,0.067627,3.339688,[14 19] ; [32 19],[18.07142857 14.92857143] ; [27.92857143 23.07142857],0
p1,1,0.073582,3.201239,[ 5 28] ; [ 2 48],[ 2.78313253 30.21686747] ; [ 4.21686747 45.78313253],0
r2,1,0.088037,2.909906,[21 12] ; [41 10],[24.35714286  8.64285714] ; [37.64285714 13.35714286],0
p3,1,0.100734,2.693885,[ 7 25] ; [20 31],[10.40963855 21.59036145] ; [16.59036145 34.40963855],0
s1,1,0.133961,2.245989,[ 3 30] ; [ 1 50],[ 1.57142857 31.42857143] ; [ 2.42857143 48.57142857],0
d3,1,0.150018,2.072069,[14 18] ; [30 20],[17.17073171 14.82926829] ; [26.82926829 23.17073171],0
s5,1,0.162743,1.948549,[ 6 27] ; [16 34],[ 8.74698795 24.25301205] ; [13.25301205 36.74698795],0
p6,1,0.198228,1.655381,[11 21] ; [11 40],[ 8.48192771 23.51807229] ; [13.51807229 37.48192771],0
p2,1,0.214927,1.537925,[18 15] ; [34 16],[20.6746988 12.3253012] ; [31.3253012 18.6746988],0
u2,1,0.220671,1.5,[10  8] ; [10 17],[ 8. 10.] ; [12. 15.],0
s6,1,0.221252,1.496234,[12 21] ; [25 25],[14.71084337 18.28915663] ; [22.28915663 27.71084337],0
b5,1,0.229019,1.446946,[17 16] ; [33 18],[19.64285714 13.35714286] ; [30.35714286 20.64285714],0
a5,1,0.253824,1.302131,[12 21] ; [25 26],[14.53571429 18.46428571] ; [22.46428571 28.53571429],0
p11,1,0.307921,1.039572,[17 16] ; [32 19],[19.25 13.75] ; [29.75 21.25],0
u1,1,0.322722,0.977883,[ 2 31] ; [ 1 50],[ 1.17857143 31.82142857] ; [ 1.82142857 49.17857143],0
n3,1,0.329889,0.949333,[9 5] ; [11 12],[7.56756757 6.43243243] ; [12.43243243 10.56756757],0
p9,1,0.337356,0.920455,[20 13] ; [34 14],[22. 11.] ; [32. 16.],0
s3,1,0.351741,0.867168,[15 18] ; [18 33],[12.96428571 20.03571429] ; [20.03571429 30.96428571],0
d5,1,0.389045,0.741924,[18 15] ; [32 18],[19.87951807 13.12048193] ; [30.12048193 19.87951807],0
a4,1,0.412173,0.672524,[ 9 24] ; [10 41],[ 7.46428571 25.53571429] ; [11.53571429 39.46428571],0
v1,1,0.421401,0.646404,[12 21] ; [14 36],[10.3373494 22.6626506] ; [15.6626506 34.3373494],0
d1,1,0.442013,0.59105,[ 9 24] ; [18 33],[10.60714286 22.39285714] ; [16.39285714 34.60714286],0
