Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.001496,10.084034,[12 22] ; [12  2],[17. 17.] ; [7. 7.],0
p7,1,0.013545,6.096519,[16 18] ; [12  2],[19.83333333 14.16666667] ; [8.16666667 5.83333333],0
n4,1,0.024724,5.043115,[24 10] ; [5 9],[20.54166667 13.45833333] ; [8.45833333 5.54166667],0
n5,1,0.041579,4.152249,[27  7] ; [7 7],[24.08333333  9.91666667] ; [9.91666667 4.08333333],0
b4,1,0.065714,3.386955,[22 12] ; [5 9],[19.125 14.875] ; [7.875 6.125],0
p10,1,0.076026,3.147866,[27  6] ; [8 6],[24.57446809  8.42553191] ; [10.42553191  3.57446809],0
d1,1,0.103712,2.647517,[13 21] ; [ 2 12],[10.625 23.375] ; [4.375 9.625],0
d5,1,0.110415,2.548277,[23 11] ; [6 8],[20.54166667 13.45833333] ; [8.45833333 5.54166667],0
p9,1,0.115198,2.481426,[28  5] ; [9 5],[25.9787234  7.0212766] ; [11.0212766  2.9787234],0
p8,1,0.204008,1.613445,[15 19] ; [9 5],[17. 17.] ; [7. 7.],0
p4,1,0.230046,1.440576,[21 13] ; [6 8],[19.125 14.875] ; [7.875 6.125],0
s8,1,0.261556,1.260504,[13 21] ; [ 3 11],[11.33333333 22.66666667] ; [4.66666667 9.33333333],0
s4,1,0.263275,1.251454,[ 5 29] ; [ 4 10],[ 6.375 27.625] ; [ 2.625 11.375],0
d4,1,0.265583,1.239419,[25  9] ; [8 6],[23.375 10.625] ; [9.625 4.375],0
a6,1,0.312928,1.018276,[20 14] ; [6 8],[18.41666667 15.58333333] ; [7.58333333 6.41666667],0
d2,1,0.316783,1.002181,[15 19] ; [ 4 10],[13.45833333 20.54166667] ; [5.54166667 8.45833333],0
u2,1,0.350122,0.873016,[10  5] ; [6 1],[10.90909091  4.09090909] ; [5.09090909 1.90909091],0
p6,1,0.387888,0.745554,[ 8 26] ; [5 9],[ 9.20833333 24.79166667] ; [ 3.79166667 10.20833333],0
r3,1,0.412428,0.671792,[29  4] ; [11  3],[28.08510638  4.91489362] ; [11.91489362  2.08510638],0
s2,1,0.414415,0.6661,[11 22] ; [ 3 11],[ 9.82978723 23.17021277] ; [4.17021277 9.82978723],0
s6,1,0.471436,0.518607,[18 16] ; [9 5],[19.125 14.875] ; [7.875 6.125],0
r1,1,0.489162,0.47837,[11 23] ; [6 8],[12.04166667 21.95833333] ; [4.95833333 9.04166667],0
s1,1,0.507878,0.438436,[ 1 33] ; [ 1 13],[ 1.41666667 32.58333333] ; [ 0.58333333 13.41666667],0
a1,1,0.507878,0.438436,[ 1 33] ; [ 1 13],[ 1.41666667 32.58333333] ; [ 0.58333333 13.41666667],0
v4,1,0.524574,0.404892,[21 13] ; [10  4],[21.95833333 12.04166667] ; [9.04166667 4.95833333],0
p2,1,0.549746,0.357773,[27  7] ; [10  4],[26.20833333  7.79166667] ; [10.79166667  3.20833333],0
s3,1,0.562775,0.334922,[ 9 24] ; [5 9],[ 9.82978723 23.17021277] ; [4.17021277 9.82978723],0
v3,1,0.57159,0.32003,[10 24] ; [ 3 11],[ 9.20833333 24.79166667] ; [ 3.79166667 10.20833333],0
a7,1,0.575403,0.313725,[20 14] ; [7 7],[19.125 14.875] ; [7.875 6.125],0
p12,1,0.633751,0.227008,[ 4 30] ; [ 1 13],[ 3.54166667 30.45833333] ; [ 1.45833333 12.54166667],0
b5,1,0.652524,0.202733,[17 17] ; [8 6],[17.70833333 16.29166667] ; [7.29166667 6.70833333],0
p3,1,0.653368,0.201681,[12 22] ; [ 4 10],[11.33333333 22.66666667] ; [4.66666667 9.33333333],0
a3,1,0.710062,0.138215,[19 15] ; [7 7],[18.41666667 15.58333333] ; [7.58333333 6.41666667],0
d3,1,0.710062,0.138215,[19 15] ; [7 7],[18.41666667 15.58333333] ; [7.58333333 6.41666667],0
s5,1,0.713858,0.134454,[ 9 25] ; [ 3 11],[ 8.5 25.5] ; [ 3.5 10.5],0
s7,1,0.735937,0.11373,[ 9 23] ; [4 8],[ 9.45454545 22.54545455] ; [3.54545455 8.45454545],0
a5,1,0.765992,0.088578,[21 13] ; [8 6],[20.54166667 13.45833333] ; [8.45833333 5.54166667],0
v1,1,0.765992,0.088578,[13 21] ; [6 8],[13.45833333 20.54166667] ; [5.54166667 8.45833333],0
n1,1,0.793258,0.068687,[4 8] ; [2 3],[4.23529412 7.76470588] ; [1.76470588 3.23529412],0
a8,1,0.796401,0.066568,[ 4 28] ; [ 2 11],[ 4.26666667 27.73333333] ; [ 1.73333333 11.26666667],0
v2,1,0.813473,0.055672,[17 17] ; [6 7],[16.63829787 17.36170213] ; [6.36170213 6.63829787],0
u3,1,0.823261,0.049887,[ 5 10] ; [2 5],[ 4.77272727 10.22727273] ; [2.22727273 4.77272727],0
n3,1,0.824745,0.049038,[9 3] ; [4 1],[9.17647059 2.82352941] ; [3.82352941 1.17647059],0
n2,1,0.824745,0.049038,[9 3] ; [4 1],[9.17647059 2.82352941] ; [3.82352941 1.17647059],0
a2,1,0.869744,0.026891,[ 2 32] ; [ 1 13],[ 2.125 31.875] ; [ 0.875 13.125],0
r4,1,0.869744,0.026891,[13 21] ; [5 9],[12.75 21.25] ; [5.25 8.75],0
a4,1,0.953573,0.00339,[10 24] ; [ 4 10],[ 9.91666667 24.08333333] ; [4.08333333 9.91666667],0
