Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,22.046144,[24  5] ; [14 36],[13.94936709 15.05063291] ; [24.05063291 25.94936709],1
r1,1,0.001334,10.294622,[27  3] ; [29 23],[20.48780488  9.51219512] ; [35.51219512 16.48780488],0
r4,1,0.007782,7.083026,[29  1] ; [38 14],[24.51219512  5.48780488] ; [42.48780488  9.51219512],0
s5,1,0.011743,6.349206,[14 16] ; [10 40],[ 9. 21.] ; [15. 35.],0
v1,1,0.019304,5.473789,[18 12] ; [17 34],[12.96296296 17.03703704] ; [22.03703704 28.96296296],0
n4,1,0.036166,4.389262,[26  4] ; [34 18],[21.95121951  8.04878049] ; [38.04878049 13.95121951],0
b4,1,0.045231,4.010015,[19 11] ; [21 31],[14.63414634 15.36585366] ; [25.36585366 26.63414634],0
p12,1,0.045369,4.004884,[ 5 25] ; [ 2 50],[ 2.56097561 27.43902439] ; [ 4.43902439 47.56097561],0
d5,1,0.058445,3.580963,[ 7 23] ; [23 29],[10.97560976 19.02439024] ; [19.02439024 32.97560976],0
p1,1,0.058575,3.577279,[10 20] ; [ 8 44],[ 6.58536585 23.41463415] ; [11.41463415 40.58536585],0
p3,1,0.060328,3.528332,[20 10] ; [23 28],[15.92592593 14.07407407] ; [27.07407407 23.92592593],0
p6,1,0.066375,3.370474,[16 14] ; [17 35],[12.07317073 17.92682927] ; [20.92682927 31.07317073],0
a7,1,0.08345,2.996393,[23  7] ; [30 22],[19.3902439 10.6097561] ; [33.6097561 18.3902439],0
r2,1,0.087576,2.918382,[29  1] ; [43  8],[26.66666667  3.33333333] ; [45.33333333  5.66666667],0
s4,1,0.090848,2.859282,[ 3 27] ; [13 38],[ 5.92592593 24.07407407] ; [10.07407407 40.92592593],0
a5,1,0.142967,2.145733,[20 10] ; [26 26],[16.82926829 13.17073171] ; [29.17073171 22.82926829],0
b3,1,0.147271,2.100292,[ 6 11] ; [ 5 25],[ 3.9787234 13.0212766] ; [ 7.0212766 22.9787234],0
b2,1,0.147271,2.100292,[ 6 11] ; [ 5 25],[ 3.9787234 13.0212766] ; [ 7.0212766 22.9787234],0
a3,1,0.193336,1.692012,[15 15] ; [18 33],[12.22222222 17.77777778] ; [20.77777778 30.22222222],0
p4,1,0.193554,1.690359,[20 10] ; [27 25],[17.19512195 12.80487805] ; [29.80487805 22.19512195],0
p2,1,0.214338,1.54188,[22  8] ; [44  8],[24.14634146  5.85365854] ; [41.85365854 10.14634146],0
s3,1,0.235027,1.410178,[15 14] ; [19 31],[12.48101266 16.51898734] ; [21.51898734 28.48101266],0
d3,1,0.263397,1.250814,[11 19] ; [13 39],[ 8.7804878 21.2195122] ; [15.2195122 36.7804878],0
d2,1,0.283541,1.150039,[ 4 26] ; [12 40],[ 5.85365854 24.14634146] ; [10.14634146 41.85365854],0
p5,1,0.296398,1.09033,[ 6 24] ; [ 6 46],[ 4.3902439 25.6097561] ; [ 7.6097561 44.3902439],0
v4,1,0.415398,0.663297,[29  1] ; [47  4],[28.14814815  1.85185185] ; [47.85185185  3.14814815],0
d1,1,0.426873,0.631315,[ 1 29] ; [ 4 48],[ 1.82926829 28.17073171] ; [ 3.17073171 48.82926829],0
s6,1,0.473938,0.512779,[15 14] ; [30 20],[16.51898734 12.48101266] ; [28.48101266 21.51898734],0
p11,1,0.507206,0.439826,[23  7] ; [43  9],[24.14634146  5.85365854] ; [41.85365854 10.14634146],0
n1,1,0.527089,0.4,[2 1] ; [7 8],[1.5 1.5] ; [7.5 7.5],0
s8,1,0.547569,0.361691,[ 9 21] ; [19 33],[10.24390244 19.75609756] ; [17.75609756 34.24390244],0
s1,1,0.581878,0.303209,[ 2 28] ; [ 2 49],[ 1.48148148 28.51851852] ; [ 2.51851852 48.48148148],0
n5,1,0.58734,0.294518,[23  7] ; [37 15],[21.95121951  8.04878049] ; [38.04878049 13.95121951],0
