Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,107.799168,[271  58] ; [ 56 103],[220.45696721 108.54303279] ; [106.54303279  52.45696721],1
a5,1,0.0,30.901088,[239  93] ; [74 86],[211.21138211 120.78861789] ; [101.78861789  58.21138211],1
n6,1,2e-06,22.311571,[271  58] ; [100  59],[250.12090164  78.87909836] ; [120.87909836  38.12090164],1
a4,1,0.000363,12.715245,[150 179] ; [ 46 114],[131.86912065 197.13087935] ; [64.13087935 95.86912065],1
a8,1,0.000437,12.367117,[ 52 251] ; [  8 143],[ 40.04405286 262.95594714] ; [ 19.95594714 131.04405286],1
s7,1,0.000444,12.337065,[136 183] ; [ 40 114],[118.69767442 200.30232558] ; [57.30232558 96.69767442],1
p11,1,0.000661,11.59496,[249  83] ; [96 64],[232.80487805  99.19512195] ; [112.19512195  47.80487805],1
s8,1,0.00131,10.328714,[123 208] ; [ 36 123],[107.40612245 223.59387755] ; [ 51.59387755 107.40612245],0
s4,1,0.001876,9.667459,[ 43 284] ; [ 39 121],[ 55.05954825 271.94045175] ; [ 26.94045175 133.05954825],0
d2,1,0.002019,9.532237,[157 171] ; [ 53 107],[141.14754098 186.85245902] ; [68.85245902 91.14754098],0
a3,1,0.002308,9.286732,[229 101] ; [88 71],[213.92638037 116.07361963] ; [103.07361963  55.92638037],0
d5,1,0.003586,8.482469,[261  70] ; [106  53],[247.9122449  83.0877551] ; [119.0877551  39.9122449],0
d1,1,0.003943,8.309993,[183 149] ; [66 94],[168.02439024 163.97560976] ; [80.97560976 79.02439024],0
a2,1,0.005713,7.638631,[ 74 258] ; [ 19 141],[ 62.75609756 269.24390244] ; [ 30.24390244 129.75609756],0
n1,1,0.006919,7.293893,[40 50] ; [17 54],[31.86335404 58.13664596] ; [25.13664596 45.86335404],0
p12,1,0.009834,6.664702,[ 18 313] ; [  1 158],[ 12.83469388 318.16530612] ; [  6.16530612 152.83469388],0
r4,1,0.011435,6.396466,[277  55] ; [118  42],[266.54471545  65.45528455] ; [128.45528455  31.54471545],0
s6,1,0.011624,6.367394,[198 129] ; [76 81],[185.11983471 141.88016529] ; [88.88016529 68.11983471],0
v3,1,0.012841,6.190951,[108 212] ; [ 35 120],[ 96.33684211 223.66315789] ; [ 46.66315789 108.33684211],0
p2,1,0.016163,5.785019,[254  78] ; [106  54],[242.92682927  89.07317073] ; [117.07317073  42.92682927],0
v1,1,0.01629,5.771267,[148 176] ; [ 54 104],[135.78423237 188.21576763] ; [66.21576763 91.78423237],0
u1,1,0.022097,5.238102,[ 49 283] ; [ 12 148],[ 41.16260163 290.83739837] ; [ 19.83739837 140.16260163],0
r2,1,0.028417,4.802576,[297  26] ; [136  23],[290.16390041  32.83609959] ; [142.83609959  16.16390041],0
r1,1,0.030725,4.66827,[253  77] ; [108  52],[243.12244898  86.87755102] ; [117.87755102  42.12244898],0
p4,1,0.03976,4.228108,[122 207] ; [ 44 115],[111.91393443 217.08606557] ; [ 54.08606557 104.91393443],0
p6,1,0.042969,4.09661,[ 82 244] ; [ 27 132],[ 73.26597938 252.73402062] ; [ 35.73402062 123.26597938],0
p1,1,0.051624,3.787925,[ 19 311] ; [  3 157],[ 14.81632653 315.18367347] ; [  7.18367347 152.81632653],0
s3,1,0.092664,2.827466,[168 154] ; [70 89],[159.32640333 162.67359667] ; [78.67359667 80.32640333],0
p9,1,0.108894,2.570205,[246  78] ; [107  48],[238.77244259  85.22755741] ; [114.22755741  40.77244259],0
a1,1,0.112653,2.516598,[ 19 313] ; [  4 156],[ 15.5203252 316.4796748] ; [  7.4796748 152.5203252],0
p10,1,0.1132,2.508968,[235  94] ; [101  56],[227.45679012 101.54320988] ; [108.54320988  48.45679012],0
v2,1,0.137226,2.208793,[161 154] ; [67 86],[153.46153846 161.53846154] ; [74.53846154 78.46153846],0
b2,1,0.145178,2.122201,[ 72 129] ; [19 53],[ 67. 134.] ; [24. 48.],0
b3,1,0.145178,2.122201,[ 72 129] ; [19 53],[ 67. 134.] ; [24. 48.],0
n2,1,0.156142,2.011194,[69 23] ; [46 25],[64.90797546 27.09202454] ; [50.09202454 20.90797546],0
s2,1,0.213042,1.550631,[147 180] ; [62 97],[140.62345679 186.37654321] ; [68.37654321 90.62345679],0
p7,1,0.260653,1.265284,[155 168] ; [65 88],[149.28571429 173.71428571] ; [70.71428571 82.28571429],0
a6,1,0.317366,0.999769,[218 113] ; [98 62],[213.02647658 117.97352342] ; [102.97352342  57.02647658],0
