Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.9e-05,18.306777,[83 20] ; [10 16],[74.25581395 28.74418605] ; [18.74418605  7.25581395],1
p4,1,0.070288,3.276279,[60 43] ; [10 16],[55.89147287 47.10852713] ; [14.10852713 11.89147287],0
p3,1,0.09516,2.784846,[50 52] ; [ 8 18],[46.21875 55.78125] ; [11.78125 14.21875],0
p9,1,0.107032,2.5975,[96  6] ; [22  4],[94.03125  7.96875] ; [23.96875  2.03125],0
p6,1,0.138559,2.193885,[35 67] ; [ 5 21],[31.875 70.125] ; [ 8.125 17.875],0
v2,1,0.149823,2.074047,[48 47] ; [ 9 17],[44.75206612 50.24793388] ; [12.24793388 13.75206612],0
b1,1,0.165632,1.922043,[43 60] ; [ 7 19],[39.92248062 63.07751938] ; [10.07751938 15.92248062],0
p5,1,0.198646,1.6523,[13 90] ; [ 1 25],[11.17829457 91.82170543] ; [ 2.82170543 23.17829457],0
s3,1,0.227924,1.453769,[54 47] ; [10 15],[51.3015873 49.6984127] ; [12.6984127 12.3015873],0
s5,1,0.254649,1.297615,[27 73] ; [ 4 21],[24.8 75.2] ; [ 6.2 18.8],0
n6,1,0.29337,1.104093,[88 15] ; [20  6],[86.23255814 16.76744186] ; [21.76744186  4.23255814],0
s2,1,0.31016,1.029996,[44 58] ; [ 8 17],[41.76377953 60.23622047] ; [10.23622047 14.76377953],0
d2,1,0.332051,0.940882,[25 78] ; [ 4 22],[23.15503876 79.84496124] ; [ 5.84496124 20.15503876],0
s4,1,0.347965,0.880863,[19 83] ; [ 7 19],[20.71875 81.28125] ; [ 5.28125 20.71875],0
b4,1,0.356439,0.850402,[49 54] ; [15 11],[51.10077519 51.89922481] ; [12.89922481 13.10077519],0
n2,1,0.399075,0.711111,[21  3] ; [6 2],[20.25  3.75] ; [6.75 1.25],0
b3,1,0.39974,0.709108,[17 41] ; [ 3 13],[15.67567568 42.32432432] ; [ 4.32432432 11.67567568],0
b2,1,0.39974,0.709108,[17 41] ; [ 3 13],[15.67567568 42.32432432] ; [ 4.32432432 11.67567568],0
v3,1,0.402061,0.702154,[36 65] ; [ 7 19],[34.19685039 66.80314961] ; [ 8.80314961 17.19685039],0
a7,1,0.403479,0.697932,[65 38] ; [18  7],[66.7890625 36.2109375] ; [16.2109375  8.7890625],0
a2,1,0.419082,0.652889,[ 7 96] ; [ 3 23],[ 7.98449612 95.01550388] ; [ 2.01550388 23.98449612],0
p7,1,0.427247,0.630296,[63 38] ; [14 12],[61.23622047 39.76377953] ; [15.76377953 10.23622047],0
p2,1,0.436631,0.605119,[80 23] ; [22  4],[81.44186047 21.55813953] ; [20.55813953  5.44186047],0
b5,1,0.455912,0.555912,[55 48] ; [16 10],[56.68992248 46.31007752] ; [14.31007752 11.68992248],0
p1,1,0.468498,0.525517,[14 89] ; [ 5 21],[15.17054264 87.82945736] ; [ 3.82945736 22.17054264],0
u2,1,0.520282,0.413333,[24 26] ; [7 5],[25. 25.] ; [6. 6.],0
