Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000174,14.094485,[11 13] ; [81 17],[18.09836066  5.90163934] ; [73.90163934 24.09836066],1
p10,1,0.017599,5.635653,[13 11] ; [75 21],[17.6  6.4] ; [70.4 25.6],0
p9,1,0.017599,5.635653,[13 11] ; [75 21],[17.6  6.4] ; [70.4 25.6],0
s2,1,0.031144,4.644986,[ 5 20] ; [41 53],[ 9.66386555 15.33613445] ; [36.33613445 57.66386555],0
s7,1,0.066957,3.35609,[ 6 17] ; [43 48],[ 9.88596491 13.11403509] ; [39.11403509 51.88596491],0
n4,1,0.077033,3.126412,[16  9] ; [79 19],[19.30894309  5.69105691] ; [75.69105691 22.30894309],0
u2,1,0.095119,2.78553,[8 4] ; [17 26],[5.45454545 6.54545455] ; [19.54545455 23.45454545],0
v2,1,0.099857,2.707821,[ 7 14] ; [50 44],[10.40869565 10.59130435] ; [46.59130435 47.40869565],0
s5,1,0.102899,2.660034,[ 3 20] ; [28 66],[ 6.09401709 16.90598291] ; [24.90598291 69.09401709],0
s6,1,0.108795,2.571643,[13 12] ; [65 29],[16.38655462  8.61344538] ; [61.61344538 32.38655462],0
r2,1,0.127151,2.326947,[22  3] ; [94  4],[23.57723577  1.42276423] ; [92.42276423  5.57723577],0
b1,1,0.164031,1.936665,[13 12] ; [36 62],[ 9.95934959 15.04065041] ; [39.04065041 58.95934959],0
p2,1,0.172557,1.860587,[16  9] ; [75 22],[18.64754098  6.35245902] ; [72.35245902 24.64754098],0
a4,1,0.181943,1.781678,[ 9 16] ; [22 74],[ 6.40495868 18.59504132] ; [24.59504132 71.40495868],0
p6,1,0.202107,1.627086,[ 5 19] ; [33 63],[ 7.6 16.4] ; [30.4 65.6],0
r4,1,0.211876,1.558564,[22  3] ; [93  5],[23.37398374  1.62601626] ; [91.62601626  6.37398374],0
p11,1,0.217275,1.522278,[17  8] ; [78 20],[19.30894309  5.69105691] ; [75.69105691 22.30894309],0
a7,1,0.244433,1.354846,[14 11] ; [67 31],[16.46341463  8.53658537] ; [64.53658537 33.46341463],0
s3,1,0.259989,1.268817,[10 15] ; [49 44],[12.5 12.5] ; [46.5 46.5],0
d3,1,0.267407,1.23,[ 6 19] ; [35 63],[ 8.33333333 16.66666667] ; [32.66666667 65.33333333],0
u3,1,0.27402,1.196513,[8 4] ; [21 22],[6.32727273 5.67272727] ; [22.67272727 20.32727273],0
v3,1,0.281173,1.161414,[ 7 16] ; [41 55],[ 9.27731092 13.72268908] ; [38.72268908 57.27731092],0
s8,1,0.285801,1.139299,[ 7 18] ; [38 58],[ 9.29752066 15.70247934] ; [35.70247934 60.29752066],0
n1,1,0.286167,1.137569,[4 8] ; [13 12],[5.51351351 6.48648649] ; [11.48648649 13.51351351],0
p4,1,0.297024,1.087509,[11 14] ; [54 43],[13.31967213 11.68032787] ; [51.68032787 45.31967213],0
v1,1,0.315235,1.008614,[10 14] ; [51 45],[12.2 11.8] ; [48.8 47.2],0
n2,1,0.315251,1.008548,[9 3] ; [22  3],[10.05405405  1.94594595] ; [20.94594595  4.05405405],0
a8,1,0.331295,0.943831,[ 4 19] ; [ 9 80],[ 2.66964286 20.33035714] ; [10.33035714 78.66964286],0
v4,1,0.387978,0.745269,[22  2] ; [94  4],[22.81967213  1.18032787] ; [93.18032787  4.81967213],0
n3,1,0.466479,0.530303,[8 3] ; [20  4],[8.8 2.2] ; [19.2  4.8],0
p3,1,0.538608,0.378125,[10 15] ; [45 51],[11.36363636 13.63636364] ; [43.63636364 52.36363636],0
a1,1,0.570824,0.321306,[ 1 24] ; [ 2 96],[ 0.6097561 24.3902439] ; [ 2.3902439 95.6097561],0
b4,1,0.656428,0.197891,[14 11] ; [50 48],[13.00813008 11.99186992] ; [50.99186992 47.00813008],0
s4,1,0.66692,0.185226,[ 4 21] ; [19 77],[ 4.75206612 20.24793388] ; [18.24793388 77.75206612],0
a2,1,0.67185,0.179446,[ 3 22] ; [ 9 89],[ 2.43902439 22.56097561] ; [ 9.56097561 88.43902439],0
a5,1,0.763272,0.090713,[15 10] ; [62 36],[15.6504065  9.3495935] ; [61.3495935 36.6504065],0
s1,1,0.774145,0.082344,[ 2 23] ; [ 6 88],[ 1.68067227 23.31932773] ; [ 6.31932773 87.68067227],0
a6,1,0.798776,0.06499,[16  9] ; [60 38],[15.44715447  9.55284553] ; [60.55284553 37.44715447],0
a3,1,0.822712,0.050202,[13 11] ; [55 42],[13.48760331 10.51239669] ; [54.51239669 42.48760331],0
b2,1,0.84198,0.039745,[ 4 11] ; [15 47],[ 3.7012987 11.2987013] ; [15.2987013 46.7012987],0
b3,1,0.84198,0.039745,[ 4 11] ; [15 47],[ 3.7012987 11.2987013] ; [15.2987013 46.7012987],0
d5,1,0.852204,0.03471,[12 13] ; [45 53],[11.58536585 13.41463415] ; [45.41463415 52.58536585],0
p8,1,0.852311,0.034659,[12 12] ; [45 49],[11.59322034 12.40677966] ; [45.40677966 48.59322034],0
r3,1,0.853132,0.034271,[23  2] ; [89  9],[22.76422764  2.23577236] ; [89.23577236  8.76422764],0
b5,1,0.935757,0.006497,[14 11] ; [54 44],[13.82113821 11.17886179] ; [54.17886179 43.82113821],0
