Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000108,14.991182,[10 44] ; [10  4],[15.88235294 38.11764706] ; [4.11764706 9.88235294],1
v1,1,0.002551,9.103781,[16 41] ; [10  4],[20.87323944 36.12676056] ; [5.12676056 8.87323944],0
s6,1,0.011847,6.333568,[20 38] ; [10  4],[24.16666667 33.83333333] ; [5.83333333 8.16666667],0
s4,1,0.016089,5.793103,[11 47] ; [7 7],[14.5 43.5] ; [ 3.5 10.5],0
d5,1,0.053489,3.728571,[29 29] ; [11  3],[32.22222222 25.77777778] ; [7.77777778 6.22222222],0
s2,1,0.06794,3.332092,[18 40] ; [8 6],[20.94444444 37.05555556] ; [5.05555556 8.94444444],0
n3,1,0.103332,2.653345,[16  7] ; [2 4],[14.27586207  8.72413793] ; [3.72413793 2.27586207],0
d3,1,0.106378,2.607218,[27 30] ; [10  4],[29.70422535 27.29577465] ; [7.29577465 6.70422535],0
s8,1,0.126623,2.33342,[10 48] ; [5 9],[12.08333333 45.91666667] ; [ 2.91666667 11.08333333],0
p3,1,0.126623,2.33342,[10 48] ; [5 9],[12.08333333 45.91666667] ; [ 2.91666667 11.08333333],0
p4,1,0.128929,2.305359,[13 44] ; [6 8],[15.25352113 41.74647887] ; [ 3.74647887 10.25352113],0
p6,1,0.129901,2.293681,[14 42] ; [6 7],[16.23188406 39.76811594] ; [3.76811594 9.23188406],0
u2,1,0.170273,1.880539,[21 15] ; [6 1],[22.60465116 13.39534884] ; [4.39534884 2.60465116],0
r3,1,0.197446,1.661168,[39 18] ; [12  2],[40.94366197 16.05633803] ; [10.05633803  3.94366197],0
p5,1,0.268151,1.226179,[ 1 57] ; [ 1 13],[ 1.61111111 56.38888889] ; [ 0.38888889 13.61111111],0
d4,1,0.274661,1.193319,[36 21] ; [11  3],[37.73239437 19.26760563] ; [9.26760563 4.73239437],0
a3,1,0.342026,0.902821,[21 37] ; [7 7],[22.55555556 35.44444444] ; [5.44444444 8.55555556],0
n4,1,0.342026,0.902821,[21 37] ; [7 7],[22.55555556 35.44444444] ; [5.44444444 8.55555556],0
a7,1,0.344023,0.89538,[33 25] ; [6 8],[31.41666667 26.58333333] ; [7.58333333 6.41666667],0
p8,1,0.384007,0.757835,[19 38] ; [6 7],[20.35714286 36.64285714] ; [4.64285714 8.35714286],0
n2,1,0.39299,0.72967,[15  8] ; [5 1],[15.86206897  7.13793103] ; [4.13793103 1.86206897],0
v4,1,0.393153,0.729167,[42 14] ; [12  2],[43.2 12.8] ; [10.8  3.2],0
p10,1,0.401048,0.705181,[29 27] ; [9 5],[30.4 25.6] ; [7.6 6.4],0
d2,1,0.427005,0.630957,[11 47] ; [ 4 10],[12.08333333 45.91666667] ; [ 2.91666667 11.08333333],0
b5,1,0.481019,0.496552,[35 23] ; [7 7],[33.83333333 24.16666667] ; [8.16666667 5.83333333],0
n1,1,0.493886,0.46805,[ 8 15] ; [3 3],[ 8.72413793 14.27586207] ; [2.27586207 3.72413793],0
a8,1,0.50155,0.451655,[ 2 55] ; [ 1 12],[ 2.44285714 54.55714286] ; [ 0.55714286 12.44285714],0
u1,1,0.534663,0.385522,[ 2 56] ; [ 1 13],[ 2.41666667 55.58333333] ; [ 0.58333333 13.41666667],0
b4,1,0.53652,0.382027,[32 26] ; [9 5],[33.02777778 24.97222222] ; [7.97222222 6.02777778],0
r2,1,0.546305,0.363978,[45 12] ; [10  4],[44.15492958 12.84507042] ; [10.84507042  3.15492958],0
p7,1,0.590399,0.289721,[26 27] ; [8 6],[26.89552239 26.10447761] ; [7.10447761 6.89552239],0
s3,1,0.590714,0.289231,[28 29] ; [8 6],[28.90140845 28.09859155] ; [7.09859155 6.90140845],0
a4,1,0.598613,0.277094,[ 7 51] ; [ 1 13],[ 6.44444444 51.55555556] ; [ 1.55555556 12.44444444],0
n5,1,0.674126,0.176813,[28 29] ; [6 8],[27.29577465 29.70422535] ; [6.70422535 7.29577465],0
p9,1,0.714393,0.133929,[33 23] ; [9 5],[33.6 22.4] ; [8.4 5.6],0
v2,1,0.724382,0.124333,[16 36] ; [5 9],[16.54545455 35.45454545] ; [4.45454545 9.54545455],0
a1,1,0.77267,0.083454,[ 3 55] ; [ 1 13],[ 3.22222222 54.77777778] ; [ 0.77777778 13.22222222],0
r4,1,0.803352,0.062007,[31 27] ; [8 6],[31.41666667 26.58333333] ; [7.58333333 6.41666667],0
a6,1,0.816568,0.053806,[31 27] ; [7 7],[30.61111111 27.38888889] ; [7.38888889 6.61111111],0
p1,1,0.857494,0.032244,[ 5 53] ; [ 1 13],[ 4.83333333 53.16666667] ; [ 1.16666667 12.83333333],0
u3,1,0.880368,0.022651,[20 17] ; [4 3],[20.18181818 16.81818182] ; [3.81818182 3.18181818],0
r1,1,0.89406,0.017734,[32 26] ; [8 6],[32.22222222 25.77777778] ; [7.77777778 6.22222222],0
d1,1,0.956462,0.002981,[17 41] ; [ 4 10],[16.91666667 41.08333333] ; [4.08333333 9.91666667],0
b3,1,0.964295,0.002004,[ 8 25] ; [2 6],[ 8.04878049 24.95121951] ; [1.95121951 6.04878049],0
b2,1,0.964295,0.002004,[ 8 25] ; [2 6],[ 8.04878049 24.95121951] ; [1.95121951 6.04878049],0
b1,1,1.0,0.0,[29 29] ; [7 7],[29. 29.] ; [7. 7.],0
v3,1,1.0,0.0,[ 8 48] ; [ 2 12],[ 8. 48.] ; [ 2. 12.],0
p11,1,1.0,0.0,[29 29] ; [7 7],[29. 29.] ; [7. 7.],0
