Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,3.5e-05,17.15139,[ 2 12] ; [22  5],[8.19512195 5.80487805] ; [15.80487805 11.19512195],1
n5,1,0.001463,10.12449,[12  2] ; [ 9 18],[7.17073171 6.82926829] ; [13.82926829 13.17073171],0
d1,1,0.004827,7.943298,[ 1 13] ; [14 13],[5.12195122 8.87804878] ; [ 9.87804878 17.12195122],0
r3,1,0.005929,7.571633,[ 2 12] ; [16 11],[6.14634146 7.85365854] ; [11.85365854 15.14634146],0
d3,1,0.005929,7.571633,[ 2 12] ; [16 11],[6.14634146 7.85365854] ; [11.85365854 15.14634146],0
a1,1,0.005961,7.562119,[5 9] ; [ 1 26],[ 2.04878049 11.95121951] ; [ 3.95121951 23.04878049],0
a5,1,0.036696,4.364449,[ 4 10] ; [17 10],[7.17073171 6.82926829] ; [13.82926829 13.17073171],0
d2,1,0.046703,3.956044,[ 4 10] ; [16 10],[7. 7.] ; [13. 13.],0
r1,1,0.060785,3.515828,[ 3 11] ; [14 13],[5.80487805 8.19512195] ; [11.19512195 15.80487805],0
a3,1,0.091001,2.856581,[5 8] ; [18  9],[7.475 5.525] ; [15.525 11.475],0
n2,1,0.103504,2.650699,[2 8] ; [6 5],[3.80952381 6.19047619] ; [4.19047619 6.80952381],0
p11,1,0.128941,2.305206,[ 2 12] ; [10 17],[4.09756098 9.90243902] ; [ 7.90243902 19.09756098],0
p3,1,0.150111,2.071118,[ 1 13] ; [ 7 20],[ 2.73170732 11.26829268] ; [ 5.26829268 21.73170732],0
s6,1,0.191779,1.703896,[ 2 12] ; [ 9 18],[ 3.75609756 10.24390244] ; [ 7.24390244 19.75609756],0
p1,1,0.19325,1.692666,[ 3 11] ; [ 2 25],[ 1.70731707 12.29268293] ; [ 3.29268293 23.70731707],0
b4,1,0.218639,1.513279,[6 8] ; [17 10],[7.85365854 6.14634146] ; [15.14634146 11.85365854],0
a7,1,0.228101,1.452664,[5 9] ; [15 12],[6.82926829 7.17073171] ; [13.17073171 13.82926829],0
p8,1,0.257312,1.283161,[ 1 12] ; [ 6 21],[ 2.275 10.725] ; [ 4.725 22.275],0
b2,1,0.271644,1.208424,[4 5] ; [ 4 13],[2.76923077 6.23076923] ; [ 5.23076923 11.76923077],0
b3,1,0.271644,1.208424,[4 5] ; [ 4 13],[2.76923077 6.23076923] ; [ 5.23076923 11.76923077],0
p4,1,0.277962,1.177027,[ 2 12] ; [ 8 19],[ 3.41463415 10.58536585] ; [ 6.58536585 20.41463415],0
n4,1,0.323141,0.97619,[10  4] ; [15 12],[8.53658537 5.46341463] ; [16.46341463 10.53658537],0
v1,1,0.361282,0.833432,[ 2 12] ; [ 7 19],[ 3.15 10.85] ; [ 5.85 20.15],0
s4,1,0.375434,0.785601,[ 3 11] ; [ 3 24],[ 2.04878049 11.95121951] ; [ 3.95121951 23.04878049],0
s3,1,0.38536,0.753532,[ 3 11] ; [ 9 17],[4.2 9.8] ; [ 7.8 18.2],0
a4,1,0.392041,0.732601,[ 4 10] ; [11 15],[5.25 8.75] ; [ 9.75 16.25],0
r2,1,0.393854,0.727011,[7 7] ; [16  9],[8.25641026 5.74358974] ; [14.74358974 10.25641026],0
v3,1,0.507335,0.43956,[ 2 12] ; [ 6 20],[ 2.8 11.2] ; [ 5.2 20.8],0
p9,1,0.507335,0.43956,[ 2 12] ; [ 6 20],[ 2.8 11.2] ; [ 5.2 20.8],0
s2,1,0.54313,0.369769,[ 2 12] ; [ 6 21],[ 2.73170732 11.26829268] ; [ 5.26829268 21.73170732],0
a8,1,0.658492,0.19536,[ 1 13] ; [ 3 23],[ 1.4 12.6] ; [ 2.6 23.4],0
n6,1,0.697078,0.151529,[ 4 10] ; [ 9 17],[4.55 9.45] ; [ 8.45 17.55],0
b1,1,0.735152,0.114434,[7 7] ; [15 12],[7.51219512 6.48780488] ; [14.48780488 12.51219512],0
p6,1,0.73568,0.11396,[ 1 12] ; [ 3 24],[ 1.3 11.7] ; [ 2.7 24.3],0
s1,1,0.768321,0.086772,[ 2 12] ; [ 3 24],[ 1.70731707 12.29268293] ; [ 3.29268293 23.70731707],0
a2,1,0.768321,0.086772,[ 2 12] ; [ 3 24],[ 1.70731707 12.29268293] ; [ 3.29268293 23.70731707],0
n3,1,0.800838,0.063636,[4 6] ; [5 6],[4.28571429 5.71428571] ; [4.71428571 6.28571429],0
s7,1,0.803708,0.061778,[ 2 12] ; [ 4 19],[ 2.27027027 11.72972973] ; [ 3.72972973 19.27027027],0
n1,1,0.863926,0.029371,[4 6] ; [4 7],[3.80952381 6.19047619] ; [4.19047619 6.80952381],0
b5,1,0.910434,0.012654,[7 7] ; [14 13],[7.17073171 6.82926829] ; [13.82926829 13.17073171],0
a6,1,0.910434,0.012654,[7 7] ; [14 13],[7.17073171 6.82926829] ; [13.82926829 13.17073171],0
p2,1,0.953574,0.00339,[ 3 11] ; [ 6 21],[ 3.07317073 10.92682927] ; [ 5.92682927 21.07317073],0
p7,1,0.953574,0.00339,[ 3 11] ; [ 6 21],[ 3.07317073 10.92682927] ; [ 5.92682927 21.07317073],0
u3,1,1.0,0.0,[1 8] ; [1 8],[1. 8.] ; [1. 8.],0
