Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,37.899372,[177  66] ; [64 89],[147.88636364  95.11363636] ; [93.11363636 59.88636364],1
v3,1,0.0,26.010627,[138 101] ; [ 48 105],[113.40306122 125.59693878] ; [72.59693878 80.40306122],1
p10,1,2e-06,22.672613,[228  19] ; [119  39],[211.62716049  35.37283951] ; [135.37283951  22.62716049],1
p8,1,2e-06,22.600887,[165  79] ; [68 88],[142.13 101.87] ; [90.87 65.13],1
p7,1,2e-06,22.339682,[182  58] ; [82 73],[160.40506329  79.59493671] ; [103.59493671  51.40506329],1
p4,1,4e-06,21.212431,[192  55] ; [88 69],[171.18811881  75.81188119] ; [108.81188119  48.18811881],1
p3,1,4.6e-05,16.615804,[158  89] ; [68 89],[138.17326733 108.82673267] ; [87.82673267 69.17326733],1
p9,1,4.9e-05,16.501999,[229  17] ; [124  32],[216.01492537  29.98507463] ; [136.98507463  19.01492537],1
p6,1,0.00015,14.376604,[123 121] ; [ 49 108],[104.65835411 139.34164589] ; [67.34164589 89.65835411],1
r4,1,0.000588,11.81287,[239  11] ; [136  22],[229.77941176  20.22058824] ; [145.22058824  12.77941176],1
p2,1,0.000701,11.48642,[222  26] ; [121  36],[210.0345679  37.9654321] ; [132.9654321  24.0345679],1
v4,1,0.000985,10.855563,[246   4] ; [143  13],[239.5320197  10.4679803] ; [149.4679803   6.5320197],1
s5,1,0.001162,10.549111,[110 130] ; [ 45 108],[ 94.65648855 145.34351145] ; [60.34351145 92.65648855],0
r3,1,0.001325,10.30697,[244   6] ; [140  15],[237.03703704  12.96296296] ; [146.96296296   8.03703704],0
p5,1,0.004016,8.276716,[ 46 202] ; [ 13 145],[ 36.03940887 211.96059113] ; [ 22.96059113 135.03940887],0
p11,1,0.004862,7.930109,[217  33] ; [120  38],[206.49509804  43.50490196] ; [130.50490196  27.49509804],0
s6,1,0.006166,7.501048,[185  61] ; [96 58],[172.815  73.185] ; [108.185  45.815],0
s1,1,0.00866,6.8917,[  3 243] ; [  9 146],[  7.36159601 238.63840399] ; [  4.63840399 150.36159601],0
s8,1,0.030267,4.694073,[140 106] ; [72 85],[129.40942928 116.59057072] ; [82.59057072 74.40942928],0
u4,1,0.056093,3.649301,[ 12 238] ; [  2 156],[  8.57843137 241.42156863] ; [  5.42156863 152.57843137],0
p12,1,0.060535,3.522658,[ 32 216] ; [ 11 146],[ 26.3308642 221.6691358] ; [ 16.6691358 140.3308642],0
d4,1,0.07051,3.271104,[246   2] ; [150   5],[243.69230769   4.30769231] ; [152.30769231   2.69230769],0
s2,1,0.096193,2.767556,[150  96] ; [82 74],[141.97014925 104.02985075] ; [90.02985075 65.97014925],0
r1,1,0.110568,2.546085,[219  30] ; [130  28],[213.51597052  35.48402948] ; [135.48402948  22.51597052],0
b5,1,0.153562,2.036501,[157  93] ; [88 70],[150.12254902  99.87745098] ; [94.87745098 63.12254902],0
a5,1,0.186479,1.745215,[219  31] ; [131  27],[214.46078431  35.53921569] ; [135.53921569  22.46078431],0
n2,1,0.214086,1.543581,[32  9] ; [29 15],[29.42352941 11.57647059] ; [31.57647059 12.42352941],0
a4,1,0.466827,0.529475,[148 101] ; [99 58],[151.48522167  97.51477833] ; [95.51477833 61.48522167],0
a7,1,0.504689,0.445062,[192  58] ; [116  41],[189.18918919  60.81081081] ; [118.81081081  38.18918919],0
u1,1,0.524834,0.404383,[ 77 173] ; [ 44 114],[ 74.14215686 175.85784314] ; [ 46.85784314 111.14215686],0
a2,1,0.533251,0.388193,[ 92 158] ; [63 95],[ 94.9754902 155.0245098] ; [60.0245098 97.9754902],0
d5,1,0.564562,0.331866,[241   7] ; [154   3],[241.87654321   6.12345679] ; [153.12345679   3.87654321],0
s7,1,0.5746,0.315046,[136 103] ; [81 69],[133.32390746 105.67609254] ; [83.67609254 66.32390746],0
a8,1,0.600674,0.273981,[ 31 186] ; [ 23 118],[ 32.73184358 184.26815642] ; [ 21.26815642 119.73184358],0
p1,1,0.605847,0.266267,[ 23 227] ; [ 17 141],[ 24.50980392 225.49019608] ; [ 15.49019608 142.50980392],0
a3,1,0.63557,0.224583,[207  41] ; [129  29],[205.24137931  42.75862069] ; [130.75862069  27.24137931],0
a6,1,0.651537,0.203968,[183  65] ; [119  38],[184.92839506  63.07160494] ; [117.07160494  39.92839506],0
b2,1,0.695993,0.152674,[70 99] ; [39 61],[ 68.4795539 100.5204461] ; [40.5204461 59.4795539],0
b3,1,0.695993,0.152674,[70 99] ; [39 61],[ 68.4795539 100.5204461] ; [40.5204461 59.4795539],0
n6,1,0.697667,0.15091,[231  18] ; [144  13],[229.98768473  19.01231527] ; [145.01231527  11.98768473],0
b1,1,0.707076,0.141215,[ 98 152] ; [59 99],[ 96.20098039 153.79901961] ; [60.79901961 97.20098039],0
u3,1,0.721852,0.126725,[27 16] ; [17 12],[26.27777778 16.72222222] ; [17.72222222 11.27777778],0
d2,1,0.746701,0.104324,[182  66] ; [116  39],[183.38461538  64.61538462] ; [114.61538462  40.38461538],0
n1,1,0.751984,0.099871,[18 23] ; [17 25],[17.28915663 23.71084337] ; [17.71084337 24.28915663],0
b4,1,0.757397,0.095419,[151  99] ; [93 65],[149.50980392 100.49019608] ; [94.49019608 63.50980392],0
n3,1,0.769634,0.085763,[27 14] ; [27 16],[26.35714286 14.64285714] ; [27.64285714 15.35714286],0
d3,1,0.792688,0.069076,[221  28] ; [138  19],[220.17487685  28.82512315] ; [138.82512315  18.17487685],0
r2,1,0.816776,0.053682,[241   7] ; [150   5],[240.61538462   7.38461538] ; [150.38461538   4.61538462],0
u2,1,0.82922,0.046527,[25 18] ; [17 11],[25.43661972 17.56338028] ; [16.56338028 11.43661972],0
n4,1,0.881645,0.022167,[232  18] ; [146  12],[231.61764706  18.38235294] ; [146.38235294  11.61764706],0
a1,1,0.892594,0.018231,[ 15 235] ; [ 10 148],[ 15.31862745 234.68137255] ; [  9.68137255 148.31862745],0
s3,1,0.910927,0.012515,[149  96] ; [94 62],[148.46633416  96.53366584] ; [94.53366584 61.46633416],0
s4,1,0.952251,0.003586,[ 37 207] ; [ 24 132],[ 37.21 206.79] ; [ 23.79 132.21],0
