Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.00041,12.486342,[ 3 98] ; [ 60 301],[13.77272727 87.22727273] ; [ 49.22727273 311.77272727],1
n4,1,0.000899,11.024976,[73 34] ; [327  68],[85.25896414 21.74103586] ; [314.74103586  80.25896414],1
s5,1,0.000999,10.829952,[61 41] ; [160 225],[46.28747433 55.71252567] ; [174.71252567 210.28747433],1
v2,1,0.008619,6.900106,[49 53] ; [236 142],[60.5625 41.4375] ; [224.4375 153.5625],0
s2,1,0.010149,6.608536,[82 24] ; [252 141],[70.9498998 35.0501002] ; [263.0501002 129.9498998],0
v1,1,0.017929,5.603073,[52 54] ; [235 145],[62.59670782 43.40329218] ; [224.40329218 155.59670782],0
v3,1,0.019211,5.48224,[33 71] ; [170 212],[43.44032922 60.55967078] ; [159.55967078 222.44032922],0
n5,1,0.027013,4.889981,[77 30] ; [321  72],[85.172 21.828] ; [312.828  80.172],0
b2,1,0.041163,4.169308,[14 42] ; [ 97 148],[20.65116279 35.34883721] ; [ 90.34883721 154.65116279],0
b3,1,0.041163,4.169308,[14 42] ; [ 97 148],[20.65116279 35.34883721] ; [ 90.34883721 154.65116279],0
p2,1,0.059222,3.559037,[88 19] ; [349  43],[93.70541082 13.29458918] ; [343.29458918  48.70541082],0
a1,1,0.069673,3.290699,[  2 105] ; [ 25 370],[  5.75498008 101.24501992] ; [ 21.24501992 373.75498008],0
s3,1,0.080908,3.046568,[82 24] ; [267 122],[74.73535354 31.26464646] ; [274.26464646 114.73535354],0
d1,1,0.083458,2.996232,[74 33] ; [237 158],[66.28884462 40.71115538] ; [244.71115538 150.28884462],0
u2,1,0.089829,2.877443,[14 13] ; [70 31],[17.71875  9.28125] ; [66.28125 34.71875],0
n1,1,0.09566,2.776442,[ 7 21] ; [33 44],[10.66666667 17.33333333] ; [29.33333333 47.66666667],0
d3,1,0.125881,2.342575,[83 24] ; [276 118],[76.67265469 30.32734531] ; [282.32734531 111.67265469],0
p11,1,0.160666,1.96795,[85 22] ; [336  59],[89.73505976 17.26494024] ; [331.26494024  63.73505976],0
p5,1,0.165527,1.92299,[11 96] ; [ 61 330],[15.46987952 91.53012048] ; [ 56.53012048 334.46987952],0
p6,1,0.165986,1.918825,[51 55] ; [158 231],[44.75555556 61.24444444] ; [164.24444444 224.75555556],0
p12,1,0.223298,1.483052,[ 9 98] ; [ 50 344],[12.6007984 94.3992016] ; [ 46.3992016 347.6007984],0
a7,1,0.256662,1.286675,[74 33] ; [294 100],[78.59481038 28.40518962] ; [289.40518962 104.59481038],0
u4,1,0.266386,1.235262,[  1 106] ; [ 11 384],[  2.55776892 104.44223108] ; [  9.44223108 385.55776892],0
r3,1,0.386826,0.748895,[104   2] ; [380  14],[102.608   3.392] ; [381.392  12.608],0
d2,1,0.391629,0.733879,[57 50] ; [191 202],[53.072 53.928] ; [194.928 198.072],0
s1,1,0.413359,0.669119,[  5 101] ; [ 12 377],[  3.64040404 102.35959596] ; [ 13.35959596 375.64040404],0
p7,1,0.433999,0.612097,[76 28] ; [264 118],[72.75720165 31.24279835] ; [267.24279835 114.75720165],0
b1,1,0.444248,0.585286,[35 72] ; [145 250],[38.36653386 68.63346614] ; [141.63346614 253.36653386],0
p9,1,0.478948,0.501258,[104   3] ; [377  17],[102.72854291   4.27145709] ; [378.27145709  15.72854291],0
r1,1,0.511906,0.43017,[87 20] ; [330  63],[89.238 17.762] ; [327.762  65.238],0
s7,1,0.535721,0.383528,[68 36] ; [234 143],[65.2972973 38.7027027] ; [236.7027027 140.2972973],0
p1,1,0.547139,0.362467,[11 96] ; [ 33 359],[ 9.43486974 97.56513026] ; [ 34.56513026 357.43486974],0
r4,1,0.598826,0.27677,[99  8] ; [371  24],[100.17928287   6.82071713] ; [369.82071713  25.17928287],0
n3,1,0.599236,0.27615,[21  7] ; [53 23],[19.92307692  8.07692308] ; [54.07692308 21.92307692],0
u1,1,0.60308,0.270376,[23 84] ; [ 76 319],[21.10159363 85.89840637] ; [ 77.89840637 317.10159363],0
r2,1,0.617619,0.249228,[103   4] ; [370  19],[102.03830645   4.96169355] ; [370.96169355  18.03830645],0
a6,1,0.629252,0.233077,[72 35] ; [274 119],[74.044 32.956] ; [271.956 121.044],0
a4,1,0.681157,0.168826,[51 56] ; [179 215],[49.12175649 57.87824351] ; [180.87824351 213.12175649],0
d4,1,0.694267,0.154505,[89 18] ; [333  60],[90.308 16.692] ; [331.692  61.308],0
a2,1,0.748378,0.102899,[26 81] ; [102 293],[27.28286853 79.71713147] ; [100.71713147 294.28286853],0
p4,1,0.77046,0.085132,[70 37] ; [263 130],[71.262 35.738] ; [261.738 131.262],0
p8,1,0.794238,0.068023,[60 44] ; [220 171],[58.82828283 45.17171717] ; [221.17171717 169.82828283],0
