Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.00241,9.207516,[ 5 41] ; [25 44],[12. 34.] ; [18. 51.],0
s8,1,0.003642,8.454115,[ 7 40] ; [28 42],[14.05982906 32.94017094] ; [20.94017094 49.05982906],0
s2,1,0.003656,8.447458,[10 37] ; [33 36],[17.42241379 29.57758621] ; [25.57758621 43.42241379],0
d4,1,0.006266,7.472296,[32 15] ; [62  8],[37.76068376  9.23931624] ; [56.23931624 13.76068376],0
p10,1,0.007915,7.052566,[32 15] ; [60  8],[37.6  9.4] ; [54.4 13.6],0
s3,1,0.010626,6.526773,[13 34] ; [36 34],[19.68376068 27.31623932] ; [29.31623932 40.68376068],0
p4,1,0.011011,6.463564,[30 17] ; [59 11],[35.75213675 11.24786325] ; [53.24786325 16.75213675],0
b4,1,0.013805,6.062865,[23 24] ; [50 20],[29.32478632 17.67521368] ; [43.67521368 26.32478632],0
r4,1,0.091491,2.847948,[41  6] ; [67  3],[43.38461538  3.61538462] ; [64.61538462  5.38461538],0
s4,1,0.108027,2.582854,[ 4 43] ; [13 54],[ 7.00877193 39.99122807] ; [ 9.99122807 57.00877193],0
p2,1,0.127363,2.32435,[44  3] ; [59 11],[41.37606838  5.62393162] ; [61.62393162  8.37606838],0
u3,1,0.134332,2.241715,[ 7 12] ; [16 11],[9.5 9.5] ; [13.5 13.5],0
a8,1,0.166966,1.909974,[ 3 41] ; [10 54],[ 5.2962963 38.7037037] ; [ 7.7037037 56.2962963],0
d5,1,0.170469,1.878816,[34 12] ; [59 11],[36.87931034  9.12068966] ; [56.12068966 13.87931034],0
a4,1,0.187161,1.739822,[18 29] ; [35 34],[21.47413793 25.52586207] ; [31.52586207 37.47413793],0
r1,1,0.223832,1.479632,[33 14] ; [56 14],[35.75213675 11.24786325] ; [53.24786325 16.75213675],0
p8,1,0.225929,1.466307,[30 17] ; [52 18],[32.94017094 14.05982906] ; [49.05982906 20.94017094],0
n3,1,0.241696,1.370677,[11  3] ; [5 4],[9.73913043 4.26086957] ; [6.26086957 2.73913043],0
p11,1,0.245346,1.349611,[38  9] ; [62  8],[40.17094017  6.82905983] ; [59.82905983 10.17094017],0
p5,1,0.252954,1.306915,[ 2 45] ; [ 7 63],[ 3.61538462 43.38461538] ; [ 5.38461538 64.61538462],0
a5,1,0.270729,1.213051,[29 18] ; [50 20],[31.73504274 15.26495726] ; [47.26495726 22.73504274],0
b3,1,0.286785,1.134652,[13 12] ; [15 24],[10.9375 14.0625] ; [17.0625 21.9375],0
b2,1,0.286785,1.134652,[13 12] ; [15 24],[10.9375 14.0625] ; [17.0625 21.9375],0
p3,1,0.304692,1.053544,[23 24] ; [41 29],[25.70940171 21.29059829] ; [38.29059829 31.70940171],0
u1,1,0.32769,0.958007,[ 5 42] ; [12 58],[ 6.82905983 40.17094017] ; [10.17094017 59.82905983],0
d3,1,0.338624,0.915632,[29 16] ; [51 19],[31.30434783 13.69565217] ; [48.69565217 21.30434783],0
n1,1,0.340144,0.90989,[5 8] ; [2 8],[3.95652174 9.04347826] ; [3.04347826 6.95652174],0
