Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.7e-05,17.588256,[16 45] ; [17  5],[24.25301205 36.74698795] ; [ 8.74698795 13.25301205],1
b4,1,0.000415,12.462514,[26 35] ; [19  3],[33.07228916 27.92771084] ; [11.92771084 10.07228916],1
d4,1,0.001393,10.215507,[32 29] ; [20  2],[38.21686747 22.78313253] ; [13.78313253  8.21686747],0
s6,1,0.001448,10.143464,[20 40] ; [16  6],[26.34146341 33.65853659] ; [ 9.65853659 12.34146341],0
s7,1,0.001529,10.0433,[10 49] ; [11 10],[15.4875 43.5125] ; [ 5.5125 15.4875],0
p6,1,0.012666,6.215225,[11 49] ; [10 12],[15.36585366 44.63414634] ; [ 5.63414634 16.36585366],0
n3,1,0.014014,6.036441,[17  8] ; [3 9],[13.51351351 11.48648649] ; [6.48648649 5.51351351],0
d5,1,0.019136,5.48903,[32 28] ; [18  4],[36.58536585 23.41463415] ; [13.41463415  8.58536585],0
s4,1,0.030079,4.70475,[13 48] ; [10 12],[16.90361446 44.09638554] ; [ 6.09638554 15.90361446],0
p3,1,0.031121,4.646291,[15 45] ; [11 11],[19.02439024 40.97560976] ; [ 6.97560976 15.02439024],0
n1,1,0.035297,4.430769,[ 4 20] ; [6 6],[ 6.66666667 17.33333333] ; [3.33333333 8.66666667],0
p1,1,0.045649,3.994501,[ 3 58] ; [ 4 17],[ 5.20731707 55.79268293] ; [ 1.79268293 19.20731707],0
s3,1,0.072245,3.231254,[20 41] ; [12 10],[23.51807229 37.48192771] ; [ 8.48192771 13.51807229],0
a4,1,0.07936,3.077955,[11 50] ; [ 8 14],[13.96385542 47.03614458] ; [ 5.03614458 16.96385542],0
s8,1,0.07936,3.077955,[11 50] ; [ 8 14],[13.96385542 47.03614458] ; [ 5.03614458 16.96385542],0
a1,1,0.080044,3.064013,[ 2 59] ; [ 3 19],[ 3.6746988 57.3253012] ; [ 1.3253012 20.6746988],0
d2,1,0.114584,2.489829,[19 42] ; [11 11],[22.04819277 38.95180723] ; [ 7.95180723 14.04819277],0
n5,1,0.126506,2.334859,[25 36] ; [ 5 17],[22.04819277 38.95180723] ; [ 7.95180723 14.04819277],0
b5,1,0.130777,2.283252,[39 22] ; [10 12],[36.01204819 24.98795181] ; [12.98795181  9.01204819],0
d1,1,0.131201,2.278231,[17 44] ; [10 12],[19.84337349 41.15662651] ; [ 7.15662651 14.84337349],0
r3,1,0.157717,1.995982,[47 14] ; [20  2],[49.24096386 11.75903614] ; [17.75903614  4.24096386],0
n6,1,0.162743,1.948549,[34 27] ; [16  6],[36.74698795 24.25301205] ; [13.25301205  8.74698795],0
v2,1,0.176704,1.825132,[14 47] ; [ 8 13],[16.36585366 44.63414634] ; [ 5.63414634 15.36585366],0
b3,1,0.179712,1.8,[ 8 22] ; [7 8],[10. 20.] ; [ 5. 10.],0
b2,1,0.179712,1.8,[ 8 22] ; [7 8],[10. 20.] ; [ 5. 10.],0
p4,1,0.198228,1.655381,[21 40] ; [11 11],[23.51807229 37.48192771] ; [ 8.48192771 13.51807229],0
v1,1,0.202993,1.620712,[17 44] ; [ 9 12],[19.34146341 41.65853659] ; [ 6.65853659 14.34146341],0
p5,1,0.259795,1.269852,[ 2 58] ; [ 2 19],[ 2.96296296 57.03703704] ; [ 1.03703704 19.96296296],0
r4,1,0.288796,1.125224,[28 33] ; [13  9],[30.13253012 30.86746988] ; [10.86746988 11.13253012],0
r2,1,0.302127,1.064781,[43 18] ; [18  4],[44.8313253 16.1686747] ; [16.1686747  5.8313253],0
p9,1,0.322126,0.980296,[38 21] ; [16  5],[39.825 19.175] ; [14.175  6.825],0
u3,1,0.498404,0.458333,[15 17] ; [7 5],[16. 16.] ; [6. 6.],0
a5,1,0.550651,0.356153,[26 35] ; [11 11],[27.19277108 33.80722892] ; [ 9.80722892 12.19277108],0
v4,1,0.581854,0.303247,[49 12] ; [18  3],[49.84146341 11.15853659] ; [17.15853659  3.84146341],0
d3,1,0.59871,0.276945,[31 28] ; [13  9],[32.04938272 26.95061728] ; [11.95061728 10.04938272],0
a6,1,0.666106,0.18619,[31 30] ; [10 12],[30.13253012 30.86746988] ; [10.86746988 11.13253012],0
p8,1,0.683003,0.166765,[23 37] ; [ 7 14],[22.22222222 37.77777778] ; [ 7.77777778 13.22222222],0
n2,1,0.695487,0.153209,[15 10] ; [8 4],[15.54054054  9.45945946] ; [7.45945946 4.54054054],0
p11,1,0.715822,0.132531,[36 25] ; [12 10],[35.27710843 25.72289157] ; [12.72289157  9.27710843],0
a2,1,0.733847,0.115608,[ 4 57] ; [ 1 21],[ 3.6746988 57.3253012] ; [ 1.3253012 20.6746988],0
a8,1,0.734034,0.11544,[ 2 58] ; [ 1 19],[ 2.25 57.75] ; [ 0.75 19.25],0
u2,1,0.757315,0.095486,[15 17] ; [5 7],[14.54545455 17.45454545] ; [5.45454545 6.54545455],0
a7,1,0.758645,0.094409,[35 25] ; [12 10],[34.3902439 25.6097561] ; [12.6097561  9.3902439],0
p10,1,0.77436,0.082183,[35 25] ; [13  8],[35.55555556 24.44444444] ; [12.44444444  8.55555556],0
u1,1,0.784929,0.074475,[ 2 59] ; [ 1 21],[ 2.20481928 58.79518072] ; [ 0.79518072 21.20481928],0
b1,1,0.866506,0.028257,[29 32] ; [10 12],[28.6626506 32.3373494] ; [10.3373494 11.6626506],0
v3,1,0.912118,0.012181,[ 9 52] ; [ 3 16],[ 9.15 51.85] ; [ 2.85 16.15],0
s1,1,0.944233,0.004893,[ 3 58] ; [ 1 21],[ 2.93975904 58.06024096] ; [ 1.06024096 20.93975904],0
p2,1,0.974619,0.001012,[38 23] ; [13  8],[37.93902439 23.06097561] ; [13.06097561  7.93902439],0
p7,1,0.98985,0.000162,[28 31] ; [10 11],[28.025 30.975] ; [ 9.975 11.025],0
a3,1,0.99507,3.8e-05,[29 32] ; [10 11],[29.01219512 31.98780488] ; [ 9.98780488 11.01219512],0
