Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,73.743676,[210  32] ; [64 76],[173.58115183  68.41884817] ; [100.41884817  39.58115183],1
v1,1,0.000132,14.606755,[160  85] ; [65 78],[142.07474227 102.92525773] ; [82.92525773 60.07474227],1
a3,1,0.000295,13.100053,[209  44] ; [96 48],[194.37027708  58.62972292] ; [110.62972292  33.37027708],1
s6,1,0.000629,11.687004,[232  19] ; [114  27],[221.54591837  29.45408163] ; [124.45408163  16.54591837],1
a5,1,0.001656,9.896432,[208  46] ; [98 46],[195.28643216  58.71356784] ; [110.71356784  33.28643216],0
p9,1,0.002059,9.495842,[235  18] ; [116  24],[225.96183206  27.03816794] ; [125.03816794  14.96183206],0
p3,1,0.002276,9.312376,[154 100] ; [64 79],[139.47607053 114.52392947] ; [78.52392947 64.47607053],0
v3,1,0.003312,8.627045,[122 121] ; [49 92],[108.2109375 134.7890625] ; [62.7890625 78.2109375],0
n5,1,0.0044,8.110742,[221  33] ; [110  35],[210.71177945  43.28822055] ; [120.28822055  24.71177945],0
n1,1,0.004678,8.0,[26 24] ; [ 6 24],[20. 30.] ; [12. 18.],0
a7,1,0.004737,7.977307,[174  79] ; [117  26],[185.91666667  67.08333333] ; [105.08333333  37.91666667],0
v2,1,0.005032,7.868072,[156  88] ; [69 71],[142.96875 101.03125] ; [82.03125 57.96875],0
p6,1,0.005287,7.778487,[126 125] ; [51 92],[112.75888325 138.24111675] ; [64.24111675 78.75888325],0
d1,1,0.006378,7.4403,[178  76] ; [82 63],[165.51378446  88.48621554] ; [94.48621554 50.51378446],0
d5,1,0.007852,7.066941,[221  32] ; [111  33],[211.5768262  41.4231738] ; [120.4231738  23.5768262],0
p4,1,0.008411,6.94389,[182  71] ; [85 59],[170.15365239  82.84634761] ; [96.84634761 47.15365239],0
d2,1,0.010294,6.583361,[152 102] ; [67 77],[139.7638191 114.2361809] ; [79.2361809 64.7638191],0
u4,1,0.010643,6.523898,[ 15 239] ; [  1 144],[ 10.18546366 243.81453634] ; [  5.81453634 139.18546366],0
v4,1,0.01169,6.357334,[250   4] ; [135   9],[245.70351759   8.29648241] ; [139.29648241   4.70351759],0
s3,1,0.012777,6.199663,[228  26] ; [114  27],[219.91898734  34.08101266] ; [122.08101266  18.91898734],0
n4,1,0.019073,5.494843,[220  33] ; [113  32],[211.68090452  41.31909548] ; [121.31909548  23.68090452],0
r2,1,0.028063,4.824219,[247   5] ; [136   9],[243.11335013   8.88664987] ; [139.88664987   5.11335013],0
p8,1,0.028626,4.789968,[148 103] ; [68 75],[137.60406091 113.39593909] ; [78.39593909 64.60406091],0
b2,1,0.028651,4.788443,[75 95] ; [23 55],[ 67.17741935 102.82258065] ; [30.82258065 47.17741935],0
b3,1,0.028651,4.788443,[75 95] ; [23 55],[ 67.17741935 102.82258065] ; [30.82258065 47.17741935],0
r4,1,0.031569,4.621736,[242  12] ; [130  15],[236.81203008  17.18796992] ; [135.18796992   9.81203008],0
r1,1,0.035541,4.418994,[215  38] ; [111  34],[207.23115578  45.76884422] ; [118.76884422  26.23115578],0
p10,1,0.041261,4.165282,[226  26] ; [118  25],[219.46329114  32.53670886] ; [124.53670886  18.46329114],0
p5,1,0.044757,4.027785,[ 43 207] ; [ 14 129],[ 36.25954198 213.74045802] ; [ 20.74045802 122.25954198],0
u3,1,0.059749,3.544341,[32 13] ; [25 23],[27.58064516 17.41935484] ; [29.41935484 18.58064516],0
u1,1,0.110876,2.541689,[ 67 187] ; [ 28 117],[ 60.47619048 193.52380952] ; [ 34.52380952 110.47619048],0
b4,1,0.12187,2.393122,[141 113] ; [92 53],[148.32581454 105.67418546] ; [84.67418546 60.32581454],0
a4,1,0.12898,2.304739,[133 121] ; [64 80],[125.72361809 128.27638191] ; [71.27638191 72.72361809],0
p12,1,0.154652,2.025755,[ 33 220] ; [ 12 132],[ 28.67758186 224.32241814] ; [ 16.32241814 127.67758186],0
p7,1,0.174551,1.843421,[174  72] ; [89 50],[168.04675325  77.95324675] ; [94.95324675 44.04675325],0
s4,1,0.21499,1.537505,[ 54 198] ; [ 38 103],[ 58.99236641 193.00763359] ; [ 33.00763359 107.99236641],0
r3,1,0.240323,1.378697,[246   8] ; [136   8],[243.78894472  10.21105528] ; [138.21105528   5.78894472],0
a2,1,0.241953,1.369176,[ 77 177] ; [ 36 109],[ 71.93483709 182.06516291] ; [ 41.06516291 103.93483709],0
s5,1,0.288974,1.124393,[124 114] ; [66 76],[119. 119.] ; [71. 71.],0
n2,1,0.333133,0.936679,[37 13] ; [25  5],[38.75 11.25] ; [23.25  6.75],0
a8,1,0.362414,0.829511,[ 40 195] ; [ 18 116],[ 36.93766938 198.06233062] ; [ 21.06233062 112.93766938],0
s1,1,0.400794,0.705942,[ 11 241] ; [  9 134],[ 12.75949367 239.24050633] ; [  7.24050633 135.75949367],0
u2,1,0.452169,0.565209,[26 19] ; [24 24],[24.19354839 20.80645161] ; [25.80645161 22.19354839],0
b1,1,0.477233,0.50518,[102 152] ; [53 92],[ 98.6716792 155.3283208] ; [56.3283208 88.6716792],0
b5,1,0.480401,0.497953,[158  96] ; [85 60],[154.69172932  99.30827068] ; [88.30827068 56.69172932],0
d4,1,0.488865,0.479024,[219  34] ; [121  23],[216.67506297  36.32493703] ; [123.32493703  20.67506297],0
a6,1,0.572063,0.319243,[167  86] ; [91 53],[164.41813602  88.58186398] ; [93.58186398 50.41813602],0
a1,1,0.57579,0.31309,[ 14 240] ; [ 10 135],[ 15.27819549 238.72180451] ; [  8.72180451 136.27819549],0
p11,1,0.616344,0.25104,[205  49] ; [114  31],[203.0726817  50.9273183] ; [115.9273183  29.0726817],0
p1,1,0.631538,0.229981,[ 27 226] ; [ 13 129],[ 25.62025316 227.37974684] ; [ 14.37974684 127.62025316],0
p2,1,0.67286,0.178275,[218  35] ; [121  22],[216.58333333  36.41666667] ; [122.41666667  20.58333333],0
d3,1,0.681821,0.168083,[178  76] ; [103  40],[179.78337531  74.21662469] ; [101.21662469  41.78337531],0
n3,1,0.920231,0.010029,[36 14] ; [22  9],[35.80246914 14.19753086] ; [22.19753086  8.80246914],0
