Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,6e-06,20.451205,[ 5 23] ; [49 23],[15.12 12.88] ; [38.88 33.12],1
a3,1,0.003791,8.381301,[12 16] ; [53 19],[18.2  9.8] ; [46.8 25.2],0
p10,1,0.004704,7.989761,[12 15] ; [53 18],[17.90816327  9.09183673] ; [47.09183673 23.90816327],0
p11,1,0.009982,6.63816,[13 15] ; [53 19],[18.48  9.52] ; [47.52 24.48],0
r4,1,0.017779,5.617803,[20  8] ; [65  7],[23.8  4.2] ; [61.2 10.8],0
a6,1,0.029096,4.761905,[12 16] ; [48 24],[16.8 11.2] ; [43.2 28.8],0
n6,1,0.033054,4.543,[12 16] ; [47 24],[16.68686869 11.31313131] ; [42.31313131 28.68686869],0
s7,1,0.050941,3.810201,[ 6 18] ; [33 36],[10.06451613 13.93548387] ; [28.93548387 40.06451613],0
d3,1,0.056858,3.626741,[16 12] ; [55 17],[19.88  8.12] ; [51.12 20.88],0
a2,1,0.059452,3.552606,[ 2 26] ; [17 55],[ 5.32 22.68] ; [13.68 58.32],0
p9,1,0.065392,3.395062,[16 11] ; [56 16],[19.63636364  7.36363636] ; [52.36363636 19.63636364],0
p6,1,0.084136,2.983136,[ 8 20] ; [32 35],[11.78947368 16.21052632] ; [28.21052632 38.78947368],0
n3,1,0.105817,2.615602,[6 3] ; [13  1],[7.43478261 1.56521739] ; [11.56521739  2.43478261],0
a5,1,0.167252,1.907402,[18 10] ; [56 16],[20.72  7.28] ; [53.28 18.72],0
p2,1,0.194633,1.682192,[21  7] ; [61 10],[23.19191919  4.80808081] ; [58.80808081 12.19191919],0
p1,1,0.201243,1.633333,[ 6 22] ; [ 8 62],[ 4. 24.] ; [10. 60.],0
d2,1,0.212968,1.551138,[ 9 19] ; [33 39],[11.76 16.24] ; [30.24 41.76],0
n1,1,0.241696,1.370677,[4 5] ; [ 3 11],[2.73913043 6.26086957] ; [4.26086957 9.73913043],0
b3,1,0.281109,1.161719,[6 8] ; [13 34],[4.36065574 9.63934426] ; [14.63934426 32.36065574],0
b2,1,0.281109,1.161719,[6 8] ; [13 34],[4.36065574 9.63934426] ; [14.63934426 32.36065574],0
s2,1,0.28263,1.154401,[15 13] ; [30 42],[12.6 15.4] ; [32.4 39.6],0
d1,1,0.28263,1.154401,[13 15] ; [42 30],[15.4 12.6] ; [39.6 32.4],0
p5,1,0.308689,1.036275,[ 1 27] ; [ 7 65],[ 2.24 25.76] ; [ 5.76 66.24],0
v1,1,0.31281,1.018776,[13 13] ; [27 43],[10.83333333 15.16666667] ; [29.16666667 40.83333333],0
v4,1,0.363976,0.824129,[25  3] ; [68  4],[26.04  1.96] ; [66.96  5.04],0
u2,1,0.368714,0.807994,[8 7] ; [13  6],[9.26470588 5.73529412] ; [11.73529412  7.26470588],0
u3,1,0.386997,0.748355,[13  3] ; [13  6],[11.88571429  4.11428571] ; [14.11428571  4.88571429],0
v2,1,0.391147,0.735375,[11 15] ; [36 33],[12.86315789 13.13684211] ; [34.13684211 34.86315789],0
s3,1,0.481837,0.494702,[13 15] ; [38 32],[14.57142857 13.42857143] ; [36.42857143 33.57142857],0
b5,1,0.491261,0.473763,[15 13] ; [44 28],[16.52 11.48] ; [42.48 29.52],0
a1,1,0.523662,0.406676,[ 1 27] ; [ 5 67],[ 1.68 26.32] ; [ 4.32 67.68],0
a7,1,0.525,0.404061,[18 10] ; [51 21],[19.32  8.68] ; [49.68 22.32],0
r3,1,0.53268,0.389277,[25  3] ; [67  5],[25.76  2.24] ; [66.24  5.76],0
s4,1,0.532845,0.388963,[ 5 23] ; [17 55],[ 6.16 21.84] ; [15.84 56.16],0
s1,1,0.539784,0.37594,[ 2 26] ; [ 3 69],[ 1.4 26.6] ; [ 3.6 68.4],0
s8,1,0.585379,0.297619,[10 18] ; [30 42],[11.2 16.8] ; [28.8 43.2],0
n4,1,0.616729,0.250492,[14 14] ; [32 40],[12.88 15.12] ; [33.12 38.88],0
d4,1,0.617788,0.248988,[23  5] ; [62 10],[23.8  4.2] ; [61.2 10.8],0
p4,1,0.61951,0.246557,[18 10] ; [50 22],[19.04  8.96] ; [48.96 23.04],0
s6,1,0.66947,0.182223,[17 11] ; [47 25],[17.92 10.08] ; [46.08 25.92],0
d5,1,0.707311,0.140977,[22  6] ; [54 18],[21.28  6.72] ; [54.72 17.28],0
v3,1,0.788204,0.07217,[ 7 18] ; [21 47],[ 7.52688172 17.47311828] ; [20.47311828 47.52688172],0
n2,1,0.808605,0.058673,[6 3] ; [10  4],[6.26086957 2.73913043] ; [9.73913043 4.26086957],0
b4,1,0.821454,0.050929,[18 10] ; [48 24],[18.48  9.52] ; [47.52 24.48],0
r1,1,0.853812,0.033951,[20  7] ; [52 20],[19.63636364  7.36363636] ; [52.36363636 19.63636364],0
a8,1,0.8675,0.027834,[ 1 26] ; [ 2 64],[ 0.87096774 26.12903226] ; [ 2.12903226 63.87096774],0
s5,1,0.868639,0.027353,[ 8 17] ; [23 45],[ 8.33333333 16.66666667] ; [22.66666667 45.33333333],0
a4,1,0.868799,0.027286,[11 17] ; [27 45],[10.64 17.36] ; [27.36 44.64],0
b1,1,0.900724,0.015562,[14 14] ; [35 37],[13.72 14.28] ; [35.28 36.72],0
r2,1,1.0,0.0,[26  2] ; [65  5],[26.  2.] ; [65.  5.],0
