Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,2.5e-05,17.786629,[3 5] ; [ 1 64],[0.43835616 7.56164384] ; [ 3.56164384 61.43835616],1
a1,1,0.000701,11.486912,[3 6] ; [ 2 63],[0.60810811 8.39189189] ; [ 4.39189189 60.60810811],1
p8,1,0.007434,7.164971,[8 1] ; [26 37],[4.25 4.75] ; [29.75 33.25],0
b5,1,0.015193,5.893934,[2 7] ; [42 23],[5.35135135 3.64864865] ; [38.64864865 26.35135135],0
p3,1,0.031066,4.649302,[8 1] ; [33 32],[4.98648649 4.01351351] ; [36.01351351 28.98648649],0
p7,1,0.067634,3.339518,[8 1] ; [36 27],[5.5 3.5] ; [38.5 24.5],0
b2,1,0.135399,2.229488,[4 2] ; [18 33],[2.31578947 3.68421053] ; [19.68421053 31.31578947],0
b3,1,0.135399,2.229488,[4 2] ; [18 33],[2.31578947 3.68421053] ; [19.68421053 31.31578947],0
s5,1,0.172481,1.861243,[5 3] ; [22 37],[3.2238806 4.7761194] ; [23.7761194 35.2238806],0
n1,1,0.191254,1.707933,[1 3] ; [15 10],[2.20689655 1.79310345] ; [13.79310345 11.20689655],0
n5,1,0.192265,1.700173,[8 1] ; [44 21],[6.32432432 2.67567568] ; [45.67567568 19.32432432],0
s2,1,0.204807,1.607762,[4 5] ; [43 22],[5.71621622 3.28378378] ; [41.28378378 23.71621622],0
s6,1,0.223447,1.482098,[8 1] ; [43 19],[6.46478873 2.53521127] ; [44.53521127 17.46478873],0
p4,1,0.232363,1.426335,[7 2] ; [37 28],[5.35135135 3.64864865] ; [38.64864865 26.35135135],0
r4,1,0.265911,1.237719,[7 2] ; [38 27],[5.47297297 3.52702703] ; [39.52702703 25.47297297],0
a3,1,0.302772,1.061945,[5 4] ; [47 18],[6.32432432 2.67567568] ; [45.67567568 19.32432432],0
n6,1,0.36673,0.814716,[8 1] ; [49 16],[6.93243243 2.06756757] ; [50.06756757 14.93243243],0
d4,1,0.36673,0.814716,[8 1] ; [49 16],[6.93243243 2.06756757] ; [50.06756757 14.93243243],0
p6,1,0.379771,0.771442,[5 3] ; [29 34],[3.83098592 4.16901408] ; [30.16901408 32.83098592],0
v1,1,0.402282,0.701494,[5 3] ; [29 33],[3.88571429 4.11428571] ; [30.11428571 31.88571429],0
d1,1,0.417873,0.65629,[3 6] ; [31 34],[4.13513514 4.86486486] ; [29.86486486 35.13513514],0
s1,1,0.419271,0.652357,[1 8] ; [ 3 62],[0.48648649 8.51351351] ; [ 3.51351351 61.48648649],0
a4,1,0.433946,0.612239,[2 7] ; [23 42],[3.04054054 5.95945946] ; [21.95945946 43.04054054],0
p10,1,0.44425,0.58528,[7 1] ; [49 16],[6.1369863 1.8630137] ; [49.8630137 15.1369863],0
p11,1,0.465829,0.531854,[8 1] ; [51 14],[7.17567568 1.82432432] ; [51.82432432 13.17567568],0
d3,1,0.468337,0.525897,[6 3] ; [35 30],[4.98648649 4.01351351] ; [36.01351351 28.98648649],0
a7,1,0.521979,0.409982,[6 3] ; [36 29],[5.10810811 3.89189189] ; [36.89189189 28.10810811],0
d5,1,0.574721,0.314847,[6 3] ; [49 16],[6.68918919 2.31081081] ; [48.31081081 16.68918919],0
u3,1,0.601448,0.272817,[3 1] ; [11  7],[2.54545455 1.45454545] ; [11.45454545  6.54545455],0
v2,1,0.655881,0.198566,[5 4] ; [30 33],[4.375 4.625] ; [30.625 32.375],0
s8,1,0.662803,0.190136,[5 4] ; [41 24],[5.59459459 3.40540541] ; [40.40540541 24.59459459],0
u2,1,0.682665,0.167142,[2 2] ; [11  7],[2.36363636 1.63636364] ; [10.63636364  7.36363636],0
v3,1,0.714748,0.133581,[3 6] ; [25 38],[3.5 5.5] ; [24.5 38.5],0
b1,1,0.766234,0.08839,[3 6] ; [25 40],[3.40540541 5.59459459] ; [24.59459459 40.40540541],0
n2,1,0.788281,0.072115,[3 1] ; [21  5],[3.2 0.8] ; [20.8  5.2],0
a5,1,0.833929,0.04396,[6 3] ; [41 24],[5.71621622 3.28378378] ; [41.28378378 23.71621622],0
a6,1,0.868468,0.027425,[5 4] ; [38 27],[5.22972973 3.77027027] ; [37.77027027 27.22972973],0
s3,1,0.90384,0.014596,[6 3] ; [42 23],[5.83783784 3.16216216] ; [42.16216216 22.83783784],0
p1,1,0.918016,0.010595,[1 8] ; [ 8 57],[1.09459459 7.90540541] ; [ 7.90540541 57.09459459],0
n3,1,0.935467,0.006556,[3 1] ; [19  7],[2.93333333 1.06666667] ; [19.06666667  6.93333333],0
b4,1,0.992285,9.3e-05,[5 4] ; [36 29],[4.98648649 4.01351351] ; [36.01351351 28.98648649],0
