Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.2e-05,19.163763,[8 2] ; [ 6 39],[2.54545455 7.45454545] ; [11.45454545 33.54545455],1
p6,1,0.000712,11.457479,[4 6] ; [ 2 46],[1.03448276 8.96551724] ; [ 4.96551724 43.03448276],1
p9,1,0.002945,8.841064,[9 1] ; [18 29],[4.73684211 5.26315789] ; [22.26315789 24.73684211],0
s3,1,0.009143,6.794591,[7 3] ; [12 33],[3.45454545 6.54545455] ; [15.54545455 29.45454545],0
p10,1,0.012024,6.307255,[8 2] ; [18 31],[4.40677966 5.59322034] ; [21.59322034 27.40677966],0
s2,1,0.019216,5.481793,[5 5] ; [ 8 41],[2.20338983 7.79661017] ; [10.79661017 38.20338983],0
n2,1,0.02639,4.930268,[6 1] ; [10 16],[3.39393939 3.60606061] ; [12.60606061 13.39393939],0
p2,1,0.043381,4.080494,[7 3] ; [17 31],[4.13793103 5.86206897] ; [19.86206897 28.13793103],0
u3,1,0.052808,3.75,[3 1] ; [ 5 15],[1.33333333 2.66666667] ; [ 6.66666667 13.33333333],0
u2,1,0.052808,3.75,[3 1] ; [ 5 15],[1.33333333 2.66666667] ; [ 6.66666667 13.33333333],0
p4,1,0.074109,3.189591,[5 5] ; [11 38],[2.71186441 7.28813559] ; [13.28813559 35.71186441],0
d4,1,0.092534,2.829732,[8 2] ; [25 24],[5.59322034 4.40677966] ; [27.40677966 21.59322034],0
r4,1,0.095641,2.776766,[3 7] ; [ 5 44],[1.3559322 8.6440678] ; [ 6.6440678 42.3559322],0
s6,1,0.104533,2.634983,[5 5] ; [12 37],[2.88135593 7.11864407] ; [14.11864407 34.88135593],0
n6,1,0.130735,2.28375,[7 3] ; [21 27],[4.82758621 5.17241379] ; [23.17241379 24.82758621],0
p11,1,0.141855,2.157721,[5 5] ; [13 36],[3.05084746 6.94915254] ; [14.94915254 34.05084746],0
d3,1,0.147892,2.093856,[7 3] ; [22 27],[4.91525424 5.08474576] ; [24.08474576 24.91525424],0
a2,1,0.151002,2.062101,[2 8] ; [ 3 46],[0.84745763 9.15254237] ; [ 4.15254237 44.84745763],0
p5,1,0.1669,1.910573,[2 8] ; [ 3 44],[0.87719298 9.12280702] ; [ 4.12280702 42.87719298],0
d5,1,0.183725,1.767232,[7 3] ; [23 26],[5.08474576 4.91525424] ; [24.91525424 24.08474576],0
b1,1,0.215789,1.532158,[4 6] ; [30 19],[5.76271186 4.23728814] ; [28.23728814 20.76271186],0
s5,1,0.231611,1.43094,[3 6] ; [ 8 41],[1.70689655 7.29310345] ; [ 9.29310345 39.70689655],0
p3,1,0.250778,1.318966,[1 9] ; [13 35],[2.4137931 7.5862069] ; [11.5862069 36.4137931],0
p8,1,0.261715,1.259664,[4 6] ; [11 37],[2.5862069 7.4137931] ; [12.4137931 35.5862069],0
a7,1,0.26547,1.240008,[6 4] ; [20 29],[4.40677966 5.59322034] ; [21.59322034 27.40677966],0
p7,1,0.277102,1.18125,[1 7] ; [15 33],[2.28571429 5.71428571] ; [13.71428571 34.28571429],0
v3,1,0.311644,1.023697,[3 7] ; [ 8 41],[1.86440678 8.13559322] ; [ 9.13559322 39.86440678],0
b5,1,0.321377,0.983333,[6 4] ; [21 28],[4.57627119 5.42372881] ; [22.42372881 26.57627119],0
n5,1,0.364797,0.82131,[8 2] ; [32 17],[6.77966102 3.22033898] ; [33.22033898 15.77966102],0
a5,1,0.384933,0.754888,[7 3] ; [27 22],[5.76271186 4.23728814] ; [28.23728814 20.76271186],0
s4,1,0.404933,0.693628,[3 7] ; [ 9 40],[2.03389831 7.96610169] ; [ 9.96610169 39.03389831],0
r1,1,0.433135,0.614402,[5 5] ; [18 31],[3.89830508 6.10169492] ; [19.10169492 29.89830508],0
a6,1,0.451499,0.566887,[6 4] ; [23 26],[4.91525424 5.08474576] ; [24.08474576 24.91525424],0
n3,1,0.460866,0.543791,[2 4] ; [13 13],[2.8125 3.1875] ; [12.1875 13.8125],0
d1,1,0.474424,0.511653,[4 6] ; [14 35],[3.05084746 6.94915254] ; [14.94915254 34.05084746],0
n1,1,0.484123,0.48956,[4 3] ; [11 15],[3.18181818 3.81818182] ; [11.81818182 14.18181818],0
r2,1,0.510497,0.433048,[7 2] ; [32 16],[6.15789474 2.84210526] ; [32.84210526 15.15789474],0
d2,1,0.542895,0.3702,[5 5] ; [19 29],[4.13793103 5.86206897] ; [19.86206897 28.13793103],0
b4,1,0.592243,0.286855,[5 5] ; [29 20],[5.76271186 4.23728814] ; [28.23728814 20.76271186],0
n4,1,0.600989,0.273507,[7 3] ; [30 19],[6.27118644 3.72881356] ; [30.72881356 18.27118644],0
a4,1,0.622368,0.242553,[4 6] ; [15 32],[3.33333333 6.66666667] ; [15.66666667 31.33333333],0
s1,1,0.84143,0.040026,[1 9] ; [ 6 43],[1.18644068 8.81355932] ; [ 5.81355932 43.18644068],0
b2,1,0.906737,0.013725,[3 5] ; [12 22],[2.85714286 5.14285714] ; [12.14285714 21.85714286],0
b3,1,0.906737,0.013725,[3 5] ; [12 22],[2.85714286 5.14285714] ; [12.14285714 21.85714286],0
a3,1,0.920027,0.01008,[6 4] ; [29 18],[6.14035088 3.85964912] ; [28.85964912 18.14035088],0
v1,1,0.969433,0.001468,[3 7] ; [15 34],[3.05084746 6.94915254] ; [14.94915254 34.05084746],0
