Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,23.751989,[47  8] ; [11 21],[36.66666667 18.33333333] ; [21.33333333 10.66666667],1
a5,1,0.002525,9.12216,[41 15] ; [13 19],[34.36363636 21.63636364] ; [19.63636364 12.36363636],0
p9,1,0.002973,8.823662,[45 11] ; [16 16],[38.81818182 17.18181818] ; [22.18181818  9.81818182],0
r1,1,0.007072,7.254697,[45 11] ; [17 15],[39.45454545 16.54545455] ; [22.54545455  9.45454545],0
d3,1,0.018743,5.525342,[39 15] ; [15 17],[33.90697674 20.09302326] ; [20.09302326 11.90697674],0
r4,1,0.027262,4.874158,[44 12] ; [18 14],[39.45454545 16.54545455] ; [22.54545455  9.45454545],0
a2,1,0.028254,4.8125,[14 42] ; [ 2 30],[10.18181818 45.81818182] ; [ 5.81818182 26.18181818],0
s5,1,0.030871,4.660097,[ 8 47] ; [11 21],[12.01149425 42.98850575] ; [ 6.98850575 25.01149425],0
d5,1,0.037935,4.307924,[44 11] ; [19 13],[39.82758621 15.17241379] ; [23.17241379  8.82758621],0
p10,1,0.042346,4.121316,[41 15] ; [16 15],[36.68965517 19.31034483] ; [20.31034483 10.68965517],0
r2,1,0.052542,3.758431,[47  8] ; [21 10],[43.48837209 11.51162791] ; [24.51162791  6.48837209],0
d1,1,0.082465,3.015642,[30 26] ; [11 21],[26.09090909 29.90909091] ; [14.90909091 17.09090909],0
a8,1,0.082597,3.013041,[ 8 42] ; [ 1 29],[ 5.625 44.375] ; [ 3.375 26.625],0
a3,1,0.083786,2.989894,[40 16] ; [17 15],[36.27272727 19.72727273] ; [20.72727273 11.27272727],0
b1,1,0.094626,2.793855,[34 22] ; [25  7],[37.54545455 18.45454545] ; [21.45454545 10.54545455],0
u1,1,0.096485,2.762708,[ 8 48] ; [ 1 31],[ 5.72727273 50.27272727] ; [ 3.27272727 28.72727273],0
p1,1,0.100145,2.703231,[ 1 55] ; [ 3 29],[ 2.54545455 53.45454545] ; [ 1.45454545 30.54545455],0
b4,1,0.114591,2.489732,[27 29] ; [21 11],[30.54545455 25.45454545] ; [17.45454545 14.54545455],0
s8,1,0.128949,2.305118,[23 33] ; [ 8 24],[19.72727273 36.27272727] ; [11.27272727 20.72727273],0
v4,1,0.169087,1.891019,[52  4] ; [25  5],[50.13953488  5.86046512] ; [26.86046512  3.13953488],0
s6,1,0.1898,1.71917,[36 20] ; [16 16],[33.09090909 22.90909091] ; [18.90909091 13.09090909],0
v3,1,0.190039,1.717316,[15 37] ; [ 5 26],[12.53012048 39.46987952] ; [ 7.46987952 23.53012048],0
n2,1,0.191785,1.703855,[10  4] ; [11  1],[11.30769231  2.69230769] ; [9.69230769 2.30769231],0
b5,1,0.205793,1.600776,[39 17] ; [18 14],[36.27272727 19.72727273] ; [20.72727273 11.27272727],0
r3,1,0.206508,1.59574,[52  4] ; [27  5],[50.27272727  5.72727273] ; [28.72727273  3.27272727],0
s4,1,0.21,1.571429,[ 8 48] ; [ 8 24],[10.18181818 45.81818182] ; [ 5.81818182 26.18181818],0
n4,1,0.226285,1.464064,[32 24] ; [14 18],[29.27272727 26.72727273] ; [16.72727273 15.27272727],0
d4,1,0.239563,1.383165,[42 13] ; [20 11],[39.65116279 15.34883721] ; [22.34883721  8.65116279],0
v2,1,0.254826,1.296648,[28 23] ; [13 18],[25.5 25.5] ; [15.5 15.5],0
u3,1,0.255704,1.291866,[11  4] ; [8 7],[9.5 5.5] ; [9.5 5.5],0
p6,1,0.255996,1.290282,[17 39] ; [12 16],[19.33333333 36.66666667] ; [ 9.66666667 18.33333333],0
n5,1,0.331462,0.943176,[30 25] ; [14 18],[27.81609195 27.18390805] ; [16.18390805 15.81609195],0
s3,1,0.336486,0.923774,[28 26] ; [20 12],[30.13953488 23.86046512] ; [17.86046512 14.13953488],0
v1,1,0.369372,0.805776,[20 34] ; [15 17],[21.97674419 32.02325581] ; [13.02325581 18.97674419],0
n1,1,0.40905,0.681561,[ 3 11] ; [4 7],[ 3.92 10.08] ; [3.08 7.92],0
b2,1,0.443799,0.586441,[ 7 25] ; [ 3 19],[ 5.92592593 26.07407407] ; [ 4.07407407 17.92592593],0
b3,1,0.443799,0.586441,[ 7 25] ; [ 3 19],[ 5.92592593 26.07407407] ; [ 4.07407407 17.92592593],0
p3,1,0.470494,0.520816,[28 28] ; [13 18],[26.3908046 29.6091954] ; [14.6091954 16.3908046],0
p5,1,0.486504,0.484249,[ 3 52] ; [ 3 29],[ 3.79310345 51.20689655] ; [ 2.20689655 29.79310345],0
n3,1,0.495088,0.465449,[11  3] ; [8 4],[10.23076923  3.76923077] ; [8.76923077 3.23076923],0
p4,1,0.501791,0.451147,[32 24] ; [20 11],[33.47126437 22.52873563] ; [18.52873563 12.47126437],0
a1,1,0.56172,0.336735,[ 2 54] ; [ 2 30],[ 2.54545455 53.45454545] ; [ 1.45454545 30.54545455],0
p11,1,0.570114,0.322491,[40 16] ; [21 11],[38.81818182 17.18181818] ; [22.18181818  9.81818182],0
d2,1,0.609538,0.260848,[21 34] ; [14 18],[22.12643678 32.87356322] ; [12.87356322 19.12643678],0
p8,1,0.670907,0.180543,[31 24] ; [16 15],[30.05813953 24.94186047] ; [16.94186047 14.05813953],0
s7,1,0.73071,0.118461,[21 32] ; [10 18],[20.28395062 32.71604938] ; [10.71604938 17.28395062],0
s2,1,0.817741,0.053108,[22 33] ; [12 20],[21.49425287 33.50574713] ; [12.50574713 19.49425287],0
s1,1,0.855949,0.032955,[ 4 51] ; [ 2 30],[ 3.79310345 51.20689655] ; [ 2.20689655 29.79310345],0
u2,1,0.92985,0.00775,[13  3] ; [12  3],[12.90322581  3.09677419] ; [12.09677419  2.90322581],0
a4,1,0.9661,0.001806,[19 37] ; [11 21],[19.09090909 36.90909091] ; [10.90909091 21.09090909],0
p2,1,0.968383,0.001571,[45 11] ; [24  6],[44.93023256 11.06976744] ; [24.06976744  5.93023256],0
