Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.002754,8.96369,[11  3] ; [1 7],[7.63636364 6.36363636] ; [4.36363636 3.63636364],0
s6,1,0.019511,5.455102,[12  2] ; [3 5],[9.54545455 4.45454545] ; [5.45454545 2.54545455],0
s8,1,0.078593,3.09375,[7 7] ; [1 7],[5.09090909 8.90909091] ; [2.90909091 5.09090909],0
d5,1,0.119467,2.424298,[10  4] ; [3 5],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
s7,1,0.154103,2.031156,[6 7] ; [1 6],[4.55 8.45] ; [2.45 4.55],0
p3,1,0.216522,1.527273,[8 6] ; [2 5],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
p7,1,0.239559,1.383185,[9 5] ; [7 1],[10.18181818  3.81818182] ; [5.81818182 2.18181818],0
s1,1,0.240366,1.378446,[ 1 13] ; [2 6],[ 1.90909091 12.09090909] ; [1.09090909 6.90909091],0
b1,1,0.251268,1.316239,[7 7] ; [6 2],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
p6,1,0.305507,1.05,[ 3 11] ; [3 4],[ 4. 10.] ; [2. 5.],0
b5,1,0.314854,1.010204,[10  4] ; [4 4],[8.90909091 5.09090909] ; [5.09090909 2.90909091],0
n5,1,0.314854,1.010204,[10  4] ; [4 4],[8.90909091 5.09090909] ; [5.09090909 2.90909091],0
u3,1,0.342782,0.9,[4 2] ; [1 2],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
p10,1,0.375399,0.785714,[8 6] ; [3 5],[7. 7.] ; [4. 4.],0
d1,1,0.386876,0.748739,[ 4 10] ; [1 7],[ 3.18181818 10.81818182] ; [1.81818182 6.18181818],0
s4,1,0.386876,0.748739,[ 4 10] ; [1 7],[ 3.18181818 10.81818182] ; [1.81818182 6.18181818],0
v2,1,0.40227,0.701531,[6 8] ; [2 6],[5.09090909 8.90909091] ; [2.90909091 5.09090909],0
v1,1,0.415522,0.662946,[ 3 11] ; [3 5],[ 3.81818182 10.18181818] ; [2.18181818 5.81818182],0
p2,1,0.512091,0.429792,[9 5] ; [4 4],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
p9,1,0.512091,0.429792,[9 5] ; [4 4],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
s2,1,0.512091,0.429792,[9 5] ; [4 4],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
b4,1,0.571107,0.320833,[7 7] ; [3 5],[6.36363636 7.63636364] ; [3.63636364 4.36363636],0
r1,1,0.603743,0.269388,[5 9] ; [2 6],[4.45454545 9.54545455] ; [2.54545455 5.45454545],0
n2,1,0.659243,0.194444,[2 1] ; [2 2],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
n3,1,0.659243,0.194444,[2 1] ; [2 2],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
n1,1,0.659243,0.194444,[2 1] ; [2 2],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
p4,1,0.665362,0.187075,[10  4] ; [5 3],[9.54545455 4.45454545] ; [5.45454545 2.54545455],0
d4,1,0.665362,0.187075,[10  4] ; [5 3],[9.54545455 4.45454545] ; [5.45454545 2.54545455],0
d2,1,0.665362,0.187075,[ 4 10] ; [3 5],[4.45454545 9.54545455] ; [2.54545455 5.45454545],0
p1,1,0.67415,0.176786,[ 1 13] ; [1 7],[ 1.27272727 12.72727273] ; [0.72727273 7.27272727],0
a1,1,0.67415,0.176786,[ 1 13] ; [1 7],[ 1.27272727 12.72727273] ; [0.72727273 7.27272727],0
a8,1,0.71714,0.13125,[ 3 11] ; [2 5],[ 3.33333333 10.66666667] ; [1.66666667 5.33333333],0
a5,1,0.746188,0.104762,[6 8] ; [4 4],[6.36363636 7.63636364] ; [3.63636364 4.36363636],0
d3,1,0.746188,0.104762,[8 6] ; [4 4],[7.63636364 6.36363636] ; [4.36363636 3.63636364],0
a7,1,0.805803,0.06044,[6 8] ; [3 5],[5.72727273 8.27272727] ; [3.27272727 4.72727273],0
a3,1,0.805803,0.06044,[8 6] ; [5 3],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
v4,1,0.805803,0.06044,[8 6] ; [5 3],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
r3,1,0.847516,0.036975,[11  3] ; [6 2],[10.81818182  3.18181818] ; [6.18181818 1.81818182],0
r4,1,0.856417,0.032738,[ 4 10] ; [2 6],[ 3.81818182 10.18181818] ; [2.18181818 5.81818182],0
s5,1,0.906537,0.013784,[ 2 12] ; [1 7],[ 1.90909091 12.09090909] ; [1.09090909 6.90909091],0
p11,1,0.933249,0.007015,[9 5] ; [5 3],[8.90909091 5.09090909] ; [5.09090909 2.90909091],0
b2,1,0.93758,0.006133,[2 9] ; [1 5],[1.94117647 9.05882353] ; [1.05882353 4.94117647],0
b3,1,0.93758,0.006133,[2 9] ; [1 5],[1.94117647 9.05882353] ; [1.05882353 4.94117647],0
p8,1,1.0,0.0,[6 8] ; [3 4],[6. 8.] ; [3. 4.],0
a6,1,1.0,0.0,[7 7] ; [4 4],[7. 7.] ; [4. 4.],0
